RANK,ID,GRADES,VR,SP,VR+SP,CZECH,MATH,SUM,ADMITTED_ID
353,16815,2,"15,00","7,00","22,00",11,11,"46,000",0
354,91599,"1,201","7,00","9,00","16,00",12,14,"43,201",0
355,51501,"1,568","10,00","7,00","17,00",11,11,"40,568",0
356,84465,2,"8,00","4,00","12,00",12,9,"35,000",0
1,25671,2,"19,00","23,00","42,00",49,42,"135,000",1
2,18045,2,"21,00","24,00","45,00",46,39,"132,000",1
3,10911,2,"19,00","23,00","42,00",44,44,"132,000",1
4,59373,2,"14,00","23,00","37,00",48,42,"129,000",1
5,56913,2,"16,00","22,00","38,00",46,42,"128,000",1
5,52731,2,"19,00","22,00","41,00",41,44,"128,000",1
7,60111,2,"17,00","21,00","38,00",47,41,"128,000",1
8,66999,"1,901","19,00","21,00","40,00",44,42,"127,901",1
9,46827,2,"18,00","21,00","39,00",41,45,"127,000",1
10,96027,2,"15,00","19,00","34,00",45,46,"127,000",1
11,59619,2,"18,00","20,00","38,00",42,44,"126,000",1
12,69705,"1,901","20,00","18,00","38,00",44,42,"125,901",1
13,74871,2,"12,00","24,00","36,00",45,42,"125,000",1
14,78561,2,"14,00","19,00","33,00",47,43,"125,000",1
15,27393,"1,769","15,00","23,00","38,00",37,48,"124,769",1
16,18537,2,"18,00","24,00","42,00",43,37,"124,000",1
17,32559,2,"20,00","22,00","42,00",40,40,"124,000",1
18,81021,2,"16,00","22,00","38,00",35,48,"123,000",1
19,44859,2,"14,00","21,00","35,00",41,45,"123,000",1
20,18291,2,"13,00","22,00","35,00",44,41,"122,000",1
21,97749,2,"13,00","21,00","34,00",43,43,"122,000",1
22,79053,2,"13,00","20,00","33,00",45,42,"122,000",1
23,39447,2,"14,00","19,00","33,00",47,40,"122,000",1
24,62079,2,"19,00","17,00","36,00",44,40,"122,000",1
25,15585,2,"12,00","20,00","32,00",45,42,"121,000",1
26,34035,2,"20,00","19,00","39,00",44,36,"121,000",1
26,50271,2,"14,00","19,00","33,00",39,47,"121,000",1
28,21489,2,"14,00","20,00","34,00",43,41,"120,000",1
29,68229,2,"16,00","18,00","34,00",44,40,"120,000",1
30,47319,2,"14,00","24,00","38,00",35,44,"119,000",1
31,29115,2,"15,00","23,00","38,00",43,35,"118,000",1
32,36495,2,"12,00","21,00","33,00",41,42,"118,000",1
32,65523,2,"12,00","21,00","33,00",42,41,"118,000",1
34,91353,2,"16,00","20,00","36,00",36,44,"118,000",1
35,62325,2,"15,00","18,00","33,00",39,44,"118,000",1
36,13371,2,"19,00","23,00","42,00",43,30,"117,000",1
37,23949,2,"17,00","21,00","38,00",41,36,"117,000",1
38,62817,2,"11,00","20,00","31,00",40,44,"117,000",1
39,11649,"1,901","18,00","19,00","37,00",41,37,"116,901",1
40,13617,2,"14,00","22,00","36,00",36,42,"116,000",1
41,30591,2,"16,00","21,00","37,00",39,38,"116,000",1
42,67983,2,"10,00","20,00","30,00",38,46,"116,000",1
43,14355,2,"17,00","17,00","34,00",43,37,"116,000",1
44,41415,2,"11,00","20,00","31,00",39,43,"115,000",1
44,67491,2,"15,00","20,00","35,00",38,40,"115,000",1
46,13863,2,"12,00","19,00","31,00",41,41,"115,000",1
47,84219,2,"13,00","17,00","30,00",44,39,"115,000",1
48,48057,2,"16,00","21,00","37,00",36,39,"114,000",1
49,83973,2,"16,00","20,00","36,00",42,34,"114,000",1
49,80283,2,"14,00","20,00","34,00",37,41,"114,000",1
51,55929,2,"16,00","19,00","35,00",36,41,"114,000",1
52,43383,"1,901","13,00","20,00","33,00",39,40,"113,901",1
53,28377,"1,769","17,00","19,00","36,00",35,41,"113,769",1
54,38217,"1,432","16,00","20,00","36,00",38,38,"113,432",1
55,39201,2,"16,00","18,00","34,00",36,41,"113,000",1
56,85449,"1,901","15,00","19,00","34,00",35,42,"112,901",1
57,12141,"1,799","17,00","19,00","36,00",40,35,"112,799",1
58,87663,2,"12,00","21,00","33,00",35,42,"112,000",1
59,19521,2,"13,00","20,00","33,00",40,37,"112,000",1
59,15093,2,"17,00","20,00","37,00",39,34,"112,000",1
59,20751,2,"16,00","20,00","36,00",36,38,"112,000",1
62,40431,2,"18,00","19,00","37,00",37,36,"112,000",1
63,27639,2,"19,00","21,00","40,00",35,34,"111,000",1
63,64047,2,"11,00","21,00","32,00",39,38,"111,000",1
65,68475,2,"10,00","17,00","27,00",38,44,"111,000",1
66,68721,"1,799","14,00","19,00","33,00",37,39,"110,799",1
67,85941,2,"10,00","18,00","28,00",32,48,"110,000",1
68,82989,2,"15,00","15,00","30,00",38,40,"110,000",1
69,49533,"1,33","21,00","23,00","44,00",34,30,"109,330",1
70,85695,"1,33","14,00","18,00","32,00",33,43,"109,330",1
71,46581,2,"15,00","17,00","32,00",40,35,"109,000",1
72,14601,"1,67","15,00","18,00","33,00",35,39,"108,670",1
73,83235,"1,432","16,00","17,00","33,00",34,40,"108,432",1
74,58881,2,"13,00","20,00","33,00",32,41,"108,000",1
75,16569,2,"18,00","19,00","37,00",34,35,"108,000",1
76,77823,2,"13,00","17,00","30,00",38,38,"108,000",1
77,40185,2,"12,00","15,00","27,00",35,44,"108,000",1
78,36987,2,"15,00","14,00","29,00",36,41,"108,000",1
79,54453,2,"16,00","13,00","29,00",31,46,"108,000",1
80,53715,"1,901","11,00","20,00","31,00",41,34,"107,901",1
81,43629,"1,901","20,00","24,00","44,00",32,30,"107,901",1
82,55437,2,"12,00","18,00","30,00",35,40,"107,000",1
83,44613,"1,901","15,00","19,00","34,00",30,41,"106,901",1
84,26163,"1,901","13,00","21,00","34,00",30,41,"106,901",1
85,74625,"1,901","14,00","19,00","33,00",32,40,"106,901",1
