TODROP,RANK,ID,GRADES,VR,SP,VR+SP,CZECH,MATH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
90,176,36249,1.367,18.0,16.0,34.0,27,31,93.367,0,2017,2081
91,177,86433,2.0,10.0,19.0,29.0,32,30,93.0,0,2017,2081
92,177,73641,2.0,10.0,19.0,29.0,34,28,93.0,0,2017,2081
93,179,64785,2.0,17.0,17.0,34.0,22,35,93.0,0,2017,2081
94,180,23703,2.0,19.0,14.0,33.0,27,31,93.0,0,2017,2081
95,180,87417,2.0,9.0,14.0,23.0,30,38,93.0,0,2017,2081
96,180,35265,2.0,16.0,14.0,30.0,32,29,93.0,0,2017,2081
97,183,75117,1.7990000000000002,14.0,14.0,28.0,36,27,92.79899999999999,0,2017,2081
98,184,24687,1.568,14.0,20.0,34.0,21,36,92.568,0,2017,2081
99,185,31083,1.531,14.0,20.0,34.0,34,23,92.531,0,2017,2081
100,186,11157,2.0,15.0,18.0,33.0,29,28,92.0,0,2017,2081
101,187,82005,2.0,9.0,16.0,25.0,35,30,92.0,0,2017,2081
102,188,82743,2.0,15.0,15.0,30.0,24,36,92.0,0,2017,2081
103,189,97011,1.868,14.0,14.0,28.0,32,30,91.868,0,2017,2081
104,190,41169,1.8019999999999998,12.0,16.0,28.0,30,32,91.802,0,2017,2081
105,191,99225,1.7,12.0,18.0,30.0,29,31,91.7,0,2017,2081
106,192,84711,1.67,12.0,18.0,30.0,29,31,91.67,0,2017,2081
107,193,92337,1.534,11.0,17.0,28.0,22,40,91.53399999999999,0,2017,2081
108,194,17307,1.432,19.0,21.0,40.0,31,19,91.432,0,2017,2081
109,195,54207,2.0,16.0,18.0,34.0,35,20,91.0,0,2017,2081
110,196,68967,2.0,14.0,17.0,31.0,32,26,91.0,0,2017,2081
111,197,97503,2.0,9.0,16.0,25.0,34,30,91.0,0,2017,2081
112,197,75855,2.0,12.0,16.0,28.0,31,30,91.0,0,2017,2081
113,199,50517,2.0,16.0,20.0,36.0,27,25,90.0,0,2017,2081
114,200,50763,2.0,10.0,18.0,28.0,24,36,90.0,0,2017,2081
115,201,99717,2.0,8.0,17.0,25.0,34,29,90.0,0,2017,2081
116,202,72903,2.0,13.0,16.0,29.0,28,31,90.0,0,2017,2081
117,203,42399,1.901,14.0,14.0,28.0,26,34,89.90100000000001,0,2017,2081
118,204,91845,1.469,8.0,14.0,22.0,33,33,89.469,0,2017,2081
119,205,45351,1.367,17.0,21.0,38.0,23,27,89.367,0,2017,2081
120,206,40677,1.069,10.0,19.0,29.0,24,35,89.069,0,2017,2081
121,207,34281,2.0,15.0,18.0,33.0,29,25,89.0,0,2017,2081
122,207,95781,2.0,12.0,18.0,30.0,27,30,89.0,0,2017,2081
123,209,77331,2.0,11.0,15.0,26.0,26,35,89.0,0,2017,2081
124,210,47811,1.8019999999999998,12.0,15.0,27.0,35,25,88.802,0,2017,2081
125,211,87909,1.568,12.0,11.0,23.0,27,37,88.568,0,2017,2081
126,212,15339,2.0,12.0,15.0,27.0,35,24,88.0,0,2017,2081
127,212,20505,2.0,14.0,15.0,29.0,29,28,88.0,0,2017,2081
128,214,64293,2.0,11.0,13.0,24.0,36,26,88.0,0,2017,2081
129,215,27147,1.901,11.0,18.0,29.0,26,31,87.90100000000001,0,2017,2081
130,216,51255,1.868,15.0,18.0,33.0,28,25,87.868,0,2017,2081
131,217,93321,1.8019999999999998,15.0,17.0,32.0,26,28,87.802,0,2017,2081
132,218,67245,1.7690000000000001,18.0,14.0,32.0,33,21,87.76899999999999,0,2017,2081
133,219,19767,1.33,19.0,14.0,33.0,28,25,87.33,0,2017,2081
134,220,86679,1.198,8.0,13.0,21.0,31,34,87.198,0,2017,2081
135,221,69951,2.0,16.0,18.0,34.0,31,20,87.0,0,2017,2081
136,222,88401,2.0,11.0,17.0,28.0,29,28,87.0,0,2017,2081
137,223,63063,2.0,13.0,15.0,28.0,25,32,87.0,0,2017,2081
138,224,61095,1.633,9.0,13.0,22.0,30,33,86.633,0,2017,2081
139,225,40923,1.531,17.0,16.0,33.0,22,30,86.531,0,2017,2081
140,226,71673,1.367,14.0,16.0,30.0,29,26,86.367,0,2017,2081
141,227,92829,2.0,15.0,17.0,32.0,28,24,86.0,0,2017,2081
142,228,35019,2.0,16.0,14.0,30.0,28,26,86.0,0,2017,2081
143,229,76101,1.7990000000000002,11.0,15.0,26.0,25,33,85.79899999999999,0,2017,2081
144,230,33543,1.7690000000000001,15.0,18.0,33.0,25,26,85.76899999999999,0,2017,2081
145,231,90861,1.67,14.0,15.0,29.0,27,28,85.67,0,2017,2081
146,232,32067,1.469,12.0,18.0,30.0,33,21,85.469,0,2017,2081
147,233,92091,2.0,11.0,16.0,27.0,27,29,85.0,0,2017,2081
148,233,70443,2.0,10.0,16.0,26.0,30,27,85.0,0,2017,2081
149,235,33789,1.67,15.0,13.0,28.0,26,29,84.67,0,2017,2081
150,236,30099,2.0,17.0,12.0,29.0,29,24,84.0,0,2017,2081
151,237,24933,1.568,9.0,18.0,27.0,25,30,83.568,0,2017,2081
152,238,95043,2.0,14.0,16.0,30.0,30,21,83.0,0,2017,2081
153,239,86187,2.0,13.0,11.0,24.0,25,32,83.0,0,2017,2081
154,240,51009,0.67,14.0,16.0,30.0,24,28,82.67,0,2017,2081
155,241,78807,1.568,15.0,16.0,31.0,32,18,82.568,0,2017,2081
156,241,76593,1.568,11.0,16.0,27.0,25,29,82.568,0,2017,2081
157,243,90369,2.0,15.0,14.0,29.0,28,23,82.0,0,2017,2081
158,244,29853,1.8019999999999998,12.0,16.0,28.0,21,31,81.80199999999999,0,2017,2081
159,245,36741,1.7690000000000001,14.0,14.0,28.0,22,30,81.76899999999999,0,2017,2081
160,246,26901,2.0,12.0,15.0,27.0,23,29,81.0,0,2017,2081
161,247,98733,2.0,13.0,11.0,24.0,31,24,81.0,0,2017,2081
162,248,76839,1.901,9.0,17.0,26.0,28,25,80.90100000000001,0,2017,2081
163,249,51993,1.868,10.0,17.0,27.0,25,27,80.868,0,2017,2081
164,250,53961,1.8019999999999998,16.0,13.0,29.0,28,22,80.80199999999999,0,2017,2081
165,251,45105,1.568,10.0,14.0,24.0,22,33,80.568,0,2017,2081
166,252,52977,1.531,12.0,16.0,28.0,32,19,80.531,0,2017,2081
167,253,25917,2.0,15.0,18.0,33.0,29,16,80.0,0,2017,2081
168,253,78069,1.0,10.0,18.0,28.0,26,25,80.0,0,2017,2081
169,255,52239,2.0,16.0,17.0,33.0,20,25,80.0,0,2017,2081
170,256,55191,1.901,16.0,14.0,30.0,20,28,79.90100000000001,0,2017,2081
171,257,14109,1.868,11.0,16.0,27.0,28,23,79.868,0,2017,2081
172,258,61833,1.7690000000000001,10.0,16.0,26.0,26,26,79.76899999999999,0,2017,2081
173,259,79545,1.0,17.0,17.0,34.0,18,26,79.0,0,2017,2081
174,260,93813,2.0,9.0,16.0,25.0,25,27,79.0,0,2017,2081
175,261,88155,2.0,11.0,15.0,26.0,34,17,79.0,0,2017,2081
176,262,26655,1.8019999999999998,14.0,15.0,29.0,35,13,78.80199999999999,0,2017,2081
177,263,81759,1.534,13.0,13.0,26.0,30,21,78.53399999999999,0,2017,2081
178,264,98979,1.432,14.0,10.0,24.0,23,30,78.432,0,2017,2081
179,265,97995,2.0,11.0,16.0,27.0,24,25,78.0,0,2017,2081
180,266,89385,1.8019999999999998,9.0,15.0,24.0,25,27,77.80199999999999,0,2017,2081
181,267,90615,1.633,14.0,12.0,26.0,28,22,77.633,0,2017,2081
182,268,96273,1.568,12.0,15.0,27.0,25,24,77.568,0,2017,2081
183,269,74379,1.469,13.0,12.0,25.0,22,29,77.469,0,2017,2081
184,270,46335,1.432,14.0,16.0,30.0,26,20,77.432,0,2017,2081
185,270,24441,1.432,14.0,16.0,30.0,21,25,77.432,0,2017,2081
186,272,61587,1.33,9.0,16.0,25.0,24,27,77.33,0,2017,2081
187,273,34773,2.0,14.0,18.0,32.0,18,25,77.0,0,2017,2081
188,274,82497,2.0,7.0,16.0,23.0,25,27,77.0,0,2017,2081
189,275,33051,2.0,10.0,13.0,23.0,20,32,77.0,0,2017,2081
190,276,36003,1.6669999999999998,13.0,15.0,28.0,22,25,76.667,0,2017,2081
191,277,81267,1.534,12.0,13.0,25.0,31,19,76.53399999999999,0,2017,2081
192,278,38955,1.466,10.0,19.0,29.0,17,29,76.46600000000001,0,2017,2081
193,279,43137,1.399,13.0,16.0,29.0,24,22,76.399,0,2017,2081
194,280,77577,1.1320000000000001,12.0,14.0,26.0,24,25,76.132,0,2017,2081
195,281,83727,1.099,9.0,15.0,24.0,29,22,76.09899999999999,0,2017,2081
196,282,80529,2.0,10.0,13.0,23.0,20,31,76.0,0,2017,2081
197,283,47565,1.868,12.0,10.0,22.0,30,22,75.868,0,2017,2081
198,284,39939,1.67,15.0,15.0,30.0,25,19,75.67,0,2017,2081
199,285,14847,1.432,14.0,12.0,26.0,28,20,75.432,0,2017,2081
200,286,69459,1.3330000000000002,10.0,14.0,24.0,27,23,75.333,0,2017,2081
201,287,16323,1.33,15.0,15.0,30.0,26,18,75.33,0,2017,2081
202,288,93567,1.7990000000000002,6.0,13.0,19.0,23,31,74.79899999999999,0,2017,2081
203,289,12387,1.6669999999999998,12.0,18.0,30.0,28,15,74.667,0,2017,2081
204,290,38463,1.499,12.0,17.0,29.0,21,23,74.499,0,2017,2081
205,291,73395,1.466,13.0,13.0,26.0,21,26,74.46600000000001,0,2017,2081
206,292,23457,2.0,9.0,16.0,25.0,24,23,74.0,0,2017,2081
207,293,13125,1.67,13.0,16.0,29.0,26,16,72.67,0,2017,2081
208,294,93075,1.03,11.0,16.0,27.0,23,21,72.03,0,2017,2081
209,295,55683,2.0,11.0,15.0,26.0,18,26,72.0,0,2017,2081
210,296,24195,2.0,12.0,9.0,21.0,22,27,72.0,0,2017,2081
211,297,35757,1.901,13.0,13.0,26.0,26,18,71.90100000000001,0,2017,2081
212,298,86925,1.568,12.0,11.0,23.0,28,19,71.568,0,2017,2081
213,299,67737,1.0,10.0,15.0,25.0,25,20,71.0,0,2017,2081
214,300,87171,1.033,12.0,14.0,26.0,22,21,70.033,0,2017,2081
215,301,63309,2.0,13.0,16.0,29.0,21,18,70.0,0,2017,2081
216,302,58389,2.0,13.0,12.0,25.0,25,18,70.0,0,2017,2081
217,303,78315,1.901,9.0,16.0,25.0,20,23,69.90100000000001,0,2017,2081
218,304,31575,0.732,15.0,13.0,28.0,21,20,69.732,0,2017,2081
219,305,91107,2.0,11.0,15.0,26.0,28,13,69.0,0,2017,2081
220,306,30345,1.901,7.0,15.0,22.0,22,23,68.90100000000001,0,2017,2081
221,307,70689,1.901,9.0,14.0,23.0,23,20,67.90100000000001,0,2017,2081
222,308,72657,1.901,11.0,12.0,23.0,21,22,67.90100000000001,0,2017,2081
223,309,51747,1.868,10.0,16.0,26.0,25,15,67.868,0,2017,2081
224,310,72165,1.633,14.0,11.0,25.0,22,19,67.633,0,2017,2081
225,311,94059,1.598,10.0,12.0,22.0,17,27,67.598,0,2017,2081
226,312,56667,1.33,13.0,14.0,27.0,22,17,67.33,0,2017,2081
227,313,18783,1.67,17.0,17.0,34.0,18,13,66.67,0,2017,2081
