"Výsledky přijímacího řízení - Gymnázium, Praha 5, Nad Kavalírkou 1
3.06.2020, 5.06.2020, 9.06.2020
Nepřijatí uchazeči
zveřejněno dne 17.06.2020
""Výsledky přijímacích zkoušek pro školní rok 2020/2021, které jsou zveřejněné na
webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce
Gymnázia, Praha 5, Nad Kavalírkou 1.""",,,,,,,
"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
271.,59493,"77,330","1,330",8,12,30,26
272.,66213,"77,000","2,000",12,14,29,20
273.,52101,"77,000","2,000",10,10,30,25
274.,59045,"76,890","1,890",8,16,22,29
275.,42917,"76,667","1,667",8,18,28,21
276.,15589,"76,220","1,220",8,16,18,33
277.,22085,"76,000","2,000",16,16,32,10
278.,82117,"75,890","1,890",14,12,27,21
279.,40229,"75,890","1,890",10,10,34,20
280.,20293,"75,220","1,220",18,16,18,22
281.,98469,"75,000","2,000",16,16,25,16
282.,52997,"75,000","2,000",10,12,21,30
283.,79429,"75,000","2,000",8,10,27,28
284.,37093,"74,890","1,890",10,16,31,16
285.,86821,"74,670","1,670",14,10,16,33
286.,11333,"74,443","1,443",14,12,17,30
287.,56133,"74,000","2,000",8,14,31,19
288.,51205,"73,667","1,667",12,10,29,21
289.,67557,"73,000","2,000",10,12,27,22
290.,38437,"73,000","2,000",8,10,30,23
291.,67333,"72,780","1,780",10,12,16,33
292.,41797,"72,557","1,557",14,14,21,22
293.,45157,"72,000","2,000",8,14,23,25
294.,78981,"71,000","2,000",10,14,21,24
295.,98693,"70,890","1,890",12,16,23,18
296.,87493,"70,780","1,780",14,16,22,17
297.,97797,"70,670","1,670",8,12,21,28
298.,73605,"70,220","1,220",10,12,29,18
299.,79653,"70,000","2,000",16,14,21,17
Stránka 8 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
300.,93541,"68,667","1,667",10,8,26,23
301.,37765,"68,443","1,443",12,12,24,19
302.,28133,"68,000","2,000",12,18,19,17
303.,34853,"68,000","2,000",12,16,18,20
304.,12005,"68,000","1,000",8,14,22,23
305.,68901,"68,000","2,000",10,8,27,21
306.,31941,"67,667","1,667",8,14,23,21
307.,83237,"67,443","1,443",16,12,14,24
308.,74501,"66,780","1,780",20,12,19,14
309.,80997,"66,330","1,330",8,14,19,24
310.,26789,"66,000","2,000",16,16,15,17
311.,76965,"65,670","1,670",8,10,26,20
312.,29925,"65,333","1,333",8,10,28,18
313.,91973,"65,000","2,000",10,16,19,18
314.,14917,"64,670","0,670",12,14,25,13
315.,87045,"64,667","1,667",4,14,28,17
316.,37541,"64,223","1,223",10,8,24,21
317.,71813,"64,000","2,000",12,10,20,20
318.,43589,"63,447","1,447",12,8,28,14
319.,72485,"63,443","1,443",10,10,25,17
320.,96005,"63,000","2,000",8,14,25,14
321.,85701,"62,670","1,670",6,12,16,27
322.,97573,"62,450","1,450",10,14,27,10
323.,17829,"62,000","2,000",8,12,11,29
324.,30149,"61,780","1,780",12,12,27,9
325.,60837,"61,443","0,443",10,18,18,15
326.,13125,"61,443","1,443",10,12,23,15
327.,57253,"61,000","2,000",10,14,17,18
328.,17381,"61,000","2,000",10,12,24,13
329.,76517,"61,000","2,000",8,12,26,13
330.,42245,"60,890","1,890",16,18,11,14
Stránka 9 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
331.,78309,"60,890","1,890",12,8,29,10
332.,75621,"60,553","1,553",6,10,13,30
333.,89733,"60,000","2,000",14,10,18,16
334.,27909,"59,780","1,780",8,14,17,19
335.,52549,"59,670","1,670",18,8,14,18
336.,24549,"59,443","1,443",12,12,23,11
337.,69125,"58,780","1,780",4,10,23,20
338.,96229,"57,890","1,890",8,16,11,21
339.,44037,"57,890","1,890",18,10,12,16
340.,35525,"57,667","1,667",12,10,20,14
341.,86373,"57,330","1,330",8,12,19,17
342.,81893,"57,110","1,110",10,12,16,18
343.,11109,"57,000","2,000",12,10,21,12
344.,37317,"56,333","1,333",12,14,14,15
345.,46949,"55,333","1,333",8,10,17,19
346.,93317,"55,000","1,000",12,10,14,18
347.,81221,"54,333","1,333",6,14,17,16
348.,74277,"54,220","1,220",10,10,29,4
349.,45381,"54,000","2,000",14,16,11,11
350.,75845,"53,890","1,890",6,10,20,16
351.,24325,"53,443","1,443",16,12,9,15
352.,54789,"52,780","1,780",10,14,9,18
353.,17605,"52,447","1,447",12,8,16,15
354.,71141,"52,000","1,000",10,14,10,17
355.,65541,"51,557","1,557",12,12,13,13
356.,69573,"51,330","1,330",20,10,14,6
357.,95557,"51,223","1,223",4,8,18,20
358.,13349,"51,220","1,220",12,10,8,20
359.,92421,"51,000","2,000",8,14,17,10
360.,76741,"51,000","2,000",12,10,17,10
361.,35973,"51,000","2,000",12,8,19,10
Stránka 10 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
362.,44261,"48,890","1,890",14,6,10,17
363.,55685,"46,000","2,000",12,12,10,10
364.,70917,"46,000","1,000",10,6,17,12
365.,15365,"45,777","1,777",10,10,16,8
366.,12901,"44,670","1,670",6,12,17,8
367.,77189,"43,890","1,890",6,12,10,14
368.,74725,"39,667","1,667",10,14,8,6
369.,65093,"39,667","1,667",16,6,12,4
370.,51653,"37,443","1,443",2,8,11,15
371.,23429,"34,557","0,557",0,8,12,14
372.,35301,"34,000","2,000",8,8,13,3
373.,41573,"33,110","1,110",8,4,16,4
374.,98021,"29,330","1,330",8,6,6,8
375.,62181,"25,443","1,443",10,6,8,0
Celkem počet:,322,,,,,,
Stránka 11 z 11,,,,,,,
