"Výsledky přijímacího řízení - Gymnázium, Praha 5, Nad Kavalírkou 1
16.04.2019, 17.04.2019
Nepřijatí uchazeči
zveřejněno dne 30.04.2019
""Výsledky přijímacích zkoušek pro školní rok 2019/2020, které jsou zveřejněné na
webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce
Gymnázia, Praha 5, Nad Kavalírkou 1.""",,,,,,,
"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
221.,60165,"80,557","1,557",18,10,26,25
222.,81635,"80,000","2,000",18,14,25,21
222.,80505,"80,000","2,000",18,14,27,19
224.,62199,"80,000","2,000",14,14,34,16
225.,72369,"79,890","1,890",16,12,25,25
226.,16095,"79,000","2,000",14,16,28,19
227.,65137,"79,000","2,000",18,10,32,17
228.,12931,"78,000","2,000",12,14,26,24
229.,97681,"78,000","2,000",10,14,22,30
230.,38469,"77,890","1,890",18,10,27,21
231.,15643,"77,557","1,557",14,16,25,21
232.,52933,"77,110","1,110",14,12,26,24
233.,43893,"77,000","2,000",12,16,30,17
234.,24231,"77,000","2,000",14,14,34,13
234.,92935,"77,000","2,000",14,14,23,24
236.,92709,"77,000","2,000",16,12,28,19
237.,14965,"77,000","2,000",16,10,26,23
238.,38243,"76,890","1,890",18,12,30,15
239.,63103,"76,890","1,890",14,12,30,19
Stránka 6 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
240.,86607,"75,557","1,557",10,12,22,30
241.,88641,"75,333","1,333",16,16,21,21
242.,78923,"75,000","2,000",14,10,26,23
243.,12027,"75,000","2,000",12,8,28,25
244.,45249,"74,890","1,890",14,14,32,13
245.,79827,"74,447","1,447",16,10,28,19
246.,19033,"74,330","1,330",10,18,19,26
247.,67397,"74,000","2,000",6,14,25,27
248.,40955,"74,000","2,000",16,10,30,16
249.,44571,"74,000","2,000",14,10,30,18
250.,57679,"73,250","1,250",16,12,27,17
251.,27395,"73,000","2,000",18,16,25,12
252.,43667,"73,000","2,000",12,14,26,19
253.,68753,"73,000","2,000",14,12,29,16
254.,58357,"72,780","1,780",16,12,24,19
255.,34853,"72,670","1,670",20,14,16,21
256.,24909,"72,667","1,667",18,16,28,9
257.,97003,"72,557","1,557",12,12,23,24
258.,78245,"72,447","1,447",12,10,28,21
259.,82313,"72,330","1,330",16,16,22,17
260.,11123,"72,330","1,330",12,10,37,12
261.,84121,"72,000","2,000",6,16,24,24
262.,74177,"72,000","2,000",8,14,23,25
263.,60617,"72,000","2,000",16,6,31,17
264.,62877,"71,000","2,000",6,14,24,25
265.,28525,"70,890","1,890",16,16,21,16
266.,50221,"70,890","1,890",18,10,23,18
267.,22649,"70,890","1,890",10,8,26,25
268.,33949,"69,780","1,780",14,10,19,25
269.,75985,"69,557","1,557",14,12,23,19
270.,89771,"69,000","2,000",10,12,22,23
Stránka 7 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
271.,64685,"68,890","0,890",18,12,17,21
272.,53611,"68,890","1,890",18,10,25,14
273.,45927,"68,667","1,667",14,10,23,20
274.,90449,"68,333","1,333",14,12,24,17
275.,91353,"68,223","1,223",18,8,23,18
276.,30333,"68,110","1,110",8,10,27,22
277.,60843,"68,000","1,000",12,16,26,13
278.,94969,"68,000","2,000",14,14,27,11
279.,49317,"68,000","2,000",20,10,25,11
280.,51125,"68,000","2,000",12,8,22,24
281.,59487,"67,890","1,890",18,10,29,9
282.,34627,"67,890","1,890",14,8,30,14
283.,83443,"67,780","1,780",12,10,20,24
284.,93839,"67,670","1,670",18,12,18,18
285.,70335,"67,220","1,220",8,12,25,21
286.,47283,"66,780","1,780",14,4,19,28
287.,14513,"66,557","1,557",18,12,21,14
288.,76889,"66,443","1,443",6,12,19,28
289.,89545,"65,890","1,890",16,10,24,14
290.,31237,"65,780","1,780",12,12,27,13
291.,92483,"65,443","1,443",14,14,16,20
292.,50447,"65,220","1,220",18,12,16,18
293.,82087,"65,000","2,000",14,12,22,15
294.,17225,"64,890","1,890",16,6,23,18
295.,62651,"64,557","1,557",14,12,23,14
296.,10445,"64,000","2,000",12,14,22,14
297.,81409,"63,890","1,890",14,16,23,9
298.,90675,"63,557","1,557",12,14,23,13
299.,23327,"63,557","1,557",20,12,20,10
300.,73273,"63,443","1,443",14,10,19,19
301.,61521,"63,330","1,330",12,12,19,19
Stránka 8 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
302.,37791,"63,110","1,110",12,8,25,17
303.,63329,"63,000","2,000",14,14,21,12
304.,98585,"63,000","2,000",18,8,27,8
305.,32819,"62,890","1,890",18,14,17,12
306.,71917,"62,780","1,780",8,10,17,26
307.,54289,"62,667","1,667",14,14,26,7
308.,65815,"62,553","1,553",14,10,19,18
309.,28299,"62,333","1,333",20,10,15,16
310.,13609,"62,330","1,330",14,6,19,22
311.,88189,"62,220","1,220",10,14,19,18
312.,72143,"62,110","1,110",12,12,21,16
313.,46379,"62,110","1,110",10,8,21,22
314.,82765,"62,000","2,000",12,16,20,12
315.,86381,"61,777","1,777",8,12,22,18
316.,39825,"61,557","1,557",12,16,21,11
317.,77793,"61,443","1,443",10,10,22,18
318.,89319,"61,333","1,333",16,12,12,20
319.,32367,"60,667","1,667",18,10,20,11
320.,22423,"60,557","1,557",12,10,21,16
321.,11349,"60,333","1,333",14,6,22,17
322.,87963,"59,670","1,670",12,12,24,10
323.,31011,"58,890","1,890",8,12,19,18
324.,54515,"58,670","1,670",14,6,20,17
325.,37113,"58,667","0,667",18,10,13,17
326.,21293,"58,000","2,000",18,8,19,11
327.,78019,"57,557","1,557",6,12,17,21
328.,15417,"57,557","1,557",12,10,21,13
329.,14287,"57,557","1,557",12,8,19,17
330.,48865,"57,000","2,000",14,16,9,16
331.,44119,"57,000","1,000",12,12,19,13
332.,40503,"56,890","1,890",16,10,22,7
Stránka 9 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
333.,59939,"56,670","1,670",16,10,16,13
334.,52029,"56,557","1,557",12,10,21,12
335.,34401,"56,553","1,553",12,14,22,7
336.,62425,"55,553","1,553",10,6,18,20
337.,83669,"54,890","1,890",10,8,16,19
338.,97907,"54,780","1,780",12,12,20,9
339.,73725,"54,780","1,780",14,10,22,7
340.,78697,"54,670","1,670",6,10,18,19
341.,50673,"54,330","1,330",10,8,24,11
342.,42989,"53,890","1,890",14,10,14,14
343.,49543,"53,000","2,000",8,10,21,12
344.,61747,"53,000","2,000",8,4,27,12
345.,80731,"52,780","1,780",6,10,17,18
346.,18355,"52,557","1,557",10,14,19,8
347.,92031,"52,000","2,000",18,10,15,7
348.,30107,"51,667","1,667",14,6,22,8
349.,33045,"51,443","1,443",20,4,19,7
350.,91127,"51,330","1,330",10,12,15,13
351.,64911,"51,330","1,330",12,8,23,7
352.,54967,"50,000","2,000",12,10,15,11
