Výsledek 1.kola přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4L-Rl81 Gymnázia, Praha 6, Nad Alejí L952",,,,,,,,
l.term ín t8.4.2oL7 a 2.termín 20.4.2oL7,,,,,,,,
V souladu s 5 609 školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl,,,,,,,,
"vzdělávat se v Gymn ázlu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli",,,,,,,,
"školy, a to nejpozději do L0 pracovních dnů ode dne zveřejnění seznamu (17.5.2017\.",,,,,,,,
NepotvrdĹli uchazeč/uchazečka nebo zákonný zástupce nezletilého uchazeče/nezletilé,,,,,,,,
"uchazečky odevzdáním zápisového lístku úmysl vzdělávat Se Ve středníškole, zanĺl<ají",,,,,,,,
posledním dnem lhůty právní účinkyrozhodnutí o přijetítohoto uchazeče ke vzdělávánív,,,,,,,,
dané středníškole. Nezletilého uchazeče/nezletĺlouuchazečku zastupuje zákonný zástupce,,,,,,,,
"V rozsahu, v jakém nemá nezletilý/nezletilá procesnízpůsobilost.",,,,,,,,
ěíslo,,Či,,Body,Body Zš,Celkem,Umĺstění,Výsledek
zkoušky,Termín,,M,zkouška,,,,př.řízení
236,1.,31,41,72,12,84,183,nepřiiat/a
237,2,44,48,9Z,IZ,1.O4,"15,-r""6,",přiiat/a
238,1.,35,4I,76,12,B8,"1""43",nepřĺiat/a
239,"1,",42,40,82,12,94,93.-94.,nepřijat/a
240,2,35,37,72,1.7,83,196,nepřijat/a
241.,2,42,35,77,12,89,136.-138,nepřijat/a
242,2,18,34,5Ż,L0,62,369.,nepřijat/a

243,2,26,23,49,LT,60,379,nepřĺiat/a
244,2,48,48,96,"1,2",L08,4.-5,přiiat/a
245,2,29,6,35,T2,47,428,nepřĺiat/a
246,2,25,39,64,t2,76,26r,nepřiiat/a
247,I,47,4I,88,72,100,45.-47,přiiat/a
248,"1,",40,45,85,1.2,97,60,pŕijat/a
Ż49,1.,22,21.,43,3,46,429,nepřijat/a
250,Ż,38,39,77,1.2,89,"1,34.",nepřijat/a
251,1,37,30,67,tL,78,242.,nepřijat/a
252,2,45,44,89,12,101,32.-35,přijat/a
254,z,25,Ż6,51,8,59,383,nepřiiat/a
255,T,39,Ż7,66,12,78,Ż46,nepřiiat/a
256,Ż,27,38,65,"1,t",76,259,nepřiiat/a
257,2,40,43,83,12,95,78,nepřiiat/a
258,1.,33,25,58,9,67,335,n e přiiat/a
259,2,29,35,64,12,76,262,nepřijat/a
260,1.,44,28,7Ż,12,84,r94.,nepřijat/a
261,2,31,44,75,"1,I",86,1'6Ą,nepřiiat/a
262,2,32,36,6B,"1,2",80,2Ż2,nepřiiat/a
263,I,34,44,78,T2,90,r20,nepřiiat/a
264,2,Ż7,32,59,1'Ż,71.,307.-308.,nepřijat/a
265,2,16,T2,28,t2,40,444,ne přijat/a
266,1.,2I,31,52,6,58,388,nepřijat/a
267,2,29,35,64,L0,74,275.,nepřijat/a
273,Ż,27,3Ż,59,t2,7I,307.-308.,nepřiiat/a
274,T,42,34,76,12,88,r48.,nepřiiat/a
275,"1,",40,37,77,t2,89,"135,",nepřiiat/a
276,2,35,31,66,5,"71,",301,nepřijat/a
277,1,34,"21,",55,IŻ,67,"341,.-342",nepřijat/a
278,I,36,42,78,12,90,1.23,nepřijat/a
279,2,45,44,89,1.2,r.01,32.-3s,přijat/a
Ż8o,2,17,27,Ą4,9,53,41.3.,nepřijat/a
281,2,L5,19,34,8,42,437,nepřiĺat/a
284,2,39,29,68,7,75,267,nepřiiat/a
285,T,26,42,68,12,80,220,nepřĺjat/a
286,2,42,33,75,12,87,1.62,nepřĺjat/a
287,7,2I,I6,37,9,46,431-,nepřĺjat/a
288,t,30,42,72,12,B4,182.,nepřijat/a
289,1.,35,33,68,t2,80,2Ż6,nepřiĺat/a
290,1,46,45,91,12,103,20,přiiat/a
294,2,28,18,46,9,55,407,nepřijat/a
295,2,28,31,59,Ľ',70,315,nepřijat/a
306,,27,26,53,3,56,400,nepřijat/a
307,t,35,44,79,T2,91,"1,14,-rr5.",nepřijat/a
308,2,37,36,73,12,85,173,nepřiiat/a
309,2,4Ż,35,77,12,89,136.-138.,nepřiiat/a
310,2,3L,24,55,"1,1.",66,346.,nepřiiat/a
311,2,4L,25,66,n,77,Ż47,nepřijat/a
312,2,38,31,69,7,76,256.,nepřĺjat/a
313,2,23,38,61,7,68,"327,",nepřijat/a
"31,4",2,31,31,62,1.2,74,279,nepřijat/a
315,2,36,28,64,t1,75,269,nepřijat/a
316,1,46,42,88,tŻ,100,43.-44.,přijat/a

317,1,42,46,88,T2,r.00,39,přĺĺat/a
3L8,"1,",27,31,58,10,68,328,nepřiiat/a
319,Ż,28,23,51,"1,t",62,372,nepřiiat/a
320,2,35,40,75,12,87,156,nepřiiat/a
321,t,36,36,72,"1,L",83,197,nepřiiat/a
322,Ż,33,32,65,11,76,260,nepřiiat/a
323,z,33,38,7I,10,81,209,nepřiiat/a
324,I,25,34,59,10,69,32r,nepřijat/a
3Ż5,2,32,38,70,9,79,229,nepřijat/a
326,2,1.4,L6,30,"1,L",4I,440.,nepřijat/a
327,1,30,2T,51,8,59,384.,nepřijat/a
328,1.,37,40,77,1.2,89,133.,nepřiiat/a
329,1,49,48,97,LZ,109,3.,přiiat/a
330,2,32,29,61,12,73,290.,nepřiiat/a
33r.,2,37,33,70,12,82,207,nepřĺjat/a
332,t,17,30,47,1.L,58,393,nepřijat/a
333,"1,",48,48,96,1.2,108,4.-5.,přiiat/a
334,t,36,28,64,I,72,293,nepřiiat/a
33s,1,43,39,82,12,94,95,nepřiiat/a
336,2,30,42,72,1.L,83,195,nepřijat/a
337,1.,30,33,63,12,75,272,nepřijat/a
338,1.,4T,40,81,5,86,163,nepřijat/a
339,2,29,16,45,IZ,57,399,nepřijat/a
