Wsledky pfijimadhoffzenfv 1.kole pfijimacich zkougek,,,,,,,,
"na osmilete studium oboru 79-41-1(181 Gymnazia, Praha 6, Nad Alejf 1952",,,,,,,,
1.termin 13.4.2018 a 2.termin 17.4.2018,,,,,,,,
V souladu s § 60g gkolskeho zAkona potyrdi prijatf uchazeCl/uchazaky svuj Cimysl vzdelavat se v,,,,,,,,
"Gymnaziu, Praha 6, Nad Alejf 1952 odevzdanim zapisoveho listku rediteli gkoly, a to nejpozdeji",,,,,,,,
do 10 pracovnich dnO ode dne zver.ejneni seznamu (16.5.2018). Nepotyrdi-li uchazeeluchazee'ka,,,,,,,,
,,,,,,,,
neoo zaKonny zastupce nezietiteno ucnazece/nezietne ucnazecky odevzdanim zapisoveho Iistku,,,,,,,,
"Cimysl vzdelAvat se ve sti=edni gkole, zanikaji poslednim dnem IhCity pravni alnky rozhodnuti o",,,,,,,,
AEU tohoto uchaze6e ke vzdelavani v dane sdedni gkole. Nezletileho uchaze6e/nezletilou,,,,,,,,
"uchazeau zastupuje z6konnY zastupce v rozsahu, v jakem nema nezletilY/nezletila procesni",,,,,,,,
zpüsobilost.,,,,,,,,
,,,,,,,,
disi,,,,Body,Body,,",",Vysledek
",o",Termin,Cj,M,,,Celkem,Umistem,
zkousky,,,,zkouSka,ZS,,,pf.fizeni
338,1,27,29,56,12,68,244.-245.,neprijat/a
339,2,46,32,78,12,90,73,neprijat/a
340,1,49,48,97,12,109,2,prijat/a
341,2,13,10,23,1,24,429,neprijat/a
342,1,23,17,40,8,48,376,neprijat/a
343,2,33,32,65,11,76,171,neprijat/a
344,1,42,40,82,12,94,44.-45.,prijat/a
345,1,39,34,73,11,84,103,neprijat/a
346,1,45,49,94,10,104,10,prijat/a
347,2,26,14,40,9,49,369.-370.,neprijat/a
351,2,29,27,56,12,68,246,neptijat/a
352,1,21,13,34,7,41,398,neprijat/a
354,2,37,37,74,12,86,95,neprijat/a
355,1,17,14,31,12,43,395,neprijat/a
356,1,16,16,32,10,42,396,neprijat/a
357,1,22,21,43,8,51,356,neptijat/a
358,1,27,13,40,9,49,371,neprijat/a
359,1,17,21,38,10,48,377,neprijat/a
360,1,31,22,53,12,65,267.-268.,neprijat/a
363,2,25,30,55,12,67,254,neprijat/a
364,1,44,37,81,12,93,55.-56.,prijat/a
365,2,34,29,63,12,75,186.-187.,neprijat/a
366,1,49,47,96,12,108,6,prijat/a
367,2,27,28,55,11,66,257,neprijat/a
368,1,12,14,26,8,34,418,neprijat/a
369,2,23,20,43,10,53,343.-344.,neprijatla
370,1,40,21,61,9,70,222,neprijat/a
371,1,19,12,31,7,38,406,neprijat/a
372,1,38,30,68,12,80,140.-141.,neprijat/a
373,2,33,31,64,12,76,173,neprijat/a
374,1,27,25,52,12,64,277,neprijatla
375,2,30,12,42,12,54,338.-339.,neprijat/a
376,1,44,39,83,12,95,41,prijat/a
377,1,43,33,76,12,88,85,neprijat/a
378,2,33,24,57,12,69,237.-239.,neprijat/a
379,1,39,35,74,12,86,96,neprijat/a
381,2,38,31,69,12,81,131,neprijatla
382,1,21,19,40,10,50,364,neprijat/a
383,2,23,20,43,10,53,343.-344.,neprijat/a
385,1,44,48,92,12,104,11,prijat/a
386,1,31,27,58,12,70,226,neprijat/a
388,2,27,26,53,12,65,266,neprijat/a
389,2,33,26,59,12,71,216.-217.,neprijat/a
390,2,37,27,64,6,70,220,neprijat/a
391,2,48,49,97,12,109,1,prijat/a
392,1,49,30,79,12,91,66,neprijat/a
,,,,,,,,
393,1,15,23,38,9,47,380,neprijat/a
395,1,48,28,76,12,88,87,neprijat/a
396,2,28,13,41,6,47,379,neprijat/a
397,2,33,20,53,11,64,275,neprijat/a
400,1,32,35,67,12,79,144,neprijat/a
401,2,24,33,57,12,69,232.-233.,neprijat/a
402,2,15,11,26,8,34,419,neprijat/a
403,1,37,21,58,12,70,229,neprijat/a
404,1,13,6,19,6,25,428,neprijat/a
405,1,41,40,81,12,93,50,pfijat/a
406,1,13,3,16,4,20,431,neprijat/a
407,1,32,28,60,12,72,207.-208.,neprijat/a
408,1,27,30,57,12,69,234,neprijat/a
410,1,42,39,81,12,93,51,pfijat/a
411,2,42,42,84,12,96,35,prijat/a
412,2,39,37,76,12,88,83,neprijat/a
413,2,19,11,30,7,37,409,neprijat/a
416,2,33,20,53,12,65,270.-271.,neprijat/a
418,2,36,34,70,11,81,130,neprijat/a
420,2,17,18,35,6,41,397,nepfijat/a
421,1,31,9,40,12,52,354,neprijat/a
422,2,40,42,82,12,94,43,pfijat/a
423,1,30,31,61,6,67,251,neprijat/a
424,1,31,26,57,12,69,237.-239.,neprijat/a
426,1,44,25,69,12,81,134,neprijat/a
427,1,37,29,66,12,78,157.-159.,neprijat/a
428,1,32,34,66,12,78,156,neprijat/a
429,2,33,20,53,12,65,270.-271.,neprijat/a
430,2,44,34,78,10,88,82,neprijat/a
431,1,27,21,48,12,60,308,neprijat/a
432,2,38,25,63,10,73,195,neprijat/a
433,1,38,42,80,12,92,57,pfijat/a
