,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
d,'isk),,,,Body,,,,Vysledek
,,Termin,Cj,M,,Body Z',Celkem,Umisteni,
,zkousky,termin,czech,math,schoolexam,grades,Total,Poradi,IsAdmitted
276,,2,35,31,66,5,71,301,neprijat/a
277,,1,34,21,55,12,67,341.-342.,neprijat/a
278,,1,36,42,78,12,90,123,neprijat/a
279,,2,45,44,89,12,101,32.-35.,prijat/a
280,,2,17,27,44,9,53,413,neprijat/a
281,,2,15,19,34,8,42,437,neprijat/a
284,,2,39,29,68,7,75,267,neprijat/a
285,,1,26,42,68,12,80,220,neprijat/a
286,,2,42,33,75,12,87,162,neprijat/a
287,,1,21,16,37,9,46,431,neprijat/a
288,,1,30,42,72,12,84,182,neprijat/a
289,,1,35,33,68,12,80,226,neprijat/a
290,,1,46,45,91,12,103,20,prijat/a
294,,2,28,18,46,9,55,407,neprijat/a
295,,2,28,31,59,11,70,315,neprijatia
306,,1,27,26,53,3,56,400,neprijat/a
307,,1,35,44,79,12,91,114.-115.,neprijat/a
308,,2,37,36,73,12,85,173,neprijat/a
309,,2,42,35,77,12,89,136.-138.,neprijat/a
310,,2,31,24,55,11,66,346,neprijat/a
311,,2,41,25,66,11,77,247,neprijat/a
312,,2,38,31,69,7,76,256,neprijat/a
313,,2,23,38,61,7,68,327,neprijat/a
314,,2,31,31,62,12,74,279,nepHjat/a
315,,2,36,28,64,11,75,269,neprijat/a
316,,1,46,42,88,12,100,43.-44.,prijatia
,,,,,,,,,
317,,1,42,46,88,12,100,39,prijat/a
318,,1,27,31,58,10,68,328,neprijat/a
319,,2,28,23,51,11,62,372,neprijat/a
320,,2,35,40,75,12,87,156,neprijat/a
321,,1,36,36,72,11,23,197,neniiiath
322,,2,33,32,65,11,76,260,neprijat/a
323,,2,33,38,71,10,81,209,neprijat/a
324,,1,25,34,59,10,69,321,neprijat/a
325,,2,32,38,70,9,79,229,neprijat/a
326,,2,14,16,30,11,41,440,neprijat/a
327,,1,30,21,51,8,59,384,neprijat/a
328,,1,37,40,77,12,89,133,neprijat/a
329,,1,49,48,97,12,109,3,prijat/a
330,,2,32,29,61,12,73,290,neprijat/a
331,,2,37,33,70,12,82,207,neprijat/a
332,,1,17,30,47,11,58,393,neprijat/a
333,,1,48,48,96,12,108,4.-5.,prijat/a
334,,1,36,28,64,8,72,293,neprijat/a
335,,1,43,39,82,12,94,95,neprijat/a
336,,2,30,42,72,11,83,195,neprijat/a
337,,1,30,33,63,12,75,272,neprijat/a
338,,1,41,40,81,5,86,163,neprijat/a
339,,2,29,16,45,12,57,399,neprijat/a
340,,2,40,32,72,12,84,191.-192.,neprijat/a
341,,1,46,43,89,12,101,36,prijat/a
342,,1,38,38,76,12,88,146,neprijat/a
346,,2,38,41,79,11,90,119,neprijat/a
347,,2,44,42,86,12,98,57.-58.,prijat/a
348,,2,23,16,39,8,47,426,neprijat/a
349,,2,46,39,85,12,97,68.-69.,neprijat/a
350,,1,35,43,78,12,90,121.-122.,neprijat/a
351,,1,43,35,78,12,90,128,neprijat/a
352,,1,41,44,85,12,97,61.-63.,prijat/a
353,,1,41,42,83,12,95,79.-81.,neprijat/a
354,,2,35,27,62,12,74,281,neprijat/a
355,,2,33,39,72,12,84,185,neprijat/a
356,,1,46,44,90,12,102,28,prijat/a
357,,1,28,28,56,9,65,351,neprijat/a
358,,1,43,42,85,12,97,64.-65.,neprijat/a
359,,1,47,40,87,12,99,51.-52.,prijat/a
360,,1,37,23,60,12,72,300,neprijat/a
361,,2,27,33,60,11,71,305,neprijat/a
362,,2,32,19,51,9,60,378,neprijat/a
363,,2,29,13,42,12,54,411,neprijat/a
364,,1,32,27,59,12,71,313,neprijat/a
365,,2,33,32,65,12,77,250,neprijat/a
366,,2,37,30,67,12,79,236,neprijat/a
367,,2,39,42,81,12,93,98.-99.,neprijat/a
368,,1,45,46,91,12,103,18.-19.,prijat/a
369,,2,36,33,69,12,81,217.-218.,neprijat/a
370,,2,40,30,70,12,82,208,neprijat/a
371,,2,29,41,70,12,82,205,neprijat/a
372,,2,0,0,0,12,12,,probiha Pk
,,,,,,,,,
373,,2,34,22,56,8,64,359,neprijat/a
374,,2,40,41,81,12,93,100,neprijat/a
375,,1,39,40,79,12,91,116,neprijat/a
376,,2,25,26,51,12,63,365.-366.,neprijat/a
377,,2,35,29,64,12,76,265,npnriiat/a
379,,1,40,46,86,12,98,54,prijat/a
380,,1,43,46,89,12,101,30.-31.,prijat/a
381,,2,42,35,77,12,89,136.-138.,neprijat/a
382,,1,43,40,83,12,95,84,neprijat/a
383,,1,44,42,86,12,98,57.-58.,prijat/a
384,,2,44,44,88,12,100,41.-42.,prijat/a
385,,1,34,35,69,12,81,213,neprijat/a
386,,1,37,38,75,12,87,157.-158.,neprijat/a
395,,2,13,28,41,12,53,414,neprijat/a
396,,1,29,39,68,12,80,221,neprijat/a
397,,1,37,42,79,9,88,141,neprijat/a
398,,2,29,34,63,9,72,294,neprijat/a
399,,1,28,44,72,12,84,180.-181.,neprijat/a
400,,2,45,48,93,12,105,11.-12.,prijat/a
401,,2,33,24,57,12,69,325,neprijat/a
402,,1,33,33,66,10,76,258,neprijat/a
403,,2,40,32,72,12,84,191.-192.,neprijat/a
404,,2,22,27,49,12,61,375,neprijat/a
405,,1,27,29,56,11,67,337,neprijat/a
406,,1,24,41,65,8,73,283,neprijat/a
407,,1,28,13,41,12,53,415,neprijat/a
408,,2,20,9,29,8,37,446,neprijat/a
409,,2,39,42,81,12,93,98.-99.,neprijat/a
410,,1,43,38,81,12,93,101,neprijat/a
411,,1,30,29,59,12,71,311,neprijat/a
412,,1,34,41,75,12,87,154.-155.,nepiljat/a
413,,1,37,41,78,12,90,124.-125.,neprijat/a
414,,1,20,25,45,11,56,404,neprijat/a
415,,1,19,24,43,8,51,418,neprijat/a
416,,2,41,44,85,12,97,61.-63.,prijat/a
417,,1,25,23,48,12,60,381,neprijat/a
418,,1,32,34,66,6,72,291,neprijat/a
419,,1,49,42,91,12,103,21,prijat/a
420,,2,26,18,44,12,56,405,neprijat/a
421,,2,0,0,0,6,6,,nekonal/a
422,,2,32,44,76,12,88,142,neprijat/a
423,,2,42,42,84,12,96,72.-73.,neprijat/a
424,,1,34,41,75,12,87,154.-155.,neprijat/a
425,,1,24,23,47,12,59,387,neprijat/a
434,,1,47,41,88,12,100,45.-47.,prijat/a
435,,1,20,28,48,8,56,402,neprijat/a
437,,1,18,21,39,8,47,424,neprijat/a
438,,2,28,27,55,12,67,339,neprijat/a
439,,2,36,46,82,12,94,86,neprijat/a
440,,2,38,15,53,12,65,357,neprijat/a
441,,2,31,43,74,12,86,165,neprijat/a
442,,1,44,41,85,12,97,66.-67.,neprijat/a
443,,2,35,35,70,9,79,230,neprijat/a
,,,,,,,,,
444,,1,23,32,55,6,61,374,neprijat/a
445,,2,44,38,82,12,94,96,neprijat/a
446,,2,17,44,61,12,73,286,neprijat/a
447,,1,25,26,51,12,63,365.-366.,neprijat/a
448,,1,18,21,39,7,46,430,npnhiat/a
449,,1,31,36,67,12,79,233,neprijat/a
450,,1,31,32,63,12,75,273,neprijat/a
451,,1,21,31,52,10,62,370,neprijat/a
452,,1,29,33,62,9,71,302,neprijat/a
453,,2,27,33,60,7,67,334,neprijat/a
454,,1,39,35,74,12,86,169.-170.,neprijat/a
455,,1,41,39,80,12,92,104.-105.,neprijat/a
456,,1,34,37,71,8,79,228,neprijat/a
457,,1,30,18,48,12,60,382,neprijat/a
458,,1,42,48,90,12,102,23.-24.,prijat/a
459,,1,32,35,67,12,79,234,neprijat/a
460,,1,10,16,26,11,37,447,neprijat/a
461,,1,34,32,66,12,78,244,neprijat/a
462,,2,34,21,55,11,66,347,neprijat/a
463,,2,32,23,55,5,60,376,neprijat/a
464,,1,40,33,73,12,85,175,neprijat/a
465,,1,42,44,86,12,98,55,prijat/a
466,,1,30,20,50,7,57,396,neprijat/a
467,,1,38,34,72,12,84,190,neprijat/a
468,,1,38,44,82,12,94,87.-88.,neprijat/a
469,,1,45,35,80,12,92,109,neprijat/a
470,,1,32,38,70,11,81,210,neprijat/a
471,,2,21,35,56,12,68,331,neprijat/a
472,,1,35,22,57,12,69,326,neprijat/a
473,,2,34,34,68,12,80,224.-225.,neprijat/a
474,,1,33,46,79,12,91,113,neprijat/a
475,,1,30,32,62,12,74,278,neprijat/a
476,,1,41,30,71,12,83,203,neprijat/a
477,,1,30,39,69,0,69,318,neprijat/a
478,,1,29,25,54,12,66,349,neprijat/a
479,,1,21,30,51,12,63,364,neprijat/a
480,,1,27,30,57,9,66,344,neprijat/a
481,,1,18,29,47,10,57,397,neprijat/a
482,,1,34,30,64,12,76,264,neprijat/a
484,,2,35,41,76,11,87,152,neprijat/a
493,,2,31,23,54,8,62,367,neprijat/a
494,,1,42,37,79,12,91,118,neprijat/a
495,,2,32,18,50,8,58,391,neprijat/a
496,,2,35,28,63,12,75,274,neprijat/a
497,,1,36,40,76,12,88,144.-145.,neprijat/a
498,,1,42,38,80,11,91,112,neprijat/a
499,,2,43,45,88,12,100,40,prijat/a
500,,2,49,46,95,12,107,6,prijat/a
501,,2,26,27,53,2,55,406,neprijat/a
502,,2,14,23,37,3,40,441,neprijat/a
503,,1,34,32,66,9,75,268,neprijat/a
504,,1,26,31,57,11,68,330,neprijat/a
505,,2,19,26,45,5,50,419,neprijat/a
,,,,,,,,,
506,,2,22,32,54,11,65,353,neprijat/a
507,,1,42,40,82,12,94,93.-94.,neprijat/a
508,,1,45,48,93,12,105,11.-12.,prijat/a
509,,2,29,24,53,12,65,356,neprijat/a
510,,1,42,38,80,12,65,365,nent=iiatia
511,,1,41,44,85,11,96,71,neprijat/a
512,,1,39,36,75,12,87,159,neprijat/a
513,,1,37,35,72,11,83,198,neprijat/a
514,,1,45,44,89,12,101,32.-35.,prijat/a
515,,2,14,15,29,2,31,455,neprijat/a
516,,2,31,28,59,12,71,312,neprijat/a
518,,2,27,36,63,12,75,271,neprijat/a
519,,1,35,31,66,12,78,245,neprijat/a
520,,1,34,44,78,9,87,151,neprijat/a
521,,1,14,21,35,3,38,445,neprijat/a
522,,2,43,41,84,12,96,74.-75.,neprijat/a
523,,1,0,0,0,12,12,,problha Pk
524,,1,32,42,74,4,78,239,neprijat/a
527,,2,41,35,76,8,84,176,neprijat/a
528,,2,24,36,60,9,69,319,neprijat/a
529,,1,24,27,51,7,58,389,neprijat/a
530,,2,24,30,54,12,66,348,neprijat/a
531,,1,37,41,78,12,90,124.-125.,neprijat/a
532,,1,25,18,43,7,50,420,neprijat/a
533,,1,21,16,37,7,44,434,neprijat/a
534,,2,18,34,52,5,57,395,neprijat/a
535,,2,19,20,39,8,47,425,neprijat/a
540,,2,29,28,57,8,65,350,neprijat/a
541,,1,29,14,43,12,55,409,neprijat/a
542,,2,30,32,62,9,71,303,neprijat/a
543,,2,26,36,62,10,72,296,neprijat/a
544,,2,33,34,67,11,78,241,neprijat/a
545,,2,45,44,89,12,101,32.-35.,prijat/a
546,,2,46,39,85,12,97,68.-69.,neprijat/a
547,,1,10,15,25,8,33,451,neprijat/a
548,,2,35,46,81,12,93,97,neprijat/a
549,,1,24,34,58,11,69,322,neprijat/a
551,,1,46,48,94,12,106,7.-9.,prijat/a
554,,2,29,30,59,12,71,309.-310.,neprijat/a
556,,2,26,34,60,12,72,298,neprijat/a
557,,1,39,44,83,12,95,77,neprijat/a
565,,2,43,43,86,12,98,56,prijat/a
566,,2,35,25,60,11,71,306,neprijat/a
567,,1,39,35,74,12,86,169.-170.,neprijat/a
568,,1,24,24,48,5,53,412,neprijat/a
569,,1,12,18,30,5,35,450,neprijat/a
570,,1,43,47,90,12,102,25,prijat/a
571,,2,35,30,65,12,77,251.-252.,neprijat/a
572,,1,47,47,94,12,106,10,prijat/a
573,,2,47,43,90,10,100,38,prijat/a
574,,2,31,22,53,9,62,368,neprijat/a
575,,2,44,34,78,12,90,129,neprijat/a
576,,1,35,30,65,12,77,251.-252.,neprijat/a
,,,,,,,,,
577,,2,25,28,53,11,64,360,nepfijat/a
578,,1,34,24,58,12,70,317,nepfijat/a
579,,2,29,26,55,12,67,340,nepfijat/a
580,,2,33,30,63,9,72,295,nepfijat/a
581,,1,49,44,93,12,105,14,nigiatia
582,,2,40,40,80,9,89,131,nepfijat/a
583,,1,44,41,85,12,97,66.-67.,nepfijat/a
584,,2,30,21,51,11,62,373,nepfijat/a
585,,2,45,43,88,11,99,49,pfijat/a
586,,1,37,35,72,12,84,188.-189.,nepfijat/a
587,,2,36,40,76,12,88,144.-145.,nepfijat/a
588,,1,42,48,90,12,102,23.-24.,pfijat/a
589,,2,41,27,68,10,78,240,nepfijat/a
590,,1,32,28,60,9,69,320,nepfijat/a
591,,1,23,32,55,12,67,338,nepfijat/a
592,,2,25,30,55,10,65,352,neprijat/a
593,,1,41,42,83,12,95,79.-81.,neprijat/a
594,,1,27,34,61,10,71,304,nepfijat/a
595,,1,14,12,26,11,37,448,nepfijat/a
596,,2,34,38,72,12,84,186,nepfijat/a
597,,2,14,16,30,1,31,454,nepfijat/a
598,,2,22,15,37,7,44,435,nepfijat/a
599,,2,15,14,29,3,32,452,nepfijat/a
600,,2,35,21,56,12,68,333,nepfijat/a
601,,2,41,39,80,12,92,104.-105.,nepfijat/a
602,,1,40,28,68,12,80,227,nepfijat/a
603,,2,17,10,27,5,32,453,nepfijat/a
604,,1,27,18,45,6,51,417,nepfijat/a
605,,1,38,36,74,10,84,179,nepfijat/a
606,,1,34,24,58,9,67,336,nepfijat/a
607,,2,33,33,66,6,72,292,nepfijat/a
608,,1,26,22,48,10,58,392,nepfijat/a
611,,2,24,35,59,5,64,358,nepfijat/a
612,,1,45,46,91,12,103,18.-19.,pfijat/a
613,,1,35,34,69,12,81,214.-216.,nepfijat/a
614,,2,36,29,65,12,77,253.-255.,nepfijat/a
616,,1,18,27,45,7,52,416,nepfijat/a
617,,1,18,22,40,4,44,432,nepfijat/a
618,,2,40,35,75,12,87,160.-161.,nepfijat/a
619,,2,38,45,83,11,94,85,nepfijat/a
621,,1,39,30,69,12,81,219,nepfijat/a
622,,2,25,18,43,11,54,410,neprijat/a
623,,1,35,34,69,12,81,214.-216.,nepfijat/a
627,,1,44,40,84,12,96,76,nepfijat/a
628,,1,19,15,34,6,40,443,nepfijat/a
629,,1,37,35,72,12,84,188.489.,nepfijat/a
630,,1,46,45,91,11,102,22,prijat/a
632,,1,44,33,77,12,89,140,nepfijat/a
635,,2,32,24,56,12,68,332,nepfijat/a
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
