Výsledky přijímacího řízenív 1.kole přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4t-Kĺ81 Gymnázia, Praha 6, Nad Atejí L952",,,,,,,,
l.termín 13.4.2oL8 a 2.termín L7 .4.2oL8,,,,,,,,
V souladu s 5 60g školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl vzdělávat se v,,,,,,,,
"Gymnáziu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli školy, a to nejpozději",,,,,,,,
do L0 pracovních dnů ode dne zveřejněníseznamu (16.5.2018).NepotvrdĹli uchazeč/uchazečka,,,,,,,,
nebo zákonný zástupce nezletilého uchazeče/nezletiléuchazečky odevzdáním zápisového lístku,,,,,,,,
"úmysl vzdělávat se Ve střední škole, zanikají posledním dnem lhůty právní účinkyrozhodnutío",,,,,,,,
přijetítohoto uchazeče ke vzdělávánív dané středníškole. Nezletilého uchazeče/nezletĺlou,,,,,,,,
"uchazečku zastupuje zákonný zástupce v rozsahu, v jakém nemá nezletilý/nezletĺlá procesní",,,,,,,,
způsobilost.,,,,,,,,
číslo,,,,Body,,,,
,,,,,,,,Výsledek
,Terrnĺn,,,zkouška,,,Umístění,př.řízení
22L,2,40,22,62,LL,73,r97,nepřijat/a
223,2,4Ż,25,67,L2,79,150.,nepřiiava
224,2,32,15,47,10,57,320.,nepřiiaVa
22s,1,32,20,52,L2,64,280.,nepřiiaVa
226,T,4I,37,78,L2,90,69.-70.,nepřiiaVa
227,2,29,36,65,12,77,"L62.-1,63.",nepřijaVa
228,z,27,18,45,5,50,362.,nepřijaťa
229,I,31,zt,52,12,64,278-279,nepřijaVa
230,I,16,13,29,6,35,"4I5,",nepřiiaVa
23L,2,LL,4,15,3,18,432,nepřiiaVa
233,Ż,45,34,79,t2,91,64.-65.,nepřijaUa
235,I,31,25,56,10,66,256.,nepřijaUa
237,I,15,t7,3Z,12,44,39r..,nepřijaUa
238,2,44,4I,85,t2,97,32.,přijat/a
240,"1,",45,39,84,u-,95,37,přijaUa
241,2,40,29,69,9,78,153,nepřiiaVa
242,t,39,4L,80,IŻ,92,58.,přiiaVa
243,2,32,7,39,10,49,373,nepřijaVa
244,2,L8,8,26,5,31,42L.,nepřijat/a
245,1,34,26,60,Íz,72,209,nepřijaUa
246,1.,37,29,66,12,78,157.-L59,nepřijat/a
247,I,4T,37,78,L2,90,69.-70.,nepřiĺat/a
249,"1,",42,40,82,72,94,44.-45,přijaUa
2s0,1,35,32,67,t2,79,L45.-146.,nepřijaVa
255,2,45,38,83,12,95,42,přijaVa
256,1.,,,0,T2,T2,probíhá PŘ,
257,"1,",33,32,65,12,77,164.-L65,nepřiiat/a
258,"1,",35,39,74,L2,86,94,nepřiiaUa
259,2,20,L3,33,2,35,41.4,nepřiiaUa
260,2,L4,t2,26,3,Ż9,422,nepřiiaUa
267,2,44,46,90,12,roz,T7,přiiaUa

263,t,29,L4,43,tz,55,33Ż.,nepřijat/a
265,2,25,L3,38,7,45,387.,nepřijat/a
Ż66,t,33,24,57,LŻ,69,240.,nepřijat/a
267,2,44,38,8Ż,L2,94,46.,přijaVa
269,t,3L,28,59,LT,70,zŻ3.,nepřijaUa
270,I,33,24,57,L2,69,237.-239.,nepřijat/a
273,2,35,37,72,L2,84,ro4.,nepřijaUa
274,2,33,30,63,LI,74,189,nepřiiaVa
276,1.,32,ZL,53,L2,65,269,nepřiiaVa
278,2,29,2t,50,LŻ,62,289,nepřiiat/a
280,2,19,13,32,T2,44,392,nepřiiaVa
28r,"1,",45,48,93,12,105,9,přiiaVa
282,"1,",35,15,50,12,62,29r,nepřijaVa
283,I,38,39,77,12,89,77.-78.,nepřijaUa
284,2,39,38,77,L2,89,79.-80.,nepřijaUa
285,Ż,39,32,7I,L2,83,1Ż0,nepřijat/a
286,1,34,24,58,12,70,228,nepřiiaVa
287,"1,",Ż7,19,46,8,54,334.,nepřiiat/a
288,1.,44,L9,63,T2,75,188,nepřiiat/a
289,2,23,20,43,9,5Ż,349.-350,nepřiiaUa
290,').,3L,32,63,t2,75,185,nepřiiaVa
29r,t,29,16,45,"Ľ""",56,326.-3Ż7,nepřiiaUa
292,I,42,30,72,T2,84,108.-109,nepřiiat/a
293,2,42,43,85,t2,97,"31,",přijaVa
294,2,40,39,79,TZ,91,63,nepřijaUa
29s,"1,",,,0,2,2,,ukončil/a PŘ
296,1,37,30,67,"1,1,",78,154,nepřijaVa
297,T,31,2L,52,TT,63,282,nepřiiaUa
298,1,,,0,10,10,probíhá PŘ,
299,z,46,38,84,12,96,36,přiiaUa
300,2,39,26,65,72,77,"167,",nepřijaVa
302,"1,",31,26,57,"1,1",68,243.,nepřijat/a
303,I,33,23,56,12,68,249.,nepřijaVa
304,1,25,26,51,9,60,305,nepřiiaUa
305,1,35,31,66,IT,77,161,nepřiiat/a
306,"1""",45,31,76,tz,88,86,nepřiiat/a
308,t,22,15,37,LI,48,378,nepřijaUa
309,2,43,35,78,t2,90,72.,nepřUat/a
310,z,4L,32,73,L0,83,LL2,nepřiiat/a
311,1.,1.4,23,37,L2,49,374,nepřiiat/a
3tŻ,I,25,Ż0,45,6,51,3s5.,nepřijat/a
"31,4",2,3s,35,70,12,82,r25.-L26.,nepřijaUa
315,2,18,z4,42,9,51,357.,nepřijaVa
316,1.,39,38,77,IŻ,89,79.-80,nepřiiaVa
317,t,21,27,48,7,55,329.,nepřiiaVa
318,2,23,22,45,12,57,322.,nepřiiaVa
320,"1,",33,29,62,9,7t,272,nepřijaVa
32r,T,,,0,72,IZ,,ukončil/a PŘ
322,1.,31,25,56,12,68,247.-248.,nepřijaVa
323,2,25,15,40,T2,52,353,nepřijaVa
327,1.,34,29,63,12,75,186.-L87,nepřijat/a
