ID,termin,czech,math,school,"Body
ZÅ grades",Celkem,Poradi
555,2,26,37,63,9,72,201
556,2,47,24,71,12,83,141
557,2,25,20,45,7,52,337
558,2,40,36,76,12,88,102.-103.
559,2,46,40,86,12,98,38.-39.
560,2,19,11,30,12,42,390
561,2,25,17,42,7,49,354
562,2,16,10,26,9,35,408
563,2,33,18,51,12,63,262
564,2,40,23,63,12,75,184
565,2,0,0,0,1,1,probÃ­hÃ¡ PÅ˜
566,2,33,20,53,12,65,245.-246.
567,2,40,39,79,12,91,78.-79.
568,2,48,42,90,12,102,23.-24.
569,2,37,27,64,10,74,186
570,2,15,17,32,12,44,379
571,2,21,15,36,12,48,364
572,2,36,26,62,12,74,194
573,2,20,28,48,11,59,285
574,2,43,35,78,12,90,91
575,2,37,33,70,12,82,146.-147.
576,2,16,14,30,12,42,389
577,1,13,15,28,7,35,404
578,1,41,31,72,12,84,126
579,1,28,33,61,12,73,197
580,1,32,27,59,11,70,214
581,1,44,27,71,12,83,136.-139.
582,2,21,17,38,8,46,369
583,1,38,38,76,12,88,101
584,1,26,18,44,12,56,313.-314.
,,,,,,,
585,1,30,15,45,12,57,301
586,1,27,20,47,9,56,308
587,1,32,20,52,11,63,256
588,1,45,41,86,12,98,37
589,1,34,23,57,9,66,236
590,1,16,13,29,10,39,399
591,1,19,14,33,12,45,377
592,1,32,19,51,12,63,260.-261.
593,1,36,31,67,12,79,165
594,1,11,12,23,8,31,420
595,1,40,43,83,12,95,48.-49.
596,1,23,13,36,12,48,366
597,1,9,6,15,1,16,433
598,1,44,47,91,12,103,16
599,1,34,22,56,12,68,230
600,1,12,9,21,9,30,423
601,1,41,39,80,12,92,70.-71.
602,1,0,0,0,12,12,probÃ­hÃ¡ PÅ˜
623,1,12,20,32,7,39,398
624,1,33,37,70,12,82,143
625,1,47,32,79,12,91,83
626,1,13,7,20,10,30,424.-425.
627,1,28,19,47,12,59,288.-290.
628,1,16,7,23,9,32,418
629,1,34,31,65,11,76,177
630,1,19,16,35,3,38,401
631,1,29,28,57,12,69,219
632,1,21,13,34,12,46,372
633,1,31,25,56,12,68,229
634,1,18,10,28,12,40,397
635,1,30,10,40,11,51,349
636,1,24,10,34,12,46,373
637,1,30,20,50,12,62,270.-271.
638,1,28,13,41,12,53,335
639,1,40,38,78,12,90,88
640,1,0,0,0,12,12,probÃ­hÃ¡ PÅ˜
641,1,31,31,62,12,74,192
642,1,29,11,40,12,52,345
643,1,14,8,22,7,29,427
644,1,40,41,81,12,93,63
645,1,40,43,83,12,95,48.-49.
646,1,18,34,52,12,64,251
647,1,20,23,43,12,55,321
648,1,39,29,68,12,80,160.-161.
649,1,18,11,29,6,35,403
650,2,39,31,70,12,82,148.-149.
651,2,27,23,50,12,62,267
652,2,34,42,76,12,88,99
653,2,26,23,49,7,56,303
654,2,28,25,53,11,64,249
655,2,42,38,80,12,92,72
656,2,28,14,42,10,52,341
,,,,,,,
657,2,32,25,57,12,69,221
658,2,39,43,82,12,94,57
659,2,34,32,66,12,78,168.-169.
660,2,11,8,19,12,31,422
661,2,13,8,21,7,28,429
662,2,32,16,48,11,59,286
663,2,44,32,76,11,87,109
664,2,14,28,42,10,52,339
665,2,47,40,87,12,99,33
666,2,44,40,84,12,96,43.-44.
667,2,29,29,58,12,70,215.-216.
668,2,40,18,58,10,68,224
669,2,24,21,45,5,50,351
672,1,22,33,55,11,66,237
673,1,30,16,46,7,53,328
674,1,33,13,46,10,56,309
675,1,10,4,14,8,22,432
676,1,48,47,95,12,107,7
677,2,27,26,53,12,65,243
678,2,42,24,66,12,78,170.-171.
679,2,28,11,39,10,49,355
680,2,29,35,64,3,67,231
681,2,29,31,60,12,72,204
682,2,25,35,60,12,72,203
683,2,35,28,63,11,74,188
684,2,33,24,57,12,69,222
685,2,5,9,14,8,22,431
689,1,37,49,86,12,98,34
690,2,26,17,43,8,51,347
691,2,29,17,46,12,58,296
