TODROP,RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM,YEAR,SCHOOLCOURSE_ID
220,221,8025,20.0,0,20,25,65,2020,1581
221,222,8031,20.0,0,24,21,65,2020,1581
222,223,8293,20.0,0,24,20,64,2020,1581
223,224,8259,20.0,0,25,19,64,2020,1581
224,225,8126,20.0,0,30,14,64,2020,1581
225,226,8260,19.0,0,11,33,63,2020,1581
226,227,8152,18.0,0,20,25,63,2020,1581
227,228,8143,20.0,0,24,19,63,2020,1581
228,229,8052,18.0,0,15,29,62,2020,1581
229,230,8164,17.0,0,19,26,62,2020,1581
230,231,8125,20.0,0,21,21,62,2020,1581
231,232,8301,19.0,0,23,20,62,2020,1581
232,233,8081,18.0,0,25,19,62,2020,1581
233,234,8267,20.0,0,27,15,62,2020,1581
234,235,8026,20.0,0,21,20,61,2020,1581
235,236,8228,19.0,0,24,18,61,2020,1581
236,237,8249,20.0,0,12,28,60,2020,1581
237,238,8012,20.0,0,24,16,60,2020,1581
238,239,8034,19.0,0,27,14,60,2020,1581
239,240,8244,20.0,0,30,10,60,2020,1581
240,241,8171,20.0,0,23,16,59,2020,1581
241,242,8294,14.0,0,24,20,58,2020,1581
242,243,8225,20.0,0,20,18,58,2020,1581
243,244,8150,17.0,0,15,25,57,2020,1581
244,245,8117,17.0,0,21,19,57,2020,1581
245,246,8043,17.0,0,13,26,56,2020,1581
246,247,8194,20.0,0,14,22,56,2020,1581
247,248,8100,20.0,0,19,17,56,2020,1581
248,249,8203,20.0,0,21,15,56,2020,1581
249,250,8049,20.0,0,23,13,56,2020,1581
250,251,8205,19.0,0,17,19,55,2020,1581
251,252,8136,19.0,0,19,17,55,2020,1581
252,253,8187,18.0,0,21,16,55,2020,1581
253,254,8147,20.0,0,22,13,55,2020,1581
254,255,8094,12.0,0,25,17,54,2020,1581
255,256,8158,19.0,0,19,16,54,2020,1581
256,257,8213,20.0,0,22,12,54,2020,1581
257,258,8298,20.0,0,18,15,53,2020,1581
258,259,8288,20.0,0,18,15,53,2020,1581
259,260,8193,17.0,0,23,13,53,2020,1581
260,261,8134,18.0,0,23,12,53,2020,1581
261,262,8219,19.0,0,32,2,53,2020,1581
262,263,8082,19.0,0,15,18,52,2020,1581
263,264,8079,20.0,0,15,17,52,2020,1581
264,265,8190,19.0,0,23,10,52,2020,1581
265,266,8236,19.0,0,11,21,51,2020,1581
266,267,8188,18.0,0,13,19,50,2020,1581
267,268,8142,18.0,0,14,18,50,2020,1581
268,269,8014,18.0,0,20,12,50,2020,1581
269,270,8282,19.0,0,19,12,50,2020,1581
270,271,8045,18.0,0,19,11,48,2020,1581
271,272,8292,16.0,0,22,9,47,2020,1581
272,273,8083,16.0,0,15,15,46,2020,1581
273,274,8306,11.0,0,18,16,45,2020,1581
274,275,8123,19.0,0,17,9,45,2020,1581
275,276,8189,18.0,0,19,8,45,2020,1581
276,277,8186,19.0,0,14,10,43,2020,1581
277,278,8221,19.0,0,15,9,43,2020,1581
278,279,8285,19.0,0,16,8,43,2020,1581
279,280,8018,15.0,0,13,14,42,2020,1581
280,281,8258,16.0,0,12,14,42,2020,1581
281,282,8254,16.0,0,13,13,42,2020,1581
282,283,8054,19.0,0,10,13,42,2020,1581
283,284,8133,15.0,0,18,9,42,2020,1581
284,285,8255,17.0,0,17,8,42,2020,1581
285,286,8145,17.0,0,12,12,41,2020,1581
286,287,8070,16.0,0,15,10,41,2020,1581
287,288,8172,17.0,0,14,9,40,2020,1581
288,289,8017,15.0,0,20,5,40,2020,1581
289,290,8097,15.0,0,14,10,39,2020,1581
