TODROP,RANK,ID,GRADES,MATH,CZECH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
190,218,105,19,6,13,38,0,2019,381
191,219,53,22,4,12,38,0,2019,381
192,220,65,17,8,12,37,0,2019,381
193,221,335,15,7,15,37,0,2019,381
194,222,329,21,4,12,37,0,2019,381
195,223,319,21,7,8,36,0,2019,381
196,224,260,21,4,11,36,0,2019,381
197,225,326,15,8,10,33,0,2019,381
198,226,69,17,8,8,33,0,2019,381
199,227,271,18,5,10,33,0,2019,381
200,228,58,18,2,13,33,0,2019,381
201,229,262,14,7,11,32,0,2019,381
202,230,318,-1,12,20,31,0,2019,381
203,231,59,18,6,7,31,0,2019,381
204,232,164,18,5,8,31,0,2019,381
205,233,252,17,4,9,30,0,2019,381
206,234,283,21,1,8,30,0,2019,381
207,235,261,18,6,5,29,0,2019,381
208,236,328,-1,7,21,27,0,2019,381
209,237,312,8,8,5,21,0,2019,381
210,238,254,2,5,14,21,0,2019,381
211,239,327,3,1,4,8,0,2019,381
212,240,317,-20,5,12,-3,0,2019,381
213,241,54,-40,11,20,-9,0,2019,381
214,242,258,-105,11,21,-73,0,2019,381
215,1,311,22,48,48,118,1,2019,381
216,2,239,22,48,45,115,1,2019,381
217,3,70,22,42,46,110,1,2019,381
218,4,46,22,42,45,109,1,2019,381
219,5,160,22,42,43,107,1,2019,381
220,6,117,19,45,41,105,1,2019,381
221,7,119,22,37,46,105,1,2019,381
222,8,157,22,42,40,104,1,2019,381
223,9,27,22,39,43,104,1,2019,381
224,10,308,22,44,37,103,1,2019,381
225,11,118,22,39,42,103,1,2019,381
226,12,185,22,39,42,103,1,2019,381
227,13,131,22,45,35,102,1,2019,381
228,14,309,22,39,41,102,1,2019,381
229,15,76,22,35,45,102,1,2019,381
230,16,194,22,40,39,101,1,2019,381
231,17,29,21,37,42,100,1,2019,381
232,18,179,22,36,42,100,1,2019,381
233,19,156,22,36,42,100,1,2019,381
234,20,121,22,38,39,99,1,2019,381
235,21,140,22,36,40,98,1,2019,381
236,22,314,22,33,43,98,1,2019,381
237,23,123,22,30,46,98,1,2019,381
238,24,124,22,35,40,97,1,2019,381
239,25,171,22,27,48,97,1,2019,381
240,26,95,22,35,39,96,1,2019,381
241,27,196,22,32,42,96,1,2019,381
