RANK,ID,GRADES,MATH,CZECH,SUM,ADMITTED_ID
116,113,20,24,27,71,0
117,248,20,22,29,71,0
118,66,22,19,30,71,0
119,214,21,38,11,70,0
120,109,19,24,27,70,0
121,210,21,24,25,70,0
122,184,20,22,28,70,0
123,70,21,22,27,70,0
124,123,22,22,26,70,0
125,44,22,17,31,70,0
126,168,21,15,34,70,0
127,72,21,14,35,70,0
128,158,22,22,25,69,0
129,90,18,18,33,69,0
130,296,21,16,32,69,0
131,238,21,14,34,69,0
132,183,22,13,34,69,0
133,163,15,29,24,68,0
134,188,21,16,31,68,0
135,279,22,16,30,68,0
136,80,22,15,31,68,0
137,232,19,23,25,67,0
138,199,22,23,22,67,0
139,200,22,22,23,67,0
140,292,20,21,26,67,0
141,257,22,17,28,67,0
142,256,21,16,30,67,0
143,35,22,16,29,67,0
144,69,18,26,22,66,0
145,213,22,25,19,66,0
146,260,22,20,24,66,0
147,220,22,19,25,66,0
148,281,22,19,25,66,0
149,283,22,24,19,65,0
150,56,20,22,23,65,0
151,187,21,21,23,65,0
152,166,22,18,25,65,0
153,119,22,18,25,65,0
154,286,22,23,19,64,0
155,159,21,17,26,64,0
156,204,22,16,26,64,0
157,124,21,15,28,64,0
158,300,22,25,16,63,0
159,145,21,19,23,63,0
160,299,21,17,25,63,0
161,59,20,14,29,63,0
162,186,22,11,30,63,0
163,189,20,22,20,62,0
164,244,19,21,21,61,0
165,141,22,16,23,61,0
166,126,20,11,30,61,0
167,100,22,10,29,61,0
168,42,21,19,20,60,0
169,239,19,14,27,60,0
170,81,22,13,25,60,0
171,171,20,22,16,58,0
172,301,19,18,21,58,0
173,18,20,14,24,58,0
174,60,21,13,24,58,0
175,207,21,11,26,58,0
176,34,19,17,21,57,0
177,254,16,16,25,57,0
178,198,21,18,17,56,0
179,77,16,14,26,56,0
180,235,21,13,22,56,0
181,194,20,12,24,56,0
182,101,21,12,23,56,0
183,294,21,6,29,56,0
184,237,20,16,19,55,0
185,277,18,14,23,55,0
186,110,22,14,19,55,0
187,243,16,18,20,54,0
188,293,17,15,22,54,0
189,83,22,14,18,54,0
190,250,20,12,22,54,0
191,121,19,19,15,53,0
192,102,18,14,21,53,0
193,274,18,16,18,52,0
194,240,21,16,15,52,0
195,209,22,16,14,52,0
196,82,21,13,16,50,0
197,236,17,10,23,50,0
198,242,22,7,21,50,0
199,252,13,14,22,49,0
200,182,20,14,15,49,0
201,285,22,14,12,48,0
202,129,17,13,18,48,0
203,280,17,13,18,48,0
204,203,20,15,12,47,0
205,259,20,8,19,47,0
206,99,21,8,18,47,0
207,142,22,9,14,45,0
208,295,18,8,19,45,0
209,217,19,8,18,45,0
210,196,17,7,21,45,0
211,79,21,7,16,44,0
212,84,20,15,8,43,0
213,132,19,7,17,43,0
214,157,21,11,10,42,0
215,249,1,23,17,41,0
216,195,12,17,10,39,0
217,88,19,8,12,39,0
218,67,12,14,11,37,0
219,68,15,13,9,37,0
220,291,9,13,14,36,0
221,46,17,12,7,36,0
222,47,15,9,11,35,0
223,30,17,6,12,35,0
224,167,19,6,8,33,0
225,276,20,2,10,32,0
226,134,17,5,8,30,0
227,297,9,9,9,27,0
228,136,-2,7,15,20,0
229,144,-20,5,10,-5,0
1,197,22,42,48,112,1
2,36,22,44,45,111,1
3,253,22,41,48,111,1
4,112,22,45,43,110,1
5,284,22,44,44,110,1
6,71,22,43,43,108,1
7,288,21,41,45,107,1
8,106,22,38,47,107,1
9,160,22,46,38,106,1
10,43,22,40,43,105,1
11,74,22,42,40,104,1
12,33,22,40,41,103,1
13,122,22,40,41,103,1
14,89,22,42,37,101,1
15,105,22,38,41,101,1
16,38,22,36,43,101,1
17,108,22,39,39,100,1
18,170,21,38,39,98,1
19,148,22,34,42,98,1
20,231,22,38,37,97,1
21,289,22,36,39,97,1
22,233,22,41,33,96,1
23,211,22,39,35,96,1
24,169,22,37,37,96,1
25,55,22,34,39,95,1
26,143,22,28,44,94,1
