RANK,ID,GRADES,MATH,CZECH,SUM,ADMITTED_ID
7,119,22,37,46,105,1
8,157,22,42,40,104,1
9,27,22,39,43,104,1
10,308,22,44,37,103,1
11,118,22,39,42,103,1
12,185,22,39,42,103,1
13,131,22,45,35,102,1
14,309,22,39,41,102,1
15,76,22,35,45,102,1
16,194,22,40,39,101,1
17,29,21,37,42,100,1
18,179,22,36,42,100,1
19,156,22,36,42,100,1
20,121,22,38,39,99,1
21,140,22,36,40,98,1
22,314,22,33,43,98,1
23,123,22,30,46,98,1
24,124,22,35,40,97,1
25,171,22,27,48,97,1
26,95,22,35,39,96,1
27,196,22,32,42,96,1
