,Výsledky přijímacího řízení do 8 letého studia - dle pořadí uchazeče,,,,,,,,
Ev. číslo,Vysvědčení,Olympiády,M Cermat,Čj Cermat,OSP,Body ZPS,Celkem,Pořadí,Přijat
20180334,"9,29","0,00","46,00","38,00","33,50","0,00","126,79",28.,Ano
20180229,"10,00","0,00","41,00","42,00","33,00","0,00","126,00",29. - 31.,Ano
20180309,"10,00","2,00","43,00","45,00","26,00","0,00","126,00",29. - 31.,Ano
20180396,"10,00","1,00","46,00","45,00","24,00","0,00","126,00",29. - 31.,Ano
20180307,"10,00","0,00","36,00","39,00","40,00","0,00","125,00",32.,Ne
20180120,"10,00","1,00","42,00","46,00","25,50","0,00","124,50",33.,Ne
20180256,"10,00","0,00","41,00","47,00","25,50","0,00","123,50",34.,Ne
20180079,"10,00","0,00","41,00","40,00","32,00","0,00","123,00",35.,Ne
20180189,"10,00","0,00","41,00","39,00","32,50","0,00","122,50",36.,Ne
20180329,"10,00","0,00","44,00","43,00","25,00","0,00","122,00",37. - 39.,Ne
20180011,"10,00","0,00","42,00","45,00","25,00","0,00","122,00",37. - 39.,Ne
20180350,"10,00","0,00","43,00","43,00","26,00","0,00","122,00",37. - 39.,Ne
20180366,"10,00","0,00","39,00","37,00","35,50","0,00","121,50",40.,Ne
20180040,"10,00","0,00","40,00","43,00","28,00","0,00","121,00",41.,Ne
20180101,"10,00","0,00","40,00","42,00","28,50","0,00","120,50",42.,Ne
20180080,"9,92","0,00","45,00","46,00","19,00","0,00","119,92",43.,Ne
20180426,"10,00","0,00","42,00","36,00","31,50","0,00","119,50",44.,Ne
20180067,"10,00","0,00","47,00","37,00","25,00","0,00","119,00",45. - 49.,Ne
20180016,"10,00","0,00","30,00","43,00","36,00","0,00","119,00",45. - 49.,Ne
20180170,"10,00","0,00","37,00","42,00","30,00","0,00","119,00",45. - 49.,Ne
20180008,"10,00","0,00","38,00","43,00","28,00","0,00","119,00",45. - 49.,Ne
20180251,"10,00","1,00","41,00","44,00","23,00","0,00","119,00",45. - 49.,Ne
20180241,"10,00","0,00","36,00","45,00","26,50","0,00","117,50",50. - 51.,Ne

20180116,"10,00","0,00","35,00","46,00","26,50","0,00","117,50",50. - 51.,Ne
20180117,"10,00","0,00","42,00","44,00","20,50","0,00","116,50",52.,Ne
20180258,"10,00","0,00","34,00","42,00","30,00","0,00","116,00",53.,Ne
20180102,"10,00","0,00","35,00","45,00","25,50","0,00","115,50",54. - 55.,Ne
20180024,"10,00","1,00","34,00","37,00","33,50","0,00","115,50",54. - 55.,Ne
20180075,"10,00","0,00","42,00","45,00","18,00","0,00","115,00",56. - 57.,Ne
20180198,"10,00","0,00","44,00","37,00","24,00","0,00","115,00",56. - 57.,Ne
20180394,"10,00","0,00","33,00","42,00","29,50","0,00","114,50",58. - 59.,Ne
20180342,"10,00","0,00","37,00","41,00","26,50","0,00","114,50",58. - 59.,Ne
20180236,"10,00","0,00","37,00","45,00","22,00","0,00","114,00",60.,Ne
20180076,"9,99","0,00","35,00","42,00","26,50","0,00","113,49",61.,Ne
20180422,"9,98","0,00","41,00","38,00","24,00","0,00","112,98",62.,Ne
20180032,"10,00","0,00","34,00","41,00","27,50","0,00","112,50",63.,Ne
20180399,"9,30","0,00","35,00","38,00","30,00","0,00","112,30",64.,Ne
20180031,"10,00","0,00","41,00","38,00","23,00","0,00","112,00",65.,Ne
20180207,"10,00","1,00","43,00","39,00","18,00","0,00","111,00",66. - 67.,Ne
20180232,"10,00","0,00","31,00","48,00","22,00","0,00","111,00",66. - 67.,Ne
20180255,"10,00","0,00","31,00","49,00","20,50","0,00","110,50",68.,Ne
20180097,"10,00","0,00","41,00","37,00","22,00","0,00","110,00",69. - 71.,Ne
20180199,"10,00","0,00","32,00","45,00","23,00","0,00","110,00",69. - 71.,Ne
20180030,"10,00","1,00","34,00","37,00","28,00","0,00","110,00",69. - 71.,Ne
20180191,"9,99","0,00","36,00","41,00","22,50","0,00","109,49",72.,Ne
20180100,"10,00","0,00","37,00","44,00","18,00","0,00","109,00",73.,Ne
20180354,"10,00","0,00","39,00","42,00","16,50","0,00","107,50",74.,Ne
30180360,"9,99","0,00","30,00","39,00","28,50","0,00","107,49",75.,Ne
20180370,"10,00","0,00","32,00","44,00","21,00","0,00","107,00",76.,Ne
