TODROP,ID,RANK,GRADES,MATH,CZECH,VR,SUM,YEAR,SCHOOLCOURSE_ID
119,820124,3,12.0,43.0,49.0,40.0,144.0,2020,1981
120,820125,109,12.0,35.0,38.0,35.0,120.0,2020,1981
121,820126,22,12.0,42.0,41.0,41.0,136.0,2020,1981
122,820127,411,6.4,10.0,14.0,24.0,54.4,2020,1981
123,820128,101,12.0,32.0,41.0,36.0,121.0,2020,1981
124,820129,292,11.2,23.0,27.0,27.0,88.2,2020,1981
125,820130,343,4.6,23.0,19.0,27.0,73.6,2020,1981
126,820131,423,4.8,8.0,6.0,23.0,41.8,2020,1981
127,820132,360,12.0,16.0,18.0,24.0,70.0,2020,1981
128,820133,111,12.0,29.0,46.0,33.0,120.0,2020,1981
129,820135,384,9.2,13.0,13.0,29.0,64.2,2020,1981
130,820136,20,11.2,41.0,43.0,41.0,136.2,2020,1981
131,820137,28,12.0,38.0,47.0,37.0,134.0,2020,1981
132,820138,197,4.0,28.0,36.0,39.0,107.0,2020,1981
133,820139,202,10.6,38.0,32.0,26.0,106.6,2020,1981
134,820140,340,10.4,17.0,22.0,25.0,74.4,2020,1981
135,820141,240,10.6,27.0,30.0,31.0,98.6,2020,1981
136,820142,92,12.0,36.0,37.0,37.0,122.0,2020,1981
137,820143,224,7.6,29.0,33.0,33.0,102.6,2020,1981
138,820144,357,9.4,8.0,24.0,30.0,71.4,2020,1981
139,820145,145,12.0,36.0,35.0,32.0,115.0,2020,1981
140,820146,165,12.0,37.0,28.0,35.0,112.0,2020,1981
141,820147,308,11.4,18.0,23.0,30.0,82.4,2020,1981
142,820148,78,12.0,40.0,42.0,30.0,124.0,2020,1981
143,820149,418,12.0,,,37.0,49.0,2020,1981
144,820150,99,10.6,37.0,41.0,33.0,121.6,2020,1981
145,820151,33,11.4,46.0,41.0,35.0,133.4,2020,1981
146,820152,66,11.4,38.0,44.0,33.0,126.4,2020,1981
147,820153,128,12.0,38.0,37.0,31.0,118.0,2020,1981
148,820154,208,12.0,27.0,39.0,28.0,106.0,2020,1981
149,820155,48,12.0,43.0,43.0,33.0,131.0,2020,1981
150,820156,4,12.0,44.0,49.0,39.0,144.0,2020,1981
151,820157,64,12.0,43.0,40.0,32.0,127.0,2020,1981
152,820158,176,12.0,31.0,39.0,29.0,111.0,2020,1981
153,820159,303,8.6,16.0,30.0,29.0,83.6,2020,1981
154,820160,209,9.8,39.0,27.0,30.0,105.8,2020,1981
155,820161,390,9.0,8.0,21.0,24.0,62.0,2020,1981
156,820163,304,11.4,31.0,20.0,21.0,83.4,2020,1981
157,820164,247,12.0,21.0,29.0,35.0,97.0,2020,1981
158,820165,361,12.0,21.0,19.0,18.0,70.0,2020,1981
159,820166,401,10.6,10.0,16.0,21.0,57.6,2020,1981
160,820167,290,10.6,21.0,27.0,30.0,88.6,2020,1981
161,820168,149,11.4,29.0,39.0,35.0,114.4,2020,1981
162,820169,13,12.0,38.0,46.0,42.0,138.0,2020,1981
163,820170,407,7.6,16.0,14.0,18.0,55.6,2020,1981
164,820171,309,11.4,21.0,27.0,23.0,82.4,2020,1981
165,820172,44,10.6,46.0,34.0,41.0,131.6,2020,1981
166,820173,142,12.0,38.0,30.0,35.0,115.0,2020,1981
167,820174,24,12.0,45.0,39.0,39.0,135.0,2020,1981
168,820175,51,11.4,34.0,47.0,38.0,130.4,2020,1981
169,820176,188,11.2,30.0,33.0,35.0,109.2,2020,1981
170,820177,119,10.6,38.0,38.0,32.0,118.6,2020,1981
171,820178,363,12.0,17.0,14.0,26.0,69.0,2020,1981
172,820179,354,10.8,20.0,23.0,18.0,71.8,2020,1981
173,820180,332,12.0,14.0,31.0,21.0,78.0,2020,1981
174,820181,257,11.2,35.0,21.0,28.0,95.2,2020,1981
175,820182,359,8.4,30.0,13.0,19.0,70.4,2020,1981
176,820183,52,12.0,37.0,44.0,37.0,130.0,2020,1981
177,820184,179,10.4,39.0,26.0,35.0,110.4,2020,1981
178,820185,311,8.0,24.0,22.0,28.0,82.0,2020,1981
179,820186,279,10.6,21.0,30.0,29.0,90.6,2020,1981
180,820187,351,8.6,33.0,16.0,15.0,72.6,2020,1981
181,820188,199,12.0,32.0,32.0,31.0,107.0,2020,1981
182,820189,420,9.8,6.0,8.0,23.0,46.8,2020,1981
183,820190,260,12.0,27.0,24.0,32.0,95.0,2020,1981
184,820191,62,8.8,40.0,44.0,35.0,127.8,2020,1981
185,820192,255,11.2,32.0,20.0,32.0,95.2,2020,1981
186,820193,399,12.0,14.0,18.0,15.0,59.0,2020,1981
187,820194,419,12.0,10.0,10.0,17.0,49.0,2020,1981
188,820195,370,11.4,13.0,18.0,24.0,66.4,2020,1981
189,820196,282,12.0,24.0,19.0,35.0,90.0,2020,1981
190,820197,353,12.0,20.0,16.0,24.0,72.0,2020,1981
191,820198,350,5.6,23.0,20.0,24.0,72.6,2020,1981
192,820199,261,10.0,27.0,27.0,31.0,95.0,2020,1981
193,820200,244,11.4,19.0,33.0,34.0,97.4,2020,1981
194,820201,397,6.2,10.0,14.0,29.0,59.2,2020,1981
195,820202,68,12.0,34.0,40.0,40.0,126.0,2020,1981
196,820203,91,12.0,36.0,34.0,40.0,122.0,2020,1981
197,820204,104,12.0,42.0,41.0,26.0,121.0,2020,1981
198,820205,136,12.0,33.0,32.0,39.0,116.0,2020,1981
199,820206,241,12.0,28.0,28.0,30.0,98.0,2020,1981
200,820207,346,10.0,10.0,29.0,24.0,73.0,2020,1981
201,820208,152,12.0,35.0,30.0,37.0,114.0,2020,1981
202,820209,319,5.6,18.0,30.0,27.0,80.6,2020,1981
203,820210,280,6.4,25.0,31.0,28.0,90.4,2020,1981
204,820211,144,12.0,26.0,42.0,35.0,115.0,2020,1981
205,820212,298,12.0,20.0,29.0,25.0,86.0,2020,1981
206,820213,215,12.0,35.0,33.0,24.0,104.0,2020,1981
207,820214,300,10.0,19.0,25.0,31.0,85.0,2020,1981
208,820215,10,10.6,38.0,44.0,47.0,139.6,2020,1981
209,820216,162,11.4,39.0,32.0,30.0,112.4,2020,1981
210,820217,334,10.6,18.0,20.0,28.0,76.6,2020,1981
211,820218,107,12.0,24.0,44.0,40.0,120.0,2020,1981
212,820219,217,11.4,21.0,31.0,40.0,103.4,2020,1981
213,820220,86,12.0,41.0,34.0,36.0,123.0,2020,1981
214,820221,330,12.0,14.0,22.0,30.0,78.0,2020,1981
215,820222,143,12.0,32.0,36.0,35.0,115.0,2020,1981
216,820223,32,12.0,46.0,45.0,31.0,134.0,2020,1981
217,820224,265,8.2,26.0,28.0,32.0,94.2,2020,1981
218,820225,329,10.0,14.0,24.0,30.0,78.0,2020,1981
219,820227,402,12.0,25.0,20.0,,57.0,2020,1981
220,820228,376,6.0,13.0,21.0,26.0,66.0,2020,1981
221,820229,417,10.0,8.0,11.0,21.0,50.0,2020,1981
222,820230,106,11.4,37.0,37.0,35.0,120.4,2020,1981
223,820231,173,12.0,30.0,35.0,34.0,111.0,2020,1981
224,820232,382,8.0,16.0,17.0,24.0,65.0,2020,1981
225,820233,278,9.0,22.0,32.0,28.0,91.0,2020,1981
226,820234,323,5.6,22.0,32.0,20.0,79.6,2020,1981
227,820235,403,10.6,4.0,22.0,20.0,56.6,2020,1981
228,820236,405,5.4,10.0,16.0,25.0,56.4,2020,1981
229,820237,426,1.4,12.0,13.0,,26.4,2020,1981
230,820238,235,8.6,32.0,31.0,28.0,99.6,2020,1981
231,820239,281,11.2,28.0,22.0,29.0,90.2,2020,1981
232,820240,220,9.2,35.0,30.0,29.0,103.2,2020,1981
233,820242,156,6.4,35.0,42.0,30.0,113.4,2020,1981
234,820243,273,12.0,26.0,32.0,23.0,93.0,2020,1981
235,820244,274,7.8,27.0,26.0,32.0,92.8,2020,1981
236,820245,252,12.0,29.0,27.0,28.0,96.0,2020,1981
237,820246,139,10.6,35.0,40.0,30.0,115.6,2020,1981
238,820247,287,4.0,28.0,31.0,26.0,89.0,2020,1981
239,820248,291,10.6,33.0,16.0,29.0,88.6,2020,1981
240,820249,116,9.0,37.0,36.0,37.0,119.0,2020,1981
241,820250,60,10.0,44.0,45.0,29.0,128.0,2020,1981
242,820251,154,12.0,41.0,36.0,25.0,114.0,2020,1981
243,820252,389,11.2,16.0,13.0,22.0,62.2,2020,1981
244,820253,59,12.0,39.0,44.0,33.0,128.0,2020,1981
245,820254,88,12.0,41.0,39.0,31.0,123.0,2020,1981
246,820255,109,12.0,35.0,38.0,35.0,120.0,2020,1981
247,820256,259,12.0,30.0,21.0,32.0,95.0,2020,1981
248,820257,266,12.0,24.0,32.0,26.0,94.0,2020,1981
249,820258,71,12.0,39.0,36.0,38.0,125.0,2020,1981
250,820259,276,8.6,30.0,32.0,21.0,91.6,2020,1981
251,820260,84,11.4,40.0,38.0,34.0,123.4,2020,1981
252,820261,118,12.0,36.0,40.0,31.0,119.0,2020,1981
253,820262,251,12.0,30.0,24.0,30.0,96.0,2020,1981
254,820263,364,2.8,12.0,27.0,27.0,68.8,2020,1981
255,820264,1,12.0,49.0,48.0,40.0,149.0,2020,1981
256,820265,35,12.0,41.0,39.0,41.0,133.0,2020,1981
257,820266,167,12.0,38.0,35.0,27.0,112.0,2020,1981
258,820267,341,11.4,7.0,32.0,24.0,74.4,2020,1981
259,820268,151,11.2,30.0,41.0,32.0,114.2,2020,1981
260,820269,398,11.2,13.0,16.0,19.0,59.2,2020,1981
261,820270,204,11.2,30.0,32.0,33.0,106.2,2020,1981
262,820271,168,12.0,37.0,41.0,22.0,112.0,2020,1981
263,820272,138,7.6,33.0,43.0,32.0,115.6,2020,1981
264,820273,172,12.0,31.0,34.0,34.0,111.0,2020,1981
265,820274,356,7.4,11.0,23.0,30.0,71.4,2020,1981
266,820275,103,12.0,33.0,45.0,31.0,121.0,2020,1981
267,820277,302,9.8,39.0,36.0,,84.8,2020,1981
268,820278,9,12.0,48.0,46.0,34.0,140.0,2020,1981
269,820279,288,12.0,43.0,34.0,,89.0,2020,1981
270,820280,352,12.0,16.0,18.0,26.0,72.0,2020,1981
271,820281,132,12.0,38.0,34.0,33.0,117.0,2020,1981
272,820282,284,12.0,23.0,30.0,25.0,90.0,2020,1981
273,820283,305,12.0,21.0,17.0,33.0,83.0,2020,1981
274,820284,203,9.2,34.0,25.0,38.0,106.2,2020,1981
275,820285,17,12.0,41.0,42.0,42.0,137.0,2020,1981
276,820286,283,9.0,26.0,21.0,34.0,90.0,2020,1981
277,820287,30,12.0,46.0,43.0,33.0,134.0,2020,1981
278,820288,286,12.0,21.0,18.0,38.0,89.0,2020,1981
279,820289,114,12.0,29.0,39.0,39.0,119.0,2020,1981
280,820290,238,12.0,28.0,32.0,27.0,99.0,2020,1981
281,820291,379,11.2,16.0,11.0,27.0,65.2,2020,1981
282,820293,373,8.2,17.0,20.0,21.0,66.2,2020,1981
283,820294,76,12.0,42.0,35.0,35.0,124.0,2020,1981
284,820295,34,12.0,50.0,30.0,41.0,133.0,2020,1981
285,820296,263,9.8,29.0,27.0,29.0,94.8,2020,1981
286,820297,41,12.0,44.0,42.0,34.0,132.0,2020,1981
287,820298,155,10.8,36.0,41.0,26.0,113.8,2020,1981
288,820299,129,10.8,33.0,40.0,34.0,117.8,2020,1981
289,820300,406,5.6,21.0,5.0,24.0,55.6,2020,1981
290,820301,231,12.0,29.0,30.0,30.0,101.0,2020,1981
291,820302,396,8.6,8.0,10.0,33.0,59.6,2020,1981
292,820303,400,5.4,5.0,14.0,34.0,58.4,2020,1981
293,820304,416,9.4,4.0,13.0,24.0,50.4,2020,1981
294,820305,158,11.2,30.0,43.0,29.0,113.2,2020,1981
295,820306,198,12.0,31.0,32.0,32.0,107.0,2020,1981
296,820307,146,12.0,34.0,39.0,30.0,115.0,2020,1981
297,820308,328,8.4,21.0,23.0,26.0,78.4,2020,1981
298,820309,127,12.0,39.0,35.0,32.0,118.0,2020,1981
299,820310,120,11.4,40.0,32.0,35.0,118.4,2020,1981
300,820311,211,11.0,33.0,30.0,31.0,105.0,2020,1981
301,820312,297,12.0,22.0,23.0,29.0,86.0,2020,1981
302,820313,221,12.0,28.0,30.0,33.0,103.0,2020,1981
303,820314,5,12.0,46.0,42.0,42.0,142.0,2020,1981
304,820315,63,12.0,33.0,45.0,37.0,127.0,2020,1981
305,820316,69,12.0,31.0,47.0,36.0,126.0,2020,1981
306,820317,21,12.0,40.0,40.0,44.0,136.0,2020,1981
307,820318,409,3.4,7.0,12.0,33.0,55.4,2020,1981
308,820319,394,8.0,15.0,16.0,21.0,60.0,2020,1981
309,820320,77,12.0,41.0,38.0,33.0,124.0,2020,1981
310,820321,200,12.0,23.0,41.0,31.0,107.0,2020,1981
311,820322,181,12.0,31.0,28.0,39.0,110.0,2020,1981
312,820324,269,10.6,32.0,23.0,28.0,93.6,2020,1981
313,820325,275,12.0,27.0,27.0,26.0,92.0,2020,1981
314,820326,61,12.0,44.0,45.0,27.0,128.0,2020,1981
315,820327,133,12.0,37.0,36.0,32.0,117.0,2020,1981
316,820328,377,9.8,11.0,15.0,30.0,65.8,2020,1981
317,820329,355,7.6,21.0,21.0,22.0,71.6,2020,1981
318,820330,170,10.6,35.0,38.0,28.0,111.6,2020,1981
319,820331,121,12.0,34.0,32.0,40.0,118.0,2020,1981
320,820332,157,11.4,38.0,39.0,25.0,113.4,2020,1981
321,820333,367,7.6,21.0,12.0,27.0,67.6,2020,1981
322,820334,294,12.0,28.0,25.0,22.0,87.0,2020,1981
323,820335,270,10.4,21.0,28.0,34.0,93.4,2020,1981
324,820336,318,5.6,23.0,23.0,29.0,80.6,2020,1981
325,820338,190,5.0,37.0,35.0,32.0,109.0,2020,1981
326,820339,47,12.0,43.0,42.0,34.0,131.0,2020,1981
327,820340,338,4.8,25.0,18.0,28.0,75.8,2020,1981
328,820341,391,6.2,14.0,11.0,30.0,61.2,2020,1981
329,820342,249,3.6,32.0,25.0,36.0,96.6,2020,1981
330,820343,191,12.0,33.0,34.0,30.0,109.0,2020,1981
331,820344,227,8.6,27.0,32.0,34.0,101.6,2020,1981
332,820345,223,10.6,30.0,26.0,36.0,102.6,2020,1981
333,820346,256,11.2,31.0,23.0,30.0,95.2,2020,1981
334,820347,362,12.0,22.0,36.0,,70.0,2020,1981
335,820348,175,12.0,32.0,38.0,29.0,111.0,2020,1981
336,820349,18,12.0,39.0,46.0,40.0,137.0,2020,1981
337,820350,392,9.8,23.0,28.0,,60.8,2020,1981
338,820351,272,12.0,30.0,26.0,25.0,93.0,2020,1981
339,820352,81,12.0,42.0,41.0,29.0,124.0,2020,1981
340,820353,226,9.0,33.0,38.0,22.0,102.0,2020,1981
341,820354,214,12.0,31.0,37.0,25.0,105.0,2020,1981
342,820355,130,11.4,38.0,32.0,36.0,117.4,2020,1981
343,820356,184,12.0,36.0,36.0,26.0,110.0,2020,1981
344,820357,131,8.0,36.0,40.0,33.0,117.0,2020,1981
345,820358,375,4.0,19.0,17.0,26.0,66.0,2020,1981
346,820359,348,12.0,27.0,34.0,,73.0,2020,1981
347,820360,29,12.0,41.0,45.0,36.0,134.0,2020,1981
348,820361,393,9.6,8.0,21.0,22.0,60.6,2020,1981
349,820362,289,12.0,40.0,37.0,,89.0,2020,1981
350,820363,425,12.0,25.0,,,37.0,2020,1981
351,820364,324,11.4,22.0,20.0,26.0,79.4,2020,1981
352,820365,70,12.0,36.0,43.0,35.0,126.0,2020,1981
353,820366,230,12.0,30.0,25.0,34.0,101.0,2020,1981
354,820367,141,12.0,35.0,32.0,36.0,115.0,2020,1981
355,820368,374,2.0,18.0,12.0,34.0,66.0,2020,1981
356,820369,31,12.0,44.0,45.0,33.0,134.0,2020,1981
357,820370,210,10.6,36.0,31.0,28.0,105.6,2020,1981
358,820371,299,5.4,18.0,30.0,32.0,85.4,2020,1981
359,820372,349,1.6,23.0,22.0,26.0,72.6,2020,1981
360,820373,27,12.0,39.0,46.0,37.0,134.0,2020,1981
361,820374,178,7.8,38.0,33.0,32.0,110.8,2020,1981
362,820375,187,9.8,36.0,31.0,33.0,109.8,2020,1981
363,820376,293,8.0,25.0,27.0,27.0,87.0,2020,1981
364,820377,93,12.0,35.0,38.0,37.0,122.0,2020,1981
365,820378,216,4.6,42.0,29.0,28.0,103.6,2020,1981
366,820379,236,11.4,27.0,30.0,31.0,99.4,2020,1981
367,820380,95,12.0,35.0,42.0,33.0,122.0,2020,1981
368,820381,228,5.0,26.0,30.0,40.0,101.0,2020,1981
369,820382,383,6.2,15.0,14.0,29.0,64.2,2020,1981
370,820383,327,8.4,13.0,22.0,35.0,78.4,2020,1981
371,820384,320,6.4,29.0,22.0,23.0,80.4,2020,1981
372,820385,207,12.0,31.0,29.0,34.0,106.0,2020,1981
373,820386,333,4.0,25.0,19.0,29.0,77.0,2020,1981
374,820387,358,7.4,22.0,18.0,23.0,70.4,2020,1981
375,820388,82,12.0,37.0,46.0,29.0,124.0,2020,1981
376,820389,206,12.0,24.0,35.0,35.0,106.0,2020,1981
377,820390,253,9.8,24.0,34.0,28.0,95.8,2020,1981
378,820391,307,5.6,26.0,24.0,27.0,82.6,2020,1981
379,820392,314,8.4,18.0,30.0,25.0,81.4,2020,1981
380,820393,126,12.0,31.0,42.0,33.0,118.0,2020,1981
381,820394,46,12.0,39.0,45.0,35.0,131.0,2020,1981
382,820395,219,3.2,37.0,27.0,36.0,103.2,2020,1981
383,820396,171,7.4,39.0,35.0,30.0,111.4,2020,1981
384,820397,161,7.4,35.0,39.0,31.0,112.4,2020,1981
385,820398,159,12.0,30.0,35.0,36.0,113.0,2020,1981
386,820399,7,12.0,47.0,47.0,36.0,142.0,2020,1981
387,820400,243,8.8,32.0,32.0,25.0,97.8,2020,1981
388,820401,366,12.0,21.0,35.0,,68.0,2020,1981
389,820402,408,3.6,30.0,22.0,,55.6,2020,1981
390,820403,368,9.2,14.0,20.0,24.0,67.2,2020,1981
