TODROP,ID,TERMIN,GRADES,MATH,CZECH,SUM,RANK,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
191,817194,1,9.2,27,17,53.2,287,nepřijat/a,2017,1981
192,817195,1,2.6,15,24,41.6,329,nepřijat/a,2017,1981
193,817196,1,6.0,26,29,61.0,250,nepřijat/a,2017,1981
194,817197,2,12.0,32,20,64.0,226,nepřijat/a,2017,1981
195,817198,2,11.2,35,38,84.2,91,nepřijat/a,2017,1981
196,817199,2,10.6,32,26,68.6,199,nepřijat/a,2017,1981
197,817200,2,12.0,25,40,77.0,143,nepřijat/a,2017,1981
198,817201,2,2.0,21,30,53.0,288,nepřijat/a,2017,1981
199,817202,2,12.0,45,41,98.0,21,přijat/a,2017,1981
200,817203,2,12.0,34,34,80.0,124,nepřijat/a,2017,1981
201,817204,2,12.0,43,36,91.0,43,přijat/a,2017,1981
202,817205,2,12.0,25,33,70.0,188,nepřijat/a,2017,1981
203,817206,2,12.0,42,39,93.0,35,přijat/a,2017,1981
204,817207,2,12.0,18,18,48.0,304,nepřijat/a,2017,1981
205,817208,2,12.0,43,39,94.0,30,přijat/a,2017,1981
206,817209,2,12.0,46,31,89.0,55,přijat/a,2017,1981
207,817210,2,8.4,15,20,43.4,317,nepřijat/a,2017,1981
208,817211,2,12.0,26,30,68.0,203,nepřijat/a,2017,1981
209,817212,2,12.0,16,20,48.0,304,nepřijat/a,2017,1981
210,817213,2,11.4,37,24,72.4,171,nepřijat/a,2017,1981
211,817214,2,12.0,42,42,96.0,23,přijat/a,2017,1981
212,817215,2,0.0,15,19,34.0,342,nepřijat/a,2017,1981
213,817216,2,11.4,28,27,66.4,210,nepřijat/a,2017,1981
214,817217,2,10.6,25,21,56.6,274,nepřijat/a,2017,1981
215,817218,2,12.0,36,33,81.0,116,nepřijat/a,2017,1981
216,817219,2,8.8,48,37,93.8,33,přijat/a,2017,1981
217,817220,2,12.0,44,44,100.0,14,přijat/a,2017,1981
218,817221,2,12.0,41,32,85.0,83,nepřijat/a,2017,1981
219,817222,2,11.4,22,32,65.4,218,nepřijat/a,2017,1981
220,817223,2,9.4,16,26,51.4,292,nepřijat/a,2017,1981
221,817224,2,12.0,42,44,98.0,21,přijat/a,2017,1981
222,817225,2,10.8,37,37,84.8,89,nepřijat/a,2017,1981
223,817226,2,10.0,39,44,93.0,35,přijat/a,2017,1981
224,817227,2,11.4,43,33,87.4,68,přijat/a,2017,1981
225,817228,2,11.2,22,37,70.2,186,nepřijat/a,2017,1981
226,817229,2,12.0,25,28,65.0,219,nepřijat/a,2017,1981
227,817230,2,12.0,36,38,86.0,78,nepřijat/a,2017,1981
228,817231,2,10.8,31,39,80.8,122,nepřijat/a,2017,1981
229,817232,2,9.8,42,36,87.8,67,přijat/a,2017,1981
230,817233,2,3.0,25,21,49.0,300,nepřijat/a,2017,1981
231,817234,2,11.2,41,30,82.2,106,nepřijat/a,2017,1981
232,817235,2,10.0,15,28,53.0,288,nepřijat/a,2017,1981
