RANK,ID,4,5,GRADES,CONTESTS,CZECH,MATH,SUM,ADMITTED_ID
188.-190.,425,1,1,20,0,37.8,41.4,99.2,0
191,220,1.2,1.4,14,0,25.2,59.4,98.6,0
192,353,1.4,1.6,10,0,50.4,37.8,98.2,0
193,278,1,1,20,0,36,41.4,97.4,0
194,428,1.4,1.4,12,0,45,39.6,96.6,0
195,448,1.8,1.6,6,0,30.6,59.4,96,0
196,431,1.6,2.2,4,0,39.6,52.2,95.8,0
197.-198.,374,1,1,20,0,41.4,34.2,95.6,0
197.-198.,445,1,1,20,0,45,30.6,95.6,0
199,460,1,1.2,18,0,37.8,39.6,95.4,0
200.-201.,253,1.2,1.6,12,0,54,28.8,94.8,0
200.-201.,295,1.4,1.4,12,0,45,37.8,94.8,0
202,287,1,1,20,0,34.2,39.6,93.8,0
203,264,1,1.2,18,0,41.4,34.2,93.6,0
204,390,1.2,1.6,12,0,50.4,28.8,91.2,0
205,406,1.4,1.2,14,0,34.2,41.4,89.6,0
206.-207.,409,1.6,1.6,8,0,43.2,37.8,89,0
206.-207.,359,1.6,1.6,8,0,55.8,25.2,89,0
208,395,1,1,20,0,34.2,32.4,86.6,0
209,336,1.4,1.4,12,0,28.8,45,85.8,0
210,184,1.6,1.4,10,0,37.8,37.8,85.6,0
211,268,1.2,1.4,14,0,39.6,30.6,84.2,0
212.-214.,147,1.2,1.6,12,0,19.8,52.2,84,0
212.-214.,160,1.4,1.4,12,0,36,36,84,0
212.-214.,449,1.4,1.4,12,0,36,36,84,0
215,251,1,1.6,14,0,37.8,30.6,82.4,0
216,380,1.4,2,6,0,36,37.8,79.8,0
217,358,1.4,1,16,0,37.8,25.2,79,0
218,311,1.6,2,4,0,27,46.8,77.8,0
219,231,1.4,1.6,10,0,34.2,32.4,76.6,0
220,158,1,1,20,0,32.4,23.4,75.8,0
221,146,1.6,1.4,10,0,34.2,30.6,74.8,0
222,340,1,1.4,16,0,34.2,23.4,73.6,0
223,245,1,1,20,0,23.4,28.8,72.2,0
224,357,1.8,1.8,4,0,32.4,28.8,65.2,0
225,429,1,1.2,18,0,25.2,21.6,64.8,0
226,430,1.4,1.4,12,0,18,9,39,0
227.-228.,174,1,1,20,0,0,0,20,0
227.-228.,322,1,1,20,0,0,0,20,0
