TODROP,RANK,ID,4,5,GRADES,CONTESTD,CZECH,MATH,SUM,CZECH1,SUM1,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
95,96,623,1.0,1.0,20,0,57.6,55.8,133.4,32,31,0,2018,1081
96,97,814,1.0,1.0,20,0,63.0,50.4,133.4,35,28,0,2018,1081
97,97,836,1.0,1.0,20,0,63.0,50.4,133.4,35,28,0,2018,1081
98,99,887,1.0,1.0,20,0,68.4,45.0,133.4,38,25,0,2018,1081
99,100,709,1.0,1.0,20,0,73.8,39.6,133.4,41,22,0,2018,1081
100,101,852,1.2,1.0,18,0,64.8,50.4,133.2,36,28,0,2018,1081
101,102,644,1.0,1.0,20,0,55.8,55.8,131.6,31,31,0,2018,1081
102,103,890,1.0,1.0,20,0,66.6,45.0,131.6,37,25,0,2018,1081
103,104,881,1.2,1.2,16,0,57.6,57.6,131.2,32,32,0,2018,1081
104,105,662,1.0,1.0,20,0,54.0,55.8,129.8,30,31,0,2018,1081
105,105,665,1.0,1.0,20,0,54.0,55.8,129.8,30,31,0,2018,1081
106,107,672,1.0,1.0,20,0,63.0,46.8,129.8,35,26,0,2018,1081
107,108,636,1.0,1.0,20,0,70.2,39.6,129.8,39,22,0,2018,1081
108,109,874,1.0,1.0,20,0,45.0,63.0,128.0,25,35,0,2018,1081
109,110,710,1.0,1.0,20,0,64.8,43.2,128.0,36,24,0,2018,1081
110,111,849,1.2,1.0,18,0,55.8,54.0,127.8,31,30,0,2018,1081
111,112,893,1.0,1.0,20,5,46.8,55.8,127.6,26,31,0,2018,1081
112,113,670,1.0,1.0,20,0,63.0,43.2,126.2,35,24,0,2018,1081
113,114,704,1.2,1.2,16,0,50.4,59.4,125.8,28,33,0,2018,1081
114,115,684,1.0,1.0,20,0,55.8,48.6,124.4,31,27,0,2018,1081
115,116,892,1.0,1.0,20,0,66.6,37.8,124.4,37,21,0,2018,1081
116,117,711,1.0,1.2,18,0,52.2,54.0,124.2,29,30,0,2018,1081
117,118,667,1.0,1.0,20,0,46.8,55.8,122.6,26,31,0,2018,1081
118,119,616,1.0,1.4,16,0,50.4,55.8,122.2,28,31,0,2018,1081
119,120,891,1.2,1.6,12,0,43.2,64.8,120.0,24,36,0,2018,1081
120,121,809,1.0,1.0,20,0,54.0,45.0,119.0,30,25,0,2018,1081
121,122,820,1.0,1.0,20,0,63.0,36.0,119.0,35,20,0,2018,1081
122,123,685,1.0,1.2,18,0,43.2,57.6,118.8,24,32,0,2018,1081
123,124,702,1.2,1.2,16,0,61.2,39.6,116.8,34,22,0,2018,1081
124,125,712,1.0,1.2,18,0,43.2,54.0,115.2,24,30,0,2018,1081
125,126,663,1.2,1.2,16,0,55.8,43.2,115.0,31,24,0,2018,1081
126,127,638,1.4,1.2,14,0,45.0,55.8,114.8,25,31,0,2018,1081
127,128,886,1.2,1.4,14,0,50.4,50.4,114.8,28,28,0,2018,1081
128,129,605,1.0,1.2,18,0,54.0,41.4,113.4,30,23,0,2018,1081
129,130,851,1.0,1.0,20,0,45.0,46.8,111.8,25,26,0,2018,1081
130,131,611,1.0,1.2,18,0,48.6,45.0,111.6,27,25,0,2018,1081
131,132,830,1.2,1.2,16,0,37.8,57.6,111.4,21,32,0,2018,1081
132,133,641,1.0,1.0,20,0,55.8,34.2,110.0,31,19,0,2018,1081
133,134,680,1.0,1.0,20,0,57.6,32.4,110.0,32,18,0,2018,1081
134,135,861,1.0,1.0,20,0,64.8,25.2,110.0,36,14,0,2018,1081
135,136,866,1.2,1.0,18,0,61.2,30.6,109.8,34,17,0,2018,1081
136,137,873,1.0,1.2,18,0,46.8,43.2,108.0,26,24,0,2018,1081
137,138,844,1.2,1.2,16,0,46.8,45.0,107.8,26,25,0,2018,1081
138,139,895,1.2,1.2,16,0,48.6,43.2,107.8,27,24,0,2018,1081
139,140,843,1.0,1.0,20,0,61.2,25.2,106.4,34,14,0,2018,1081
140,141,658,1.6,1.6,8,0,52.2,45.0,105.2,29,25,0,2018,1081
141,142,828,1.0,1.0,20,0,36.0,46.8,102.8,20,26,0,2018,1081
142,143,668,1.0,1.0,20,0,43.2,39.6,102.8,24,22,0,2018,1081
143,144,661,1.0,1.0,20,0,46.8,36.0,102.8,26,20,0,2018,1081
144,144,610,1.0,1.0,20,0,46.8,36.0,102.8,26,20,0,2018,1081
145,146,657,1.0,1.0,20,0,59.4,23.4,102.8,33,13,0,2018,1081
146,147,666,1.0,1.2,18,0,45.0,39.6,102.6,25,22,0,2018,1081
147,148,679,1.0,1.0,20,0,34.2,46.8,101.0,19,26,0,2018,1081
148,149,808,1.0,1.0,20,0,45.0,36.0,101.0,25,20,0,2018,1081
149,150,683,1.0,1.0,20,0,52.2,28.8,101.0,29,16,0,2018,1081
150,150,643,1.0,1.0,20,0,52.2,28.8,101.0,29,16,0,2018,1081
151,152,652,1.0,1.4,16,0,41.4,43.2,100.6,23,24,0,2018,1081
152,153,856,1.2,1.4,14,0,46.8,37.8,98.6,26,21,0,2018,1081
153,154,827,1.4,1.4,12,0,50.4,36.0,98.4,28,20,0,2018,1081
154,155,838,1.6,1.6,8,0,59.4,30.6,98.0,33,17,0,2018,1081
155,156,614,1.6,1.8,6,0,48.6,43.2,97.8,27,24,0,2018,1081
156,157,647,1.0,1.0,20,0,43.2,34.2,97.4,24,19,0,2018,1081
157,158,700,1.0,1.0,20,0,45.0,32.4,97.4,25,18,0,2018,1081
158,159,872,1.4,1.2,14,0,50.4,32.4,96.8,28,18,0,2018,1081
159,160,612,1.6,1.8,6,0,45.0,45.0,96.0,25,25,0,2018,1081
160,161,713,1.0,1.0,20,0,43.2,32.4,95.6,24,18,0,2018,1081
161,162,717,1.0,1.0,20,0,48.6,27.0,95.6,27,15,0,2018,1081
162,163,633,1.0,1.0,20,0,55.8,19.8,95.6,31,11,0,2018,1081
163,164,650,1.2,1.0,18,0,37.8,39.6,95.4,21,22,0,2018,1081
164,165,817,1.2,1.2,16,0,43.2,36.0,95.2,24,20,0,2018,1081
165,166,603,1.4,1.6,10,0,25.2,59.4,94.6,14,33,0,2018,1081
166,167,697,1.0,1.0,20,0,43.2,30.6,93.8,24,17,0,2018,1081
167,168,676,1.4,1.0,16,0,41.4,36.0,93.4,23,20,0,2018,1081
168,169,840,1.0,1.0,20,0,43.2,28.8,92.0,24,16,0,2018,1081
169,170,637,1.2,1.2,16,0,39.6,36.0,91.6,22,20,0,2018,1081
170,171,625,1.2,1.4,14,0,54.0,23.4,91.4,30,13,0,2018,1081
171,172,653,1.0,1.0,20,0,36.0,34.2,90.2,20,19,0,2018,1081
172,173,660,1.6,1.6,8,0,52.2,28.8,89.0,29,16,0,2018,1081
173,174,609,1.0,1.0,20,0,41.4,27.0,88.4,23,15,0,2018,1081
174,175,801,1.0,1.6,14,0,48.6,25.2,87.8,27,14,0,2018,1081
175,176,617,1.2,1.6,12,0,39.6,34.2,85.8,22,19,0,2018,1081
176,177,889,1.2,1.6,12,0,55.8,18.0,85.8,31,10,0,2018,1081
177,178,824,1.0,1.0,20,0,41.4,23.4,84.8,23,13,0,2018,1081
178,179,829,1.0,1.0,20,0,46.8,18.0,84.8,26,10,0,2018,1081
179,180,628,1.2,1.4,14,0,45.0,25.2,84.2,25,14,0,2018,1081
180,181,806,1.4,1.8,8,0,41.4,34.2,83.6,23,19,0,2018,1081
181,182,718,1.2,1.2,16,0,34.2,32.4,82.6,19,18,0,2018,1081
182,183,642,1.4,1.2,14,0,41.4,27.0,82.4,23,15,0,2018,1081
183,184,847,1.2,1.0,18,0,37.8,25.2,81.0,21,14,0,2018,1081
184,185,701,1.0,1.0,20,0,41.4,18.0,79.4,23,10,0,2018,1081
185,186,875,1.2,1.0,18,0,34.2,27.0,79.2,19,15,0,2018,1081
186,187,693,1.2,1.2,16,0,36.0,23.4,75.4,20,13,0,2018,1081
187,188,845,1.2,1.2,16,0,28.8,28.8,73.6,16,16,0,2018,1081
188,189,883,1.4,1.6,10,0,36.0,27.0,73.0,20,15,0,2018,1081
189,190,696,1.2,1.2,16,0,41.4,12.6,70.0,23,7,0,2018,1081
190,191,640,1.2,1.4,14,0,36.0,19.8,69.8,20,11,0,2018,1081
191,192,624,1.4,1.4,12,0,36.0,21.6,69.6,20,12,0,2018,1081
192,193,686,1.2,1.2,16,0,32.4,19.8,68.2,18,11,0,2018,1081
193,194,869,1.0,1.2,18,0,23.4,25.2,66.6,13,14,0,2018,1081
194,195,691,1.0,1.2,18,0,32.4,16.2,66.6,18,9,0,2018,1081
195,196,715,1.0,1.6,14,0,30.6,21.6,66.2,17,12,0,2018,1081
196,197,865,2.0,2.0,0,0,28.8,36.0,64.8,16,20,0,2018,1081
197,198,707,1.0,1.6,14,0,27.0,23.4,64.4,15,13,0,2018,1081
198,199,846,1.8,2.0,2,0,32.4,28.8,63.2,18,16,0,2018,1081
199,200,880,1.0,1.2,18,0,27.0,18.0,63.0,15,10,0,2018,1081
200,201,678,1.2,1.2,16,0,28.8,18.0,62.8,16,10,0,2018,1081
201,202,876,1.2,1.6,12,0,25.2,25.2,62.4,14,14,0,2018,1081
202,203,719,1.4,1.4,12,0,27.0,19.8,58.8,15,11,0,2018,1081
203,204,802,1.0,1.4,16,0,27.0,14.4,57.4,15,8,0,2018,1081
204,205,821,1.4,1.2,14,0,23.4,19.8,57.2,13,11,0,2018,1081
205,206,682,1.4,1.6,10,0,28.8,18.0,56.8,16,10,0,2018,1081
206,207,632,1.6,1.4,10,0,32.4,14.4,56.8,18,8,0,2018,1081
207,208,607,1.4,1.2,14,0,18.0,21.6,53.6,10,12,0,2018,1081
208,209,810,1.4,1.4,12,0,16.2,23.4,51.6,9,13,0,2018,1081
209,210,884,1.2,1.2,16,0,16.2,18.0,50.2,9,10,0,2018,1081
210,211,857,1.0,1.6,14,0,18.0,16.2,48.2,10,9,0,2018,1081
211,212,818,2.0,1.4,6,0,28.8,12.6,47.4,16,7,0,2018,1081
212,213,826,1.4,2.4,6,0,21.6,18.0,45.6,12,10,0,2018,1081
213,214,835,2.0,1.6,4,0,23.4,18.0,45.4,13,10,0,2018,1081
214,215,645,1.8,2.4,2,0,18.0,25.2,45.2,10,14,0,2018,1081
215,216,622,1.4,1.6,10,0,14.4,12.6,37.0,8,7,0,2018,1081
216,217,655,2.4,1.6,4,0,7.2,14.4,25.6,4,8,0,2018,1081
217,218,807,1.0,1.6,14,0,0.0,0.0,14.0,0,0,0,2018,1081
