,"Seznam nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Rozhodnutí
,,za ZŠ,MAT ČJ VŠP,,,,
225.,8294,4,42,29,12,87,Nepřijat
226.,8397,10,31,32,14,87,Nepřijat
227.,8323,15,27,31,14,87,Nepřijat
228.,8348,15,24,33,15,87,Nepřijat
229.,8368,14,25,31,17,87,Nepřijat
230.,8055,11,28,36,11,86,Nepřijat
231.,8363,11,32,26,17,86,Nepřijat
232.,8126,13,29,27,17,86,Nepřijat
233.,8340,15,27,29,15,86,Nepřijat
234.,8060,15,18,34,19,86,Nepřijat
235.,8111,9,38,22,16,85,Nepřijat
236.,8412,14,25,33,13,85,Nepřijat
237.,8366,15,25,25,20,85,Nepřijat
238.,8375,13,39,18,14,84,Nepřijat
239.,8358,15,22,35,12,84,Nepřijat
240.,8313,12,36,19,17,84,Nepřijat
241.,8421,13,27,28,16,84,Nepřijat
242.,8010,12,28,26,18,84,Nepřijat
243.,8081,14,22,31,17,84,Nepřijat
244.,8091,14,27,20,23,84,Nepřijat
245.,8263,13,25,22,24,84,Nepřijat
246.,8402,15,21,33,14,83,Nepřijat
247.,8018,13,26,26,18,83,Nepřijat
248.,8295,15,20,32,16,83,Nepřijat
249.,8291,15,21,30,17,83,Nepřijat
250.,8198,14,19,28,22,83,Nepřijat
251.,8160,13,31,24,14,82,Nepřijat
252.,8015,4,30,32,15,81,Nepřijat
253.,8381,15,28,26,12,81,Nepřijat
254.,8157,10,23,30,18,81,Nepřijat
255.,8097,9,17,36,19,81,Nepřijat
256.,8307,15,16,33,17,81,Nepřijat
257.,8195,6,30,26,18,80,Nepřijat
258.,8275,9,28,26,17,80,Nepřijat
259.,8026,15,25,25,15,80,Nepřijat
260.,8095,15,29,20,16,80,Nepřijat
261.,8272,15,25,23,17,80,Nepřijat
262.,8273,15,19,33,12,79,Nepřijat

,"Seznam nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Rozhodnutí
,,za ZŠ,MAT ČJ VŠP,,,,
263.,8130,11,28,22,18,79,Nepřijat
264.,8045,15,26,24,14,79,Nepřijat
265.,8293,12,19,30,18,79,Nepřijat
266.,8048,15,22,26,16,79,Nepřijat
267.,8164,11,15,32,21,79,Nepřijat
268.,8268,13,14,33,19,79,Nepřijat
269.,8217,14,23,23,19,79,Nepřijat
270.,8235,13,21,24,21,79,Nepřijat
271.–272.,8020,12,32,22,12,78,Nepřijat
271.–272.,8324,11,32,22,13,78,Nepřijat
273.,8331,14,26,26,12,78,Nepřijat
274.,8413,10,28,21,19,78,Nepřijat
275.,8328,13,21,27,17,78,Nepřijat
