TODROP,ID,GRADES_CONTESTS,CONTESTS,CZECH,MATH,VPAJ,SUM,RANK,ADMITTED_ID,GRADES,YEAR,SCHOOLCOURSE_ID
76,821007,10,0,43,35,18.0,106.0,77,0,10,2019,581
77,812059,10,0,34,32,29.5,105.5,78,0,10,2019,581
78,822063,10,0,43,24,28.5,105.5,79,0,10,2019,581
79,811089,9,0,44,26,26.5,105.5,80,0,9,2019,581
80,811032,10,0,37,36,22.5,105.5,81,0,10,2019,581
81,812074,10,0,37,23,35.0,105.0,82,0,10,2019,581
82,812078,10,0,32,31,32.0,105.0,83,0,10,2019,581
83,821026,10,0,39,33,23.0,105.0,84,0,10,2019,581
84,821065,10,0,34,40,21.0,105.0,85,0,10,2019,581
85,812079,10,0,36,26,32.5,104.5,86,0,10,2019,581
86,811107,10,0,37,31,26.5,104.5,87,0,10,2019,581
87,821012,10,0,36,39,19.5,104.5,88,0,10,2019,581
88,821074,9,0,40,34,21.0,104.0,89,0,9,2019,581
89,811039,10,0,29,34,30.5,103.5,90,0,10,2019,581
90,822069,10,0,36,30,27.5,103.5,91,0,10,2019,581
91,822056,10,0,42,29,22.5,103.5,92,0,10,2019,581
92,821035,10,0,37,27,29.0,103.0,93,0,10,2019,581
93,811079,10,0,36,40,17.0,103.0,94,0,10,2019,581
94,822030,10,0,42,27,23.5,102.5,95,0,10,2019,581
95,812054,10,0,37,35,20.5,102.5,96,0,10,2019,581
96,822002,10,0,39,29,24.0,102.0,97,0,10,2019,581
97,822057,10,0,41,25,24.5,100.5,98,0,10,2019,581
98,821059,6,0,37,36,21.5,100.5,99,0,6,2019,581
99,821053,9,0,37,38,16.5,100.5,100,0,9,2019,581
100,822029,10,0,41,27,22.0,100.0,101,0,10,2019,581
101,812025,10,0,35,33,22.0,100.0,102,0,10,2019,581
102,811057,9,0,37,36,18.0,100.0,103,0,9,2019,581
103,822007,10,0,43,23,23.5,99.5,104,0,10,2019,581
104,821079,10,0,37,34,18.5,99.5,105,0,10,2019,581
105,812056,10,0,32,24,33.0,99.0,106,0,10,2019,581
106,811082,10,0,34,26,28.5,98.5,107,0,10,2019,581
107,812050,10,0,36,26,26.5,98.5,108,0,10,2019,581
108,811046,10,0,31,32,25.5,98.5,109,0,10,2019,581
109,822039,10,0,37,29,22.5,98.5,110,0,10,2019,581
110,811048,8,0,29,39,22.5,98.5,111,0,8,2019,581
111,812036,10,0,35,28,25.0,98.0,112,0,10,2019,581
112,812034,10,0,43,22,23.0,98.0,113,0,10,2019,581
113,812017,10,0,39,27,22.0,98.0,114,0,10,2019,581
114,811077,9,0,30,32,26.5,97.5,115,0,9,2019,581
115,811025,10,0,28,40,19.5,97.5,116,0,10,2019,581
116,821006,10,0,36,36,15.5,97.5,117,0,10,2019,581
117,822013,10,0,41,17,29.0,97.0,118,0,10,2019,581
118,811034,10,0,31,31,25.0,97.0,119,0,10,2019,581
119,812022,10,0,32,28,26.0,96.0,120,0,10,2019,581
120,811047,16,6,29,27,24.0,96.0,121,0,10,2019,581
121,821100,6,0,39,20,30.5,95.5,122,0,6,2019,581
122,811087,10,0,30,25,30.5,95.5,123,0,10,2019,581
123,811095,8,0,21,23,43.0,95.0,124,0,8,2019,581
124,811014,10,0,36,27,22.0,95.0,125,0,10,2019,581
125,811109,9,0,28,26,31.5,94.5,126,0,9,2019,581
126,811071,8,0,27,33,26.5,94.5,127,0,8,2019,581
127,821052,9,0,36,24,25.5,94.5,128,0,9,2019,581
128,812028,10,0,33,27,24.5,94.5,129,0,10,2019,581
129,811007,10,0,29,31,24.5,94.5,130,0,10,2019,581
130,812021,10,0,38,26,20.5,94.5,131,0,10,2019,581
131,811065,10,0,25,34,25.0,94.0,132,0,10,2019,581
132,822021,10,0,34,34,16.0,94.0,133,0,10,2019,581
133,811008,7,0,34,22,30.5,93.5,134,0,7,2019,581
134,812039,10,0,36,22,25.5,93.5,135,0,10,2019,581
135,822079,10,0,31,32,20.5,93.5,136,0,10,2019,581
136,821001,10,0,27,29,27.0,93.0,137,0,10,2019,581
137,822035,10,0,35,26,22.0,93.0,138,0,10,2019,581
138,821080,10,0,35,28,19.5,92.5,139,0,10,2019,581
139,811105,10,0,27,28,26.5,91.5,140,0,10,2019,581
140,811106,10,0,34,24,23.5,91.5,141,0,10,2019,581
141,822041,10,0,32,26,23.5,91.5,142,0,10,2019,581
142,821085,10,0,34,28,19.5,91.5,143,0,10,2019,581
143,811099,10,0,34,20,27.0,91.0,144,0,10,2019,581
144,812089,9,0,33,33,16.0,91.0,145,0,9,2019,581
145,822033,10,0,32,23,25.5,90.5,146,0,10,2019,581
146,812038,10,0,34,22,24.5,90.5,147,0,10,2019,581
147,821048,10,0,33,25,22.5,90.5,148,0,10,2019,581
148,821027,10,0,32,26,22.5,90.5,149,0,10,2019,581
149,822034,10,0,31,32,17.0,90.0,150,0,10,2019,581
150,811036,9,0,30,26,24.0,89.0,151,0,9,2019,581
151,812100,10,0,32,25,22.0,89.0,152,0,10,2019,581
152,812068,10,0,31,29,19.0,89.0,153,0,10,2019,581
153,812096,10,0,32,25,21.5,88.5,154,0,10,2019,581
154,811004,2,0,31,34,21.5,88.5,155,0,2,2019,581
155,812004,10,0,30,25,23.0,88.0,156,0,10,2019,581
156,822019,10,0,33,25,20.0,88.0,157,0,10,2019,581
157,822068,10,0,27,32,19.0,88.0,158.-159.,0,10,2019,581
158,821096,10,0,27,32,19.0,88.0,158.-159.,0,10,2019,581
159,821060,9,0,32,24,22.5,87.5,160,0,9,2019,581
160,812084,10,0,29,26,22.5,87.5,161,0,10,2019,581
161,811035,10,0,32,25,20.5,87.5,162,0,10,2019,581
162,821037,10,0,35,14,28.0,87.0,163,0,10,2019,581
163,822061,10,0,33,22,21.5,86.5,164,0,10,2019,581
164,821084,9,0,28,30,19.0,86.0,165,0,9,2019,581
165,811040,8,0,31,25,21.5,85.5,166,0,8,2019,581
166,821002,8,0,23,33,21.5,85.5,167,0,8,2019,581
167,811001,10,0,36,19,20.5,85.5,168,0,10,2019,581
168,811016,7,0,30,26,22.0,85.0,169,0,7,2019,581
169,811076,9,0,30,28,18.0,85.0,170,0,9,2019,581
170,812105,10,0,33,26,16.0,85.0,171,0,10,2019,581
171,821031,5,0,29,25,25.5,84.5,172,0,5,2019,581
172,821049,9,0,29,29,17.5,84.5,173,0,9,2019,581
173,821078,7,0,34,24,19.0,84.0,174,0,7,2019,581
174,822047,4,0,26,32,21.5,83.5,175,0,4,2019,581
175,811070,10,0,31,19,23.0,83.0,176,0,10,2019,581
176,812042,7,0,35,19,21.5,82.5,177,0,7,2019,581
177,821044,3,0,27,31,21.5,82.5,178,0,3,2019,581
178,822026,10,0,31,27,14.5,82.5,179,0,10,2019,581
179,821040,10,0,29,27,16.0,82.0,180,0,10,2019,581
180,821076,9,0,29,31,13.0,82.0,181,0,9,2019,581
181,812104,8,0,33,16,24.5,81.5,182,0,8,2019,581
182,811102,8,0,31,18,24.5,81.5,183,0,8,2019,581
183,811081,9,0,29,20,23.5,81.5,184,0,9,2019,581
184,822010,10,0,26,26,19.5,81.5,185,0,10,2019,581
185,821016,10,0,29,29,13.0,81.0,186,0,10,2019,581
186,812094,9,0,29,25,17.5,80.5,187,0,9,2019,581
187,811083,7,0,24,32,17.5,80.5,188,0,7,2019,581
188,812030,10,0,27,16,27.0,80.0,189,0,10,2019,581
189,811062,10,0,33,18,19.0,80.0,190,0,10,2019,581
190,812037,6,0,35,21,18.0,80.0,191,0,6,2019,581
191,821029,10,0,28,17,24.5,79.5,192,0,10,2019,581
192,811023,10,0,18,32,19.5,79.5,193,0,10,2019,581
193,821032,6,0,20,34,19.0,79.0,194,0,6,2019,581
194,821091,8,0,25,18,27.5,78.5,195,0,8,2019,581
195,821017,8,0,24,25,21.5,78.5,196,0,8,2019,581
196,812092,8,0,33,22,15.5,78.5,197,0,8,2019,581
197,821071,9,0,23,31,15.5,78.5,198,0,9,2019,581
198,821046,6,0,23,24,24.5,77.5,199,0,6,2019,581
199,822016,8,0,22,23,24.5,77.5,200,0,8,2019,581
200,811006,10,0,33,13,21.5,77.5,201,0,10,2019,581
201,811015,10,0,24,22,21.5,77.5,202,0,10,2019,581
202,811080,10,0,28,21,18.5,77.5,203,0,10,2019,581
203,821042,10,0,25,25,17.5,77.5,204,0,10,2019,581
204,821009,10,0,20,20,27.0,77.0,205,0,10,2019,581
205,811009,10,0,29,13,25.0,77.0,206,0,10,2019,581
206,811011,4,0,37,13,23.0,77.0,207,0,4,2019,581
207,821097,9,0,27,21,20.0,77.0,208,0,9,2019,581
208,822070,10,0,26,24,17.0,77.0,209,0,10,2019,581
209,812081,10,0,22,19,25.5,76.5,210,0,10,2019,581
210,822055,10,0,24,21,21.5,76.5,211,0,10,2019,581
211,821056,7,0,29,24,16.5,76.5,212,0,7,2019,581
212,821023,10,0,25,16,25.0,76.0,213,0,10,2019,581
213,821055,10,0,25,16,24.5,75.5,214,0,10,2019,581
214,821099,2,0,24,31,18.5,75.5,215,0,2,2019,581
215,822066,10,0,33,16,16.5,75.5,216,0,10,2019,581
216,822020,10,0,19,20,26.0,75.0,217,0,10,2019,581
217,811086,6,0,16,30,23.0,75.0,218,0,6,2019,581
218,821051,5,0,27,26,17.0,75.0,219,0,5,2019,581
219,811049,10,0,24,14,26.5,74.5,220,0,10,2019,581
220,822067,10,0,29,20,15.5,74.5,221,0,10,2019,581
221,811051,4,0,24,31,15.5,74.5,222,0,4,2019,581
222,811030,7,0,23,17,27.0,74.0,223,0,7,2019,581
223,811103,6,0,22,21,25.0,74.0,224,0,6,2019,581
224,822012,6,0,29,17,22.0,74.0,225,0,6,2019,581
225,821067,7,0,27,18,22.0,74.0,226,0,7,2019,581
226,811060,9,0,23,22,20.0,74.0,227,0,9,2019,581
227,821102,9,0,27,22,16.0,74.0,228,0,9,2019,581
228,812032,1,0,35,18,19.5,73.5,229,0,1,2019,581
229,822027,7,0,23,18,25.0,73.0,230,0,7,2019,581
230,811044,8,0,21,24,20.0,73.0,231,0,8,2019,581
231,812033,7,0,24,23,19.0,73.0,232,0,7,2019,581
232,821093,4,0,33,22,14.0,73.0,233,0,4,2019,581
233,812035,9,0,26,13,24.5,72.5,234,0,9,2019,581
234,811059,3,0,26,23,20.5,72.5,235,0,3,2019,581
235,811027,10,0,27,16,19.5,72.5,236,0,10,2019,581
236,821015,10,0,27,17,18.5,72.5,237,0,10,2019,581
237,811063,9,0,19,19,25.0,72.0,238,0,9,2019,581
238,811050,9,0,28,16,18.5,71.5,239,0,9,2019,581
239,812002,5,0,25,19,22.0,71.0,240,0,5,2019,581
240,811024,8,0,19,22,21.5,70.5,241,0,8,2019,581
241,812041,10,0,26,19,15.5,70.5,242,0,10,2019,581
242,811067,10,0,17,15,28.0,70.0,243,0,10,2019,581
243,812057,10,0,19,15,26.0,70.0,244,0,10,2019,581
244,821103,7,0,25,23,15.0,70.0,245,0,7,2019,581
245,812040,10,0,26,21,12.5,69.5,246,0,10,2019,581
246,811017,8,0,21,13,27.0,69.0,247,0,8,2019,581
247,811042,10,0,21,21,17.0,69.0,248,0,10,2019,581
248,821005,0,0,29,25,14.5,68.5,249,0,0,2019,581
249,822040,0,0,28,21,18.0,67.9,250,0,0,2019,581
250,821104,10,0,20,20,17.5,67.5,251,0,10,2019,581
251,822037,10,0,25,16,16.5,67.5,252,0,10,2019,581
252,822054,10,0,25,20,12.5,67.5,253,0,10,2019,581
253,812106,10,0,25,16,16.0,67.0,254,0,10,2019,581
254,821073,9,0,24,18,16.0,67.0,255,0,9,2019,581
255,821063,8,0,23,14,21.0,66.0,256,0,8,2019,581
256,812008,8,0,21,17,20.0,66.0,257,0,8,2019,581
257,821061,7,0,19,25,15.0,66.0,258,0,7,2019,581
258,812083,8,0,22,14,21.5,65.5,259,0,8,2019,581
259,821092,10,0,18,19,18.5,65.5,260,0,10,2019,581
260,812005,7,0,22,19,17.0,65.0,261,0,7,2019,581
261,822074,9,0,23,17,16.0,65.0,262,0,9,2019,581
262,811061,10,0,22,17,16.0,65.0,263,0,10,2019,581
263,812027,9,0,18,19,18.5,64.5,264,0,9,2019,581
264,812091,7,0,23,16,18.0,64.0,265,0,7,2019,581
265,811092,9,0,22,18,15.0,64.0,266,0,9,2019,581
266,812088,8,0,24,18,14.0,64.0,267,0,8,2019,581
267,811075,8,0,24,18,13.5,63.5,268,0,8,2019,581
268,812045,9,0,22,19,13.5,63.5,269,0,9,2019,581
269,822073,4,0,22,13,24.0,63.0,270,0,4,2019,581
270,812102,10,0,19,14,20.0,63.0,271,0,10,2019,581
271,812111,6,0,22,18,17.0,63.0,272,0,6,2019,581
272,821083,10,0,15,21,17.0,63.0,273,0,10,2019,581
273,822046,7,0,17,26,13.0,63.0,274,0,7,2019,581
274,822078,6,0,24,17,15.5,62.5,275,0,6,2019,581
275,821025,7,0,23,20,12.5,62.5,276,0,7,2019,581
276,821024,4,0,25,13,20.0,62.0,277,0,4,2019,581
277,811101,3,0,24,17,18.0,62.0,278,0,3,2019,581
278,822060,10,0,14,20,18.0,62.0,279,0,10,2019,581
279,811003,7,0,21,14,19.5,61.5,280,0,7,2019,581
280,811114,6,0,19,22,14.5,61.5,281,0,6,2019,581
281,812077,3,0,23,15,20.0,61.0,282,0,3,2019,581
282,822077,8,0,17,19,17.0,61.0,283,0,8,2019,581
283,812101,10,0,17,16,17.5,60.5,284,0,10,2019,581
284,821058,10,0,18,18,13.0,59.0,285,0,10,2019,581
285,822044,1,0,27,17,13.5,58.5,286,0,1,2019,581
286,822008,9,0,18,14,17.0,58.0,287,0,9,2019,581
287,812053,9,0,19,15,15.0,58.0,288,0,9,2019,581
288,811053,6,0,16,14,21.5,57.5,289,0,6,2019,581
289,822072,8,0,17,19,13.0,57.0,290,0,8,2019,581
290,811055,10,0,15,14,17.5,56.5,291,0,10,2019,581
291,822064,10,0,20,13,13.5,56.5,292,0,10,2019,581
292,812046,7,0,16,16,17.0,56.0,293,0,7,2019,581
293,812010,4,0,19,13,19.5,55.5,294,0,4,2019,581
294,811072,9,0,13,17,14.0,53.0,295,0,9,2019,581
295,821095,6,0,20,14,13.0,53.0,296,0,6,2019,581
296,811002,8,0,13,13,16.0,50.0,297,0,8,2019,581
297,811108,0,0,21,14,14.0,49.0,298,0,0,2019,581
298,812072,2,0,16,13,14.0,45.0,299,0,2,2019,581
299,821038,3,0,16,13,12.5,44.5,300,0,3,2019,581
300,812014,9,0,11,6,12.0,38.0,,2,9,2019,581
301,822036,8,0,20,20,10.5,58.5,,2,8,2019,581
302,811056,10,0,30,12,22.5,74.5,,2,10,2019,581
303,811085,7,0,20,9,23.5,59.5,,2,7,2019,581
304,822053,4,0,19,4,6.0,33.0,,2,4,2019,581
305,811052,9,0,10,14,15.0,48.0,,2,9,2019,581
306,822022,6,0,30,21,11.5,68.5,,2,6,2019,581
307,812026,3,0,11,2,15.0,31.0,,2,3,2019,581
308,812013,10,0,36,12,22.5,80.5,,2,10,2019,581
309,821013,7,0,27,16,11.5,61.5,,2,7,2019,581
310,812062,10,0,29,8,29.5,76.5,,2,10,2019,581
311,812043,10,0,16,11,33.0,70.0,,2,10,2019,581
312,811068,10,0,19,7,16.5,52.5,,2,10,2019,581
313,812047,10,0,23,7,28.0,68.0,,2,10,2019,581
314,812082,6,0,11,9,6.0,32.0,,2,6,2019,581
315,811097,9,0,15,8,20.5,52.5,,2,9,2019,581
316,812080,5,0,14,21,11.5,51.5,,2,5,2019,581
317,821101,0,0,9,10,5.0,24.0,,2,0,2019,581
318,821039,10,0,11,24,10.0,55.0,,2,10,2019,581
319,812061,8,0,14,7,11.5,40.5,,2,8,2019,581
320,811013,8,0,17,23,8.5,56.5,,2,8,2019,581
321,811066,0,0,13,11,21.5,45.5,,2,0,2019,581
322,811022,10,0,27,12,22.5,71.5,,2,10,2019,581
323,822062,7,0,18,8,6.0,39.0,,2,7,2019,581
324,822049,10,0,31,12,20.0,73.0,,2,10,2019,581
325,822051,10,0,27,12,12.5,61.5,,2,10,2019,581
326,812001,9,0,19,11,27.5,66.5,,2,9,2019,581
327,811104,5,0,14,6,21.0,46.0,,2,5,2019,581
328,811026,6,0,23,18,6.5,53.5,,2,6,2019,581
329,822004,9,0,17,7,18.0,51.0,,2,9,2019,581
330,821050,10,0,14,10,14.5,48.5,,2,10,2019,581
331,822071,8,0,20,9,17.5,54.5,,2,8,2019,581
332,821088,0,0,18,6,12.5,36.5,,2,0,2019,581
333,822050,4,0,25,10,16.0,55.0,,2,4,2019,581
334,812060,10,0,16,11,19.0,56.0,,2,10,2019,581
335,821069,7,0,39,7,27.5,80.5,,2,7,2019,581
336,812086,3,0,11,12,4.5,30.5,,2,3,2019,581
337,821004,5,0,22,12,9.5,48.5,,2,5,2019,581
338,821094,8,0,22,11,28.0,69.0,,2,8,2019,581
339,811084,8,0,12,8,22.0,50.0,,2,8,2019,581
340,822052,10,0,20,10,14.0,54.0,,2,10,2019,581
341,812076,9,0,29,5,18.0,61.0,,2,9,2019,581
342,822076,10,0,19,12,21.0,62.0,,2,10,2019,581
343,812087,0,0,9,6,6.5,21.5,,2,0,2019,581
344,812098,5,0,10,15,14.0,44.0,,2,5,2019,581
345,811064,10,0,13,14,10.0,47.0,,2,10,2019,581
346,812029,9,0,22,8,20.0,59.0,,2,9,2019,581
347,812048,6,0,18,12,25.5,61.5,,2,6,2019,581
348,822059,8,0,22,11,18.5,59.5,,2,8,2019,581
349,811073,4,0,15,11,4.0,34.0,,2,4,2019,581
350,821020,7,0,15,6,25.5,53.5,,2,7,2019,581
351,812097,10,0,28,9,20.0,67.0,,2,10,2019,581
352,822015,10,0,18,10,16.0,54.0,,2,10,2019,581
353,812051,10,0,16,4,23.0,53.0,,2,10,2019,581
354,812003,7,0,9,11,6.5,33.5,,2,7,2019,581
355,812093,0,0,8,11,10.5,29.5,,2,0,2019,581
356,822058,7,0,9,14,10.5,40.5,,2,7,2019,581
357,821064,10,0,19,11,10.0,50.0,,2,10,2019,581
358,822023,3,0,19,11,18.5,51.5,,2,3,2019,581
359,812066,10,0,15,7,18.5,50.5,,2,10,2019,581
360,812016,10,0,14,11,10.0,45.0,,2,10,2019,581
361,821057,6,0,29,34,12.0,81.0,,2,6,2019,581
362,822003,8,0,14,12,25.0,59.0,,2,8,2019,581
363,822032,6,0,10,7,21.0,44.0,,2,6,2019,581
364,812064,9,0,17,7,13.5,46.5,,2,9,2019,581
365,812109,6,0,20,7,15.5,48.5,,2,6,2019,581
366,822045,4,0,17,12,17.5,50.5,,2,4,2019,581
367,811110,4,0,15,6,13.0,38.0,,2,4,2019,581
368,812103,6,0,23,31,11.5,71.5,,2,6,2019,581
369,811093,7,0,18,7,19.5,51.5,,2,7,2019,581
370,811037,10,0,7,5,23.0,45.0,,2,10,2019,581
371,821070,2,0,12,10,5.5,29.5,,2,2,2019,581
372,821072,1,0,16,34,10.0,61.0,,2,1,2019,581
373,821018,0,0,7,13,13.0,33.0,,2,0,2019,581
374,821021,2,0,12,6,14.5,34.5,,2,2,2019,581
375,811098,2,0,7,7,14.5,30.5,,2,2,2019,581
376,821014,9,0,15,11,18.5,53.5,,2,9,2019,581
377,812070,9,0,18,8,4.0,39.0,,2,9,2019,581
378,822075,10,0,30,29,11.0,80.0,,2,10,2019,581
379,812073,6,0,17,1,17.5,41.5,,2,6,2019,581
380,811112,0,0,19,23,11.0,53.0,,2,0,2019,581
381,821019,9,0,16,10,20.0,55.0,,2,9,2019,581
382,812110,9,0,17,8,16.0,50.0,,2,9,2019,581
383,812108,0,0,15,12,14.0,41.0,,2,0,2019,581
384,811043,10,0,16,12,17.0,55.0,,2,10,2019,581
385,811113,4,0,10,5,11.5,30.5,,2,4,2019,581
386,812067,7,0,12,12,19.0,50.0,,2,7,2019,581
387,812063,10,0,18,11,15.5,54.5,,2,10,2019,581
388,811111,4,0,13,7,12.5,36.5,,2,4,2019,581
389,811078,10,0,18,18,11.0,57.0,,2,10,2019,581
390,821089,8,0,17,14,8.5,47.5,,2,8,2019,581
391,821090,8,0,20,17,10.0,55.0,,2,8,2019,581
392,821066,2,0,17,12,16.5,47.5,,2,2,2019,581
393,821068,0,0,21,11,18.0,50.0,,2,0,2019,581
394,812031,9,0,15,8,11.5,43.5,,2,9,2019,581
395,812090,3,0,20,5,19.0,47.0,,2,3,2019,581
396,821098,8,0,20,9,20.0,57.0,,2,8,2019,581
