"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Pfijati izici,,"B°”'.""..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
821045,,,10,0,26,34,28,98,188
811075,,,8,0,33,32,25,98,189
822075,,,10,0,26,37,25,98,190
812040,,,10,0,33,31,24,98,191
822018,,,7,0,34,36,21,98,192
"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Nepfijati izici,,"B°”'.""..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
822025,9,0,39,33,17,98,193
812039,6,0,28,28,35.5,97.5,194
821018,10,0,28,34,25.5,97.5,195
812082,10,0,35,31,21.5,97.5,196
822068,8,0,35,34,20.5,97.5,197
812011,9,0,29,37,22,97,198
822007,10,0,33,33,21,97,199
811081,9,0,30,28,29.5,96.5,200
812087,10,0,33,27,26.5,96.5,201
821031,10,0,27,33,26.5,96.5,202
812065,10,0,32,34,20.5,96.5,203
812100,7,0,28,30,31,96,204
822008,8,0,29,30,29,96,205
822023,10,0,28,29,29,96,206
811016,9,0,24,36,27,96,207
822042,10,0,31,29,26,96,208
821042,10,0,26,34,26,96,209
812007,10,0,31,26,28.5,95.5,210
822014,10,0,24,33,28.5,95.5,211
812125,10,0,31,28,26.5,95.5,212
821068,9,0,31,32,23.5,95.5,213
821041,10,0,28,38,19.5,95.5,214
822045,10,0,38,30,17.5,95.5,215
812052,8,0,31,30,26,95,216
812104,10,0,33,28,24,95,217
821057,10,0,26,36,23,95,218
821072,8,0,26,42,19,95,219
812103,10,0,37,24,23.5,94.5,220
821001,6,0,21,46,21.5,94.5,221
812131,8,0,34,33,19.5,94.5,222
822054,9,0,25,33,27,94,223
811087,10,0,32,31,21,94,224
821037,9,0,24,40,21,94,225
812083,10,0,20,36,27.5,93.5,226
812032,10,0,27,32,24.5,93.5,227
822012,8,0,33,32,20.5,93.5,228
811009,8,0,29,40,16.5,93.5,229
812117,7,0,23,29,34,93,230
812071,10,0,34,24,25,93,231
811102,9,0,31,29,24,93,232
812025,10,0,36,24,23,93,233
821076,3,0,31,38,21,93,234
811058,10,0,27,30,25.5,92.5,235
821090,9,0,26,32,25.5,92.5,236
"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Nepfijati izici,,"B°”'f’..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
811031,10,0,25,26,31,92,237
811063,10,0,29,25,28,92,238
812069,10,0,38,17,27,92,239
812062,10,0,30,27,25,92,240
811044,10,0,34,24,24,92,241
811037,6,0,28,30,27.5,91.5,242
821049,10,0,24,31,26.5,91.5,243
812094,10,0,29,27,25,91,244
812012,10,0,35,24,22,91,245
811019,8,0,30,33,20,91,246
812010,9,0,34,32,16,91,247
821036,10,0,26,29,25.5,90.5,248
812093,10,0,39,17,24.5,90.5,249
821064,8,0,31,28,23.5,90.5,250
811101,9,0,26,32,23.5,90.5,251
822066,9,0,31,29,21.5,90.5,252
821065,9,0,25,36,20.5,90.5,253
812049,9,0,26,39,16.5,90.5,254
811012,9,0,23,29,29,90,255
812047,10,0,30,28,22,90,256
822024,10,0,33,26,21,90,257
812127,10,0,32,28,20,90,258
821050,10,0,25,23,31.5,89.5,259
811059,10,0,29,20,30.5,89.5,260
821069,7,0,28,25,29,89,261
822051,10,0,32,22,25,89,262
821051,7,0,20,40,22,89,263
812112,10,0,23,35,21,89,264
822064,9,0,29,36,15,89,265
812079,10,0,30,19,29.5,88.5,266
821055,8,0,32,20,28.5,88.5,267
811067,8,0,24,30,26.5,88.5,268
821097,9,0,24,32,23.5,88.5,269
821008,8,0,28,32,20.5,88.5,270
822077,9,0,33,15,31,88,271
811080,7,0,31,26,24,88,272
812068,10,0,31,23,24,88,273
811090,9,0,29,29,21,88,274
821026,8,0,28,33,19,88,275
812108,8,0,28,37,15,88,276
811013,10,0,24,32,21.5,87.5,277
821003,10,0,25,36,16.5,87.5,278
812054,9,0,31,21,26,87,279
822090,8,0,27,28,24,87,280
"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Nepfijati izici,,"B°”'f’..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
822081,7,0,32,32,16,87,281
821082,8,0,21,26,31.5,86.5,282
812105,10,0,26,29,21.5,86.5,283
822107,10,0,29,27,20.5,86.5,284
812130,9,0,31,29,17.5,86.5,285
811099,10,0,31,28,17.5,86.5,286
821054,6,0,23,29,28,86,287
822001,10,0,32,21,23,86,288
822039,10,0,33,26,17,86,289
811022,9,0,26,22,28.5,85.5,290
822049,10,0,28,20,27.5,85.5,291
822104,8,0,30,22,25.5,85.5,292
812078,10,0,28,18,29,85,293
821073,5,0,25,29,26,85,294
811092,10,0,27,23,25,85,295
822110,10,0,18,30,26,84,296
812053,,0,40,15,25,84,297
821011,7,0,26,32,19,84,298
821028,10,0,28,22,23.5,83.5,299
812132,10,0,30,22,21.5,83.5,300
821012,10,0,25,31,17.5,83.5,301
812037,10,0,27,20,26,83,302
821020,4,0,27,19,32.5,82.5,303
811082,5,0,22,31,24.5,82.5,304
811061,6,0,23,31,22.5,82.5,305
811093,5,0,31,25,21.5,82.5,306
821059,10,0,32,22,18.5,82.5,307
812119,10,0,28,26,18.5,82.5,308
822086,10,0,34,22,16.5,82.5,309
822040,7,0,31,20,24,82,310
811098,9,0,19,33,21,82,311
822057,8,0,26,28,20,82,312
812044,10,0,30,20,21.5,81.5,313
822099,3,0,30,28,20.5,81.5,314
821095,8,0,23,32,18.5,81.5,315
812045,9,0,26,23,23,81,316
811062,7,0,25,29,20,81,317
812070,9,0,21,31,20,81,318
821077,9,0,24,29,19,81,319
821043,9,0,16,27,28.5,80.5,320
821017,6,0,25,26,23.5,80.5,321
812076,10,0,27,22,21.5,80.5,322
812036,8,0,24,27,21.5,80.5,323
812023,10,0,32,18,20.5,80.5,324
"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Nepfijati izici,,"B°”'f’..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
811076,7,0,25,29,19.5,80.5,325
812086,10,0,30,28,12.5,80.5,326
811020,9,0,21,27,23,80,327
812005,8,0,34,19,19,80,328
811070,10,0,21,30,19,80,329
822059,10,0,27,26,17,80,330
811103,9,0,23,26,21.5,79.5,331
822067,10,0,23,22,24,79,332
811018,10,0,27,20,22,79,333
822089,9,0,23,21,25.5,78.5,334
821021,10,0,21,25,22.5,78.5,335
811091,10,0,23,25,20.5,78.5,336
