Výsledková listina přijímacích zkoušek - osmileté studium,,,,,,,
Gymnázium Opatov datum zveřejnění: 29. 4. 2019,,,,,,,
Poučení:,,,,,,,
Nepotvrdí-li uchazeč nebo zákonný zástupce nezkletilého uchazeče odevzdáním,,,,,,,
"zápisového lístku úmysl vzdělávat se ve střední škole, zanikají posledním dnem lhůty",,,,,,,
právní účinky rozhodnutí o přijetí tohoto uchazeče ke vzdělávání v dané střední škole.,,,,,,,
Přijatým uchazečům začíná osmileté studium 2. 9. 2019.,,,,,,,
,,,B o d o v é h o d n o c e n í,,,,
Přijatí žáci,Body,z toho,Přijímací zkouška,,,Celkem,Pořadí
Kód,za ZŠ,bonus,ČJ,M,VPAJ,,
,Body,z toho,Přijímací zkouška,,,Celkem,Pořadí
Kód,za ZŠ,bonus,ČJ,M,VPAJ,,
811004,2,0,31,34,21.5,88.5,155.
812004,10,0,30,25,23.0,88.0,156.
822019,10,0,33,25,20.0,88.0,157.
822068,10,0,27,32,19.0,88.0,158.-159.
821096,10,0,27,32,19.0,88.0,158.-159.
821060,9,0,32,24,22.5,87.5,160.
812084,10,0,29,26,22.5,87.5,161.
811035,10,0,32,25,20.5,87.5,162.
821037,10,0,35,14,28.0,87.0,163.
822061,10,0,33,22,21.5,86.5,164.
821084,9,0,28,30,19.0,86.0,165.
811040,8,0,31,25,21.5,85.5,166.
821002,8,0,23,33,21.5,85.5,167.
811001,10,0,36,19,20.5,85.5,168.
811016,7,0,30,26,22.0,85.0,169.
811076,9,0,30,28,18.0,85.0,170.
812105,10,0,33,26,16.0,85.0,171.
821031,5,0,29,25,25.5,84.5,172.
821049,9,0,29,29,17.5,84.5,173.
821078,7,0,34,24,19.0,84.0,174.
822047,4,0,26,32,21.5,83.5,175.
811070,10,0,31,19,23.0,83.0,176.
812042,7,0,35,19,21.5,82.5,177.
821044,3,0,27,31,21.5,82.5,178.
822026,10,0,31,27,14.5,82.5,179.
821040,10,0,29,27,16.0,82.0,180.
821076,9,0,29,31,13.0,82.0,181.
812104,8,0,33,16,24.5,81.5,182.
811102,8,0,31,18,24.5,81.5,183.
811081,9,0,29,20,23.5,81.5,184.
822010,10,0,26,26,19.5,81.5,185.
821016,10,0,29,29,13.0,81.0,186.
812094,9,0,29,25,17.5,80.5,187.
811083,7,0,24,32,17.5,80.5,188.
812030,10,0,27,16,27.0,80.0,189.
811062,10,0,33,18,19.0,80.0,190.
812037,6,0,35,21,18.0,80.0,191.
821029,10,0,28,17,24.5,79.5,192.
811023,10,0,18,32,19.5,79.5,193.
821032,6,0,20,34,19.0,79.0,194.
821091,8,0,25,18,27.5,78.5,195.
821017,8,0,24,25,21.5,78.5,196.
812092,8,0,33,22,15.5,78.5,197.
821071,9,0,23,31,15.5,78.5,198.
821046,6,0,23,24,24.5,77.5,199.
822016,8,0,22,23,24.5,77.5,200.
811006,10,0,33,13,21.5,77.5,201.

,,,B o d o v é h o d n o c e n í,,,,
Nepřijatí žáci,,,,,,,
,Body,z toho,Přijímací zkouška,,,Celkem,Pořadí
Kód,za ZŠ,bonus,ČJ,M,VPAJ,,
811015,10,0,24,22,21.5,77.5,202.
811080,10,0,28,21,18.5,77.5,203.
821042,10,0,25,25,17.5,77.5,204.
821009,10,0,20,20,27.0,77.0,205.
811009,10,0,29,13,25.0,77.0,206.
811011,4,0,37,13,23.0,77.0,207.
821097,9,0,27,21,20.0,77.0,208.
822070,10,0,26,24,17.0,77.0,209.
812081,10,0,22,19,25.5,76.5,210.
822055,10,0,24,21,21.5,76.5,211.
821056,7,0,29,24,16.5,76.5,212.
821023,10,0,25,16,25.0,76.0,213.
821055,10,0,25,16,24.5,75.5,214.
821099,2,0,24,31,18.5,75.5,215.
822066,10,0,33,16,16.5,75.5,216.
822020,10,0,19,20,26.0,75.0,217.
811086,6,0,16,30,23.0,75.0,218.
821051,5,0,27,26,17.0,75.0,219.
811049,10,0,24,14,26.5,74.5,220.
822067,10,0,29,20,15.5,74.5,221.
811051,4,0,24,31,15.5,74.5,222.
811030,7,0,23,17,27.0,74.0,223.
811103,6,0,22,21,25.0,74.0,224.
822012,6,0,29,17,22.0,74.0,225.
821067,7,0,27,18,22.0,74.0,226.
811060,9,0,23,22,20.0,74.0,227.
821102,9,0,27,22,16.0,74.0,228.
