Unnamed: 0;Unnamed: 1;B o d o v é  h o d n o c e n í;Unnamed: 3
333.;8404;216 270 90;576
334.;8095;243 243 90;576
335.;8061;225 270 80;575
336.;8091;234 252 89;575
337.;8450;279 225 70;574
338.;8405;243 252 73;568
339.-340.;8460;207 261 100;568
339.-340.;8445;207 261 100;568
341.;8118;243 225 100;568
342.;8120;261 207 100;568
343.;8198;207 315 45;567
344.;8318;216 270 80;566
345.;8417;225 261 80;566
346.;8427;252 234 80;566
347.;8244;225 261 78;564
348.;8175;207 288 64;559
349.;8051;171 288 100;559
350.;8490;225 234 100;559
351.;8228;243 216 100;559
352.;8433;270 189 100;559
353.;8138;279 180 100;559
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
354.;8319;171 297 90;558
355.;8013;252 216 90;558
356.;8359;234 234 89;557
357.;8323;279 189 89;557
358.;8311;207 279 70;556
359.;8461;207 261 82;550
360.;8282;180 270 100;550
361.;8446;207 243 100;550
362.;8015;252 198 100;550
363.;8006;261 189 100;550
364.;8492;234 234 80;548
365.;8268;288 180 80;548
366.;8292;180 297 70;547
367.;8343;162 297 87;546
368.;8398;198 279 67;544
369.;8341;171 270 100;541
370.;8312;189 270 80;539
371.;8179;234 225 80;539
372.;8161;234 225 78;537
373.;8271;207 261 67;535
374.;8099;162 270 100;532
375.;8275;216 216 100;532
376.;8009;225 207 100;532
377.;8017;234 198 100;532
378.-379.;8227;261 171 100;532
378.-379.;8230;261 171 100;532
380.;8004;297 135 100;532
381.;8081;315 135 80;530
382.;8473;234 207 89;530
383.;8204;216 243 67;526
384.;8047;252 216 55;523
385.;8045;270 162 91;523
386.;8375;198 225 100;523
387.;8124;252 171 100;523
388.;8235;297 126 100;523
389.;8340;189 243 90;522
390.;8159;225 216 80;521
391.;8305;234 198 89;521
392.;8335;216 234 70;520
393.;8336;162 270 86;518
394.;8163;162 252 100;514
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
395.-396.;8272;189 225 100;514
395.-396.;8008;189 225 100;514
397.-398.;8211;198 216 100;514
397.-398.;8109;198 216 100;514
399.;8033;207 207 100;514
400.;8383;225 189 100;514
401.;8129;252 162 100;514
402.;8020;207 216 90;513
403.;8181;207 225 80;512
404.;8130;261 171 80;512
405.;8344;144 261 100;505
406.;8472;207 198 100;505
407.;8385;270 135 100;505
408.;8080;243 171 90;504
409.;8055;225 189 89;503
410.;8107;162 270 70;502
411.;8145;180 234 82;496
412.;8443;234 180 82;496
413.;8142;180 216 100;496
414.;8365;207 189 100;496
415.;8208;207 207 80;494
416.;8016;216 198 80;494
417.;8257;180 261 50;491
418.;8248;243 198 50;491
419.;8068;180 225 86;491
420.;8322;207 207 75;489
421.;8054;135 252 100;487
422.;8245;207 189 90;486
423.;8002;198 198 89;485
424.;8077;153 261 70;484
425.;8143;171 234 78;483
426.;8088;225 180 78;483
427.;8117;207 207 67;481
428.;8286;162 216 100;478
429.;8024;189 189 100;478
430.;8331;243 135 100;478
431.;8128;189 198 90;477
432.;8269;243 171 60;474
433.;8458;153 234 82;469
434.;8171;198 171 100;469
435.;8476;153 207 100;460
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
436.;8238;234 126 100;460
437.;8202;243 117 100;460
438.;8031;135 234 90;459
439.;8508;171 198 90;459
440.;8060;180 189 90;459
441.;8014;243 135 80;458
442.;8141;198 198 60;456
443.;8353;198 180 78;456
444.;8494;270 108 78;456
445.;8121;171 198 87;456
446.;8079;207 153 90;450
447.;8285;135 243 70;448
448.;8266;198 189 60;447
449.;8222;162 180 100;442
450.;8050;171 171 100;442
451.;8176;198 153 90;441
452.;8106;180 189 70;439
453.;8110;234 135 70;439
454.;8382;198 180 60;438
455.;8084;162 225 50;437
456.;8278;126 207 100;433
457.;8326;189 144 100;433
458.;8190;144 216 70;430
459.;8419;153 207 70;430
460.;8185;216 144 70;430
461.;8364;135 189 100;424
462.;8150;135 198 90;423
463.;8439;216 144 62;422
464.;8177;135 207 80;422
465.;8040;180 171 70;421
466.;8234;162 153 100;415
467.;8256;216 108 86;410
468.;8296;189 126 91;406
469.;8011;99 207 100;406
470.;8049;162 153 90;405
471.;8252;117 207 80;404
472.;8115;171 153 78;402
473.-474.;8253;126 180 90;396
473.-474.;8242;126 180 90;396
475.;8224;198 117 80;395
476.;8001;144 189 56;389
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
477.;8293;189 144 50;383
478.;8239;144 135 100;379
479.;8422;171 117 90;378
480.;8127;207 90 78;375
481.;8136;216 81 78;375
482.;8034;180 108 80;368
483.;8085;99 198 70;367
484.;8501;153 117 75;345
485.;8495;117 135 90;342
486.;8455;180 126 30;336
487.;8376;144 135 56;335
488.;8381;99 144 89;332
489.;8116;90 171 67;328
490.;8026;108 144 70;322
491.;8046;135 126 60;321
492.;8059;99 126 90;315
493.;8482;126 81 100;307
494.;8463;108 153 36;297
495.;8368;126 90 80;296
496.;8452;153 72 60;285
497.;8484;72 162 36;270
498.;8374;108 81 80;269
499.;8146;117 72 70;259
