
RANK,reg. číslo,čeština,matemat.,ZŠ,Celkem
356.,8062,234,117,100,451
357.-358.,8194,243,108,100,451
357.-358.,9082,243,108,100,451
359.,9038,198,171,80,449
360.,9114,162,180,100,442
361.,8235,171,171,100,442
362.,8163,180,162,100,442
363.,8152,189,153,100,442
364.,9238,216,126,100,442
365.,8069,225,117,100,442
366.,9180,207,144,90,441
367.,9199,234,117,90,441
368.,9013,198,162,80,440
369.,8141,270,90,80,440
370.,9217,171,207,55,433
371.,8003,180,153,100,433
372.,9003,216,117,100,433
373.,8068,126,216,89,431
374.,9063,216,153,60,429
375.,9032,207,144,78,429
376.,8091,162,198,67,427
377.,8191,153,198,73,424
378.,8148,243,108,73,424
379.,8214,243,99,82,424
380.,8070,144,180,100,424
381.,8261,207,117,100,424
382.,8193,234,99,90,423
383.,8222,207,126,89,422
384.,9186,198,153,70,421
385.,8138,153,207,60,420
386.,8024,189,144,82,415
387.,8065,99,216,100,415
388.,9107,207,108,100,415
389.,8198,234,90,90,414
390.,9054,162,180,70,412
391.,8055,207,135,70,412
392.,9045,171,162,78,411
393.,8260,180,153,78,411
394.,8179,189,144,78,411
395.,8207,171,171,64,406
396.,9067,144,162,100,406
397.-398.,9123,171,135,100,406
397.-398.,9130,171,135,100,406
399.,8267,189,117,100,406
400.,8132,198,108,100,406
401.,8095,207,108,90,405
402.,9181,162,171,70,403
403.,8162,153,171,78,402
404.,9247,207,135,56,398
405.,9051,180,126,91,397
406.,9193,153,144,100,397
407.,9149,171,126,100,397
408.,8137,216,81,100,397
409.,9203,234,63,100,397
410.,8099,162,144,90,396
411.,9218,171,117,100,388
412.,8255,180,108,100,388
413.,9088,162,153,70,385
414.,9200,189,117,78,384
415.-416.,8227,135,144,100,379
415.-416.,8206,135,144,100,379
417.,8208,171,108,100,379
418.,9205,198,81,100,379
419.,9191,207,72,100,379
420.,9055,162,126,90,378
421.,9126,144,144,82,370
422.,8200,216,63,91,370
423.,8157,171,99,100,370
424.,8100,180,90,100,370
425.,9228,207,63,100,370
426.,8236,171,126,70,367
427.,9216,144,162,60,366
428.,9087,189,108,64,361
429.,9220,135,126,100,361
430.,9026,153,108,100,361
431.,8242,153,117,90,360
432.,9171,207,63,90,360
433.,9160,135,144,80,359
434.,9061,117,153,89,359
435.,9135,198,72,89,359
436.,9213,171,117,70,358
437.,8201,180,117,60,357
438.,8129,144,135,78,357
439.,8259,153,126,78,357
440.,9129,162,117,78,357
441.,9141,108,144,100,352
442.,8211,171,81,100,352
443.,8181,90,180,80,350
444.,9033,144,126,78,348
445.,9137,162,108,78,348
446.,8074,135,162,50,347
447.-448.,9044,144,99,100,343
447.-448.,9102,144,99,100,343
449.,8199,180,63,100,343
