TODROP,RANK, ID,CZECH,MATH,GRADES,SUM,YEAR,SCHOOLCOURSE_ID
113,114,6046,333,360,91.0,784,2020,1481
114,115,6234,297,387,100.0,784,2020,1481
115,116,5256,324,360,100.0,784,2020,1481
116,116,5056,324,360,100.0,784,2020,1481
117,118,5283,351,333,100.0,784,2020,1481
118,119,5107,360,324,100.0,784,2020,1481
119,120,6200,387,297,100.0,784,2020,1481
120,120,6168,387,297,100.0,784,2020,1481
121,122,5061,396,288,100.0,784,2020,1481
122,123,5052,342,351,90.0,783,2020,1481
123,124,5100,369,333,80.0,782,2020,1481
124,125,6129,315,360,100.0,775,2020,1481
125,126,6135,342,333,100.0,775,2020,1481
126,127,5280,351,324,100.0,775,2020,1481
127,128,6074,360,315,100.0,775,2020,1481
128,129,6119,387,288,100.0,775,2020,1481
129,130,6025,279,387,100.0,766,2020,1481
130,131,6175,297,369,100.0,766,2020,1481
131,132,5099,306,360,100.0,766,2020,1481
132,133,5045,324,342,100.0,766,2020,1481
133,133,5138,324,342,100.0,766,2020,1481
134,135,5167,342,324,100.0,766,2020,1481
135,136,5170,360,306,100.0,766,2020,1481
136,137,6007,369,297,100.0,766,2020,1481
137,138,5142,387,279,100.0,766,2020,1481
138,138,5270,387,279,100.0,766,2020,1481
139,140,5192,423,243,100.0,766,2020,1481
140,141,5268,288,369,100.0,757,2020,1481
141,142,5206,342,315,100.0,757,2020,1481
142,142,5216,342,315,100.0,757,2020,1481
143,142,6027,342,315,100.0,757,2020,1481
144,142,6108,342,315,100.0,757,2020,1481
145,146,5180,387,270,100.0,757,2020,1481
146,147,5129,342,324,90.0,756,2020,1481
147,148,5025,306,396,50.0,752,2020,1481
148,149,5240,306,342,100.0,748,2020,1481
149,150,5252,333,315,100.0,748,2020,1481
150,151,5027,369,279,100.0,748,2020,1481
151,152,6111,378,270,100.0,748,2020,1481
152,153,5195,387,261,100.0,748,2020,1481
153,154,5153,297,360,90.0,747,2020,1481
154,155,5037,333,333,80.0,746,2020,1481
155,156,5090,315,324,100.0,739,2020,1481
156,156,6203,315,324,100.0,739,2020,1481
157,158,5158,333,306,100.0,739,2020,1481
158,159,6103,360,279,100.0,739,2020,1481
159,160,6232,369,270,100.0,739,2020,1481
