RANK,ID,GRADES,MATH,CZECH,AJ,SUM,ADMITTED_ID
202,37172141,9.13,20,26,34,89.13,0
203,91180987,10,22,24,32,88,0
204,44186322,10,22,22,34,88,0
205,11170316,10,11,30,37,88,0
206,30182047,7.33,18,23,39,87.33,0
207,5186259,10,28,36,13,87,0
208,58174247,10,25,24,28,87,0
209,12177617,10,21,25,31,87,0
210,13168631,10,20,28,29,87,0
211,33182671,8,15,29,35,87,0
212,99173265,5.33,23,23,35,86.33,0
213,1176572,9.33,21,25,31,86.33,0
214,36169755,9.33,19,31,27,86.33,0
215,15177695,9.4,18,15,43,85.4,0
216,78174466,8.2,21,22,34,85.2,0
217,78175932,10,20,28,27,85,0
218,89171720,10,18,16,41,85,0
219,58173967,10,18,22,35,85,0
220,43181408,8.53,18,27,31,84.53,0
221,4182531,7.33,18,24,35,84.33,0
222,82174949,10,18,29,27,84,0
223,49184777,10,18,24,32,84,0
224,92166666,10,16,26,32,84,0
225,14179161,10,10,29,35,84,0
226,33168429,7.6,36,23,17,83.6,0
227,19184715,10,13,19,41,83,0
228,62172843,7.33,21,22,32,82.33,0
229,73184575,10,18,21,33,82,0
230,62170815,10,16,27,29,82,0
231,50178257,8.67,33,22,18,81.67,0
232,18182890,10,27,23,21,81,0
233,50168148,8,16,27,30,81,0
234,75179239,8,15,19,38,80,0
235,52181907,9.33,13,30,27,79.33,0
236,96183451,8,25,17,29,79,0
237,79164919,8,13,26,31,78,0
238,26185277,10,10,27,31,78,0
239,30178740,8.67,14,19,36,77.67,0
240,93165823,8,18,17,34,77,0
241,57178459,10,17,28,22,77,0
242,37186181,7.6,19,28,22,76.6,0
243,82167305,9.33,16,23,28,76.33,0
244,10167649,10,24,19,23,76,0
245,41169411,8,10,25,32,75,0
246,72183233,8.53,20,11,35,74.53,0
247,3171658,8,16,26,24,74,0
248,2171237,8.67,15,17,33,73.67,0
249,97179801,10,22,19,22,73,0
250,23173062,10,20,18,25,73,0
251,18185557,8,10,27,28,73,0
252,54168850,8.67,15,17,32,72.67,0
253,35179442,8,24,22,18,72,0
254,76176494,10,19,17,26,72,0
255,97169131,10,16,19,26,71,0
256,23183093,9.33,15,16,30,70.33,0
257,20177757,9.27,17,11,33,70.27,0
258,23177555,8,15,26,20,69,0
259,88185479,9.33,21,22,16,68.33,0
260,87169552,8,20,24,16,68,0
261,86185838,8,13,24,23,68,0
262,48174325,10,10,14,34,68,0
263,14178881,10,16,16,25,67,0
264,69175230,8.67,15,18,25,66.67,0
265,39172219,8.53,17,15,25,65.53,0
266,7170394,8,16,18,23,65,0
267,19181767,9.33,15,14,26,64.33,0
268,35181065,8.67,13,18,24,63.67,0
269,19180503,9.33,10,18,24,61.33,0
270,87172984,6,11,13,30,60,0
271,84168070,7.33,18,20,14,59.33,0
272,99178537,9.33,11,20,19,59.33,0
273,46181127,10,16,20,12,58,0
274,21179302,6.67,11,13,27,57.67,0
275,92183732,7.33,10,16,23,56.33,0
276,8186821,6.27,10,18,22,56.27,0
277,53165262,10,11,16,19,56,0
278,31185760,9.33,12,14,20,55.33,0
279,34183795,7.33,18,11,18,54.33,0
280,76180082,8,12,17,13,50,0
281,20174045,6,15,14,14,49,0
282,47183654,6.67,11,12,19,48.67,0
283,93186603,6,10,12,17,45,0
284,9164841,8,11,10,10,39,0
285,,10,0,0,0,10,2
286,90165402,10,9,19,22,60,2
287,5165621,5.33,6,15,11,37.33,2
288,84167087,9.27,9,24,44,86.27,2
289,43167368,8,7,35,15,65,2
290,98169053,8,8,16,30,62,2
291,71169973,10,6,9,27,52,2
292,55170035,10,5,19,20,54,2
293,80170457,10,9,14,16,49,2
294,11170535,6,3,9,10,28,2
295,14170956,7.33,8,19,45,79.33,2
296,94172563,10,9,24,38,81,2
297,95172641,10,5,32,38,85,2
298,66173904,9.33,13,34,0,56.33,2
299,20174107,10,6,9,32,57,2
300,13174388,8.67,8,11,29,56.67,2
301,44174809,10,0,0,40,50,2
302,67176712,7.33,8,19,28,62.33,2
303,3176993,8.67,6,16,22,52.67,2
304,81177898,8.67,5,24,24,61.67,2
305,16178600,9.4,8,14,31,62.4,2
306,22178818,6.67,6,14,17,43.67,2
307,82178959,10,9,28,32,79,2
308,9179863,6.67,6,14,41,67.67,2
309,65180363,8.8,7,10,36,61.8,2
310,6180565,9.47,4,9,11,33.47,2
311,65180784,8.53,8,16,15,47.53,2
312,81180846,8.67,8,30,40,86.67,2
313,17181205,9.27,5,6,29,49.27,2
314,59181267,8.67,8,20,39,75.67,2
315,80181548,7.33,8,12,0,27.33,2
316,43182812,10,5,27,36,78,2
317,32183592,8,2,17,23,50,2
318,13184013,8,8,20,0,36,2
319,7184918,7.33,5,8,24,44.33,2
320,90185136,8.53,5,13,21,47.53,2
321,8185199,10,7,21,32,70,2
322,54185901,10,9,18,24,61,2
323,56186119,5.33,5,9,24,43.33,2
