RANK,ID,GRADES,MATH,CZECH,AJ,SUM,ADMITTED_ID
162,10656999,8.67,33,29,24,94.67,0
163,69653130,9.33,29,32,24,94.33,0
164,18647717,9.33,24,23,38,94.33,0
165,42646017,9.13,33,31,21,94.13,0
166,45647998,10,31,26,27,94,0
167,13663411,10,31,24,29,94,0
168,35656235,10,28,26,30,94,0
169,3648279,10,24,25,35,94,0
170,81656578,10,15,32,37,94,0
171,59660244,8.67,37,24,24,93.67,0
172,29661024,8.67,22,34,29,93.67,0
173,19665033,9.4,24,26,34,93.4,0
174,38656656,9.4,23,31,30,93.4,0
175,34661305,7.33,31,17,38,93.33,0
176,38651305,9.27,29,29,26,93.27,0
177,91650385,10,28,26,29,93,0
178,9659480,10,23,26,34,93,0
179,89660384,8,21,26,38,93,0
180,31655673,10,20,24,39,93,0
181,24648981,6.2,28,20,38,92.2,0
182,50653832,10,30,30,22,92,0
183,73659620,10,18,30,34,92,0
184,23657296,7.8,28,28,28,91.8,0
185,75660525,9.33,25,27,30,91.33,0
186,53655455,10,22,32,27,91,0
187,75656016,10,19,27,35,91,0
188,61647374,9.33,33,29,19,90.33,0
189,43657077,10,14,24,42,90,0
190,72658840,9.33,17,17,46,89.33,0
191,71663692,10,24,18,37,89,0
192,91648840,10,22,33,24,89,0
193,77647577,10,21,29,29,89,0
194,7658216,10,18,28,33,89,0
195,75652990,7.07,26,24,31,88.07,0
196,89655595,8,31,28,21,88,0
197,13649262,10,22,27,29,88,0
198,62647234,10,16,31,31,88,0
199,44654971,10,15,30,33,88,0
200,83659121,8,20,26,33,87,0
201,67653614,10,18,26,33,87,0
202,6663270,10,14,32,31,87,0
203,31658918,7.33,23,20,36,86.33,0
204,66648918,8,31,22,25,86,0
205,11659339,10,21,30,25,86,0
206,98648497,10,20,28,28,86,0
207,80648076,8.67,19,27,31,85.67,0
208,93652288,9.27,20,16,40,85.27,0
209,16647093,10,31,27,17,85,0
210,52662631,10,29,21,25,85,0
211,86663052,10,23,27,25,85,0
212,87659901,10,20,28,27,85,0
213,16647000,10,17,19,39,85,0
214,9649964,7.8,33,32,12,84.8,0
215,36655814,10,20,21,33,84,0
216,50662288,8.67,41,16,18,83.67,0
217,19657374,8.33,28,17,29,82.33,0
218,63655876,5.33,25,19,33,82.33,0
219,19651789,9.33,19,30,24,82.33,0
220,61645954,10,24,18,30,82,0
221,82653474,10,24,19,29,82,0
222,33650104,10,12,31,29,82,0
223,83654893,8.67,25,23,25,81.67,0
224,96659963,7.33,24,11,39,81.33,0
225,36650525,8,26,24,23,81,0
226,56654051,6.67,29,27,18,80.67,0
227,32664752,8.53,27,31,14,80.53,0
228,12649199,9.33,21,27,23,80.33,0
229,70650884,10,16,27,27,80,0
230,47663333,8.67,27,16,28,79.67,0
231,10661648,9.33,20,28,22,79.33,0
232,71653193,9.33,19,10,41,79.33,0
233,3656937,10,28,18,23,79,0
234,28650042,10,17,24,28,79,0
235,95657857,9.33,17,22,30,78.33,0
236,66645034,9.27,21,27,21,78.27,0
237,62657436,8.67,19,27,23,77.67,0
238,68659760,10,22,27,18,77,0
239,80648700,8.67,15,24,29,76.67,0
240,61652709,9.33,27,25,15,76.33,0
241,60653052,9.33,25,19,23,76.33,0
242,77655954,8.67,29,17,21,75.67,0
243,53645455,8.67,26,19,22,75.67,0
244,78652631,6.67,23,17,29,75.67,0
245,34654831,4.67,18,20,33,75.67,0
246,57647936,9.4,15,29,22,75.4,0
247,97649823,7.33,27,20,20,74.33,0
248,48648638,10,22,24,18,74,0
249,44657140,7.33,27,18,21,73.33,0
250,77647655,8,22,25,18,73,0
251,68646656,10,19,26,18,73,0
252,32648357,9.27,19,16,28,72.27,0
253,17654690,10,16,26,20,72,0
254,53664971,9.33,15,19,28,71.33,0
255,85653754,9.27,26,20,15,70.27,0
256,30661586,8.67,18,20,23,69.67,0
257,63648560,9.33,19,21,20,69.33,0
258,37659682,10,20,16,23,69,0
259,68651368,10,17,16,26,69,0
260,97660946,6.67,10,22,30,68.67,0
261,5645252,9.33,18,16,25,68.33,0
262,20664050,8.2,20,16,23,67.2,0
263,13649480,10,14,17,26,67,0
264,41654191,6,12,14,33,65,0
265,20654612,9.4,17,19,19,64.4,0
266,79663614,10,16,17,21,64,0
267,55652491,8.67,25,16,14,63.67,0
268,2646797,6,18,19,20,63,0
269,22659199,10,17,20,16,63,0
270,45658778,10,10,18,25,63,0
271,39656297,7.33,23,11,21,62.33,0
272,96652569,9.33,16,22,15,62.33,0
273,5645674,8,17,14,23,62,0
274,52649761,7.33,20,15,17,59.33,0
275,37655034,7.8,17,22,12,58.8,0
276,82660322,5.8,17,22,13,57.8,0
277,21655112,8.67,16,16,14,54.67,0
278,48651508,8.67,13,14,18,53.67,0
279,14655392,7.07,13,12,20,52.07,0
280,23661726,8.13,12,14,10,44.13,0
281,86645112,5.53,13,11,13,42.53,0
282,4657654,6,13,10,11,40,0
283,,9.33,8,19,14,50.33,2
284,65651087,10,8,29,35,82,2
285,99652850,7.33,21,7,7,42.33,2
