RANK,YEAR,ID,ADMITTED_ID,SCHOOLCOURSE_ID
67,2018,67,0,2181
68,2018,68,0,2181
69,2018,69,0,2181
70,2018,70,0,2181
71,2018,71,0,2181
72,2018,72,0,2181
73,2018,73,0,2181
74,2018,74,0,2181
75,2018,75,0,2181
76,2018,76,0,2181
77,2018,77,0,2181
78,2018,78,0,2181
79,2018,79,0,2181
80,2018,80,0,2181
81,2018,81,0,2181
82,2018,82,0,2181
83,2018,83,0,2181
84,2018,84,0,2181
85,2018,85,0,2181
86,2018,86,0,2181
87,2018,87,0,2181
88,2018,88,0,2181
89,2018,89,0,2181
90,2018,90,0,2181
91,2018,91,0,2181
92,2018,92,0,2181
93,2018,93,0,2181
94,2018,94,0,2181
95,2018,95,0,2181
96,2018,96,0,2181
97,2018,97,0,2181
98,2018,98,0,2181
99,2018,99,0,2181
100,2018,100,0,2181
101,2018,101,0,2181
102,2018,102,0,2181
103,2018,103,0,2181
104,2018,104,0,2181
105,2018,105,0,2181
106,2018,106,0,2181
107,2018,107,0,2181
108,2018,108,0,2181
109,2018,109,0,2181
110,2018,110,0,2181
111,2018,111,0,2181
112,2018,112,0,2181
113,2018,113,0,2181
114,2018,114,0,2181
115,2018,115,0,2181
116,2018,116,0,2181
117,2018,117,0,2181
118,2018,118,0,2181
119,2018,119,0,2181
120,2018,120,0,2181
121,2018,121,0,2181
122,2018,122,0,2181
123,2018,123,0,2181
124,2018,124,0,2181
125,2018,125,0,2181
126,2018,126,0,2181
127,2018,127,0,2181
128,2018,128,0,2181
129,2018,129,0,2181
130,2018,130,0,2181
131,2018,131,0,2181
132,2018,132,0,2181
133,2018,133,0,2181
134,2018,134,0,2181
135,2018,135,0,2181
136,2018,136,0,2181
137,2018,137,0,2181
138,2018,138,0,2181
139,2018,139,0,2181
140,2018,140,0,2181
141,2018,141,0,2181
142,2018,142,0,2181
143,2018,143,0,2181
144,2018,144,0,2181
145,2018,145,0,2181
146,2018,146,0,2181
147,2018,147,0,2181
148,2018,148,0,2181
149,2018,149,0,2181
150,2018,150,0,2181
151,2018,151,0,2181
152,2018,152,0,2181
153,2018,153,0,2181
154,2018,154,0,2181
155,2018,155,0,2181
156,2018,156,0,2181
157,2018,157,0,2181
158,2018,158,0,2181
159,2018,159,0,2181
160,2018,160,0,2181
161,2018,161,0,2181
162,2018,162,0,2181
163,2018,163,0,2181
164,2018,164,0,2181
165,2018,165,0,2181
166,2018,166,0,2181
167,2018,167,0,2181
168,2018,168,0,2181
169,2018,169,0,2181
170,2018,170,0,2181
171,2018,171,0,2181
172,2018,172,0,2181
173,2018,173,0,2181
174,2018,174,0,2181
175,2018,175,0,2181
176,2018,176,0,2181
177,2018,177,0,2181
178,2018,178,0,2181
179,2018,179,0,2181
180,2018,180,0,2181
181,2018,181,0,2181
182,2018,182,0,2181
183,2018,183,0,2181
184,2018,184,0,2181
185,2018,185,0,2181
186,2018,186,0,2181
187,2018,187,0,2181
188,2018,188,0,2181
189,2018,189,0,2181
190,2018,190,0,2181
191,2018,191,0,2181
192,2018,192,0,2181
193,2018,193,0,2181
194,2018,194,0,2181
195,2018,195,0,2181
196,2018,196,0,2181
197,2018,197,0,2181
198,2018,198,0,2181
199,2018,199,0,2181
200,2018,200,0,2181
201,2018,201,0,2181
202,2018,202,0,2181
203,2018,203,0,2181
204,2018,204,0,2181
205,2018,205,0,2181
206,2018,206,0,2181
207,2018,207,0,2181
208,2018,208,0,2181
209,2018,209,0,2181
210,2018,210,0,2181
211,2018,211,0,2181
212,2018,212,0,2181
213,2018,213,0,2181
214,2018,214,0,2181
215,2018,215,0,2181
216,2018,216,0,2181
217,2018,217,0,2181
218,2018,218,0,2181
219,2018,219,0,2181
220,2018,220,0,2181
221,2018,221,0,2181
222,2018,222,0,2181
223,2018,223,0,2181
224,2018,224,0,2181
225,2018,225,0,2181
226,2018,226,0,2181
227,2018,227,0,2181
228,2018,228,0,2181
229,2018,229,0,2181
230,2018,230,0,2181
231,2018,231,0,2181
232,2018,232,0,2181
233,2018,233,0,2181
234,2018,234,0,2181
235,2018,235,0,2181
236,2018,236,0,2181
237,2018,237,0,2181
238,2018,238,0,2181
239,2018,239,0,2181
240,2018,240,0,2181
241,2018,241,0,2181
242,2018,242,0,2181
243,2018,243,0,2181
244,2018,244,0,2181
245,2018,245,0,2181
246,2018,246,0,2181
247,2018,247,0,2181
248,2018,248,0,2181
249,2018,249,0,2181
250,2018,250,0,2181
251,2018,251,0,2181
252,2018,252,0,2181
253,2018,253,0,2181
254,2018,254,0,2181
255,2018,255,0,2181
256,2018,256,0,2181
257,2018,257,0,2181
258,2018,258,0,2181
259,2018,259,0,2181
260,2018,260,0,2181
261,2018,261,0,2181
262,2018,262,0,2181
263,2018,263,0,2181
264,2018,264,0,2181
265,2018,265,0,2181
266,2018,266,0,2181
267,2018,267,0,2181
268,2018,268,0,2181
269,2018,269,0,2181
270,2018,270,0,2181
271,2018,271,0,2181
272,2018,272,0,2181
273,2018,273,0,2181
274,2018,274,0,2181
275,2018,275,4,2181
276,2018,276,4,2181
277,2018,277,4,2181
1,2019,1,1,2181
2,2019,2,1,2181
3,2019,3,1,2181
4,2019,4,1,2181
5,2019,5,1,2181
6,2019,6,1,2181
7,2019,7,1,2181
8,2019,8,1,2181
9,2019,9,1,2181
10,2019,10,1,2181
11,2019,11,1,2181
12,2019,12,1,2181
13,2019,13,1,2181
14,2019,14,1,2181
15,2019,15,1,2181
16,2019,16,1,2181
